No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
81,Justin Agu,CB,FR,6-1,164,"Prairieville, LA",Dutchtown
4,Cassius Allen,WR,SO,6-4,211,"Pelham, GA",Pelham / Northeast Oklahoma A&M
45,Kenneth Almendares,K,SO,6-1,238,"Clute, TX",Brazoswood
21,Trey Amos,CB,FR,6-1,186,"New Iberia, LA",Catholic
11,Caleb Anderson,CB,FR,6-3,200,"Clinton, LA",East Feliciana
76,Matthew Anderson,OL,FR,6-6,255,"Leesville, LA",Leesville / Nebraska
36,Clinton Anokwuru,LB,FR,6-3,228,"Richmond, TX",Fort Bend Bush / Kansas
9,Emani Bailey,RB,FR,5-8,197,"Denton, TX",Denton Ryan
35,Key'Savalyn Barnes,CB,FR,5-11,198,"Logansport, LA",Logansport
19,Jamal Bell,WR,SR,6-0,194,"Brownsboro, TX",Brownsboro / Tyler JC
89,Hunter Bergeron,TE,JR,6-5,239,"Lafayette, LA",St. Thomas More
86,Jacob Bernard,WR,FR,5-10,194,"Mandeville, LA",Lakeshore
25,Brandon Bishop,S,SO,6-0,185,"Tuscaloosa, AL",Hillcrest / Alabama
38,Da'Jon Bonnee,WR,FR,6-3,192,"Fairburn, GA",Creekside
60,Zach Boulet,OL,FR,6-1,258,"Lafayette, LA",Catholic
26,Blair Brooks,S,SR,6-2,180,"Thibodaux, LA",Thibodaux
54,Tyler Brown,OL,FR,6-3,319,"Jackson, MS",St. Joseph Catholic
83,Damani Burrell,TE,SO,6-6,247,"New Orleans, LA",Easton
55,Landon Burton,OL,FR,6-2,277,"Lafayette, LA",St. Thomas More
9,Percy Butler,S,JR,6-0,191,"Plaquemine, LA",Plaquemine
25,Tito Byce,RB,FR,5-11,192,"Argyle, TX",Argyle
47,Rhys Byrns,P,JR,6-0,188,"Rye, Australia",Padua College
84,Jathan Caldwell,TE,FR,6-2,228,"Dickinson, TX",Dickinson
11,Dalen Cambre,WR,FR,6-0,180,"Lafayette, LA",St. Thomas More
26,Kaleb Carter,WR,SO,6-0,176,"Cecilia, LA",Cecilia
30,Cejae Ceasar,S,FR,6-1,198,"Iowa, LA",Iowa
52,Blake Champagne,DL,FR,6-3,258,"Lafayette, LA",St. Thomas More / Southeastern Louisiana
34,Jalen Clark,CB,FR,6-1,195,"New Orleans, LA",Alabama Christian Academy
30,Treyv'on Culbert,WR,FR,6-0,186,"Alexandria, LA",Alexandria
3,Golden Eke,WR,SO,6-1,184,"Houston, TX",Langham Creek / Oklahoma
68,T.J. Fiailoa,OL,JR,6-4,324,"Lawton, OK",MacArthur / ULM
16,Chandler Fields,QB,FR,5-10,194,"Metairie, LA",Archbishop Rummel
17,Dontae Fleming,WR,FR,6-1,165,"Laplace, LA",East St. John
23,Courtline Flowers,S,FR,6-1,177,"Dallas, TX",South Oak Cliff
37,Kendre' Gant,LB,FR,6-3,218,"Port St. Joe, FL",Port St. Joe / Independence CC
7,Ferrod Gardner,LB,SR,6-1,215,"Dayton, OH",Trotwood-Madison / Coffeyville CC
20,Mekhi Garner,CB,SO,6-2,217,"Mesquite, TX",Poteet / Navarro College
19,Eric Garror,CB,JR,5-9,170,"Mobile, AL",McGill Toolen
50,Cameron George,DL,FR,6-1,250,"Lafayette, LA",Acadiana
51,"Lakeidrick George, Jr.",DL,SO,6-3,240,"Bossier City, LA",Parkway / Louisiana College
53,AJ Gillie,OL,FR,6-3,307,"Natchitoches, LA",Natchitoches Central
82,Rhett Guidry,TE,FR,6-5,229,"Baton Rouge, LA",Dunham
33,Tyler Guidry,LB,SO,6-2,235,"Baton Rouge, LA",Southern Lab
70,Jax Harrington,OL,FR,6-4,310,"Erath, LA",Erath
61,Caleb Harris,OL,FR,6-5,310,"Sulphur, LA",Sulphur
82,Lanard Harris,S,FR,6-0,183,"Baton Rouge, LA",Woodlawn
39,Dabari Hawkins,CB,FR,6-3,191,"Missouri City, TX",Stafford
91,Sonny Hazard,DL,FR,6-1,290,"New Orleans, LA",Jesuit
15,Hunter Herring,QB,FR,6-4,205,"West Monroe, LA",Ouachita Christian
39,Bobby Hill,LS,SR,5-10,211,"Raleigh, NC",Sanderson / ECU
4,Zi'Yon Hill,DL,JR,6-1,278,"New Iberia, LA",Catholic
18,Bobby Holmes,CB,FR,5-9,157,"Dallas, TX",South Oak Cliff
73,David Hudson,OL,JR,6-0,268,"Lafayette, LA",Lafayette
33,Pat Hughes,WR,JR,6-4,206,"New Orleans, LA",Brother Martin
99,Tayland Humphrey,DL,SR,6-5,349,"Houston, TX",Klein Oak / Hutchinson CC
94,Dalvin Hutchinson,DL,SO,6-0,292,"Monroe, LA",West Monroe
26,Kobe Hylton,CB,SO,6-1,204,"Atlanta, GA",Northeastern Oklahoma CC
71,George Jackson,OL,FR,6-4,314,"Stone Mountain, GA",Stephenson
8,Michael Jefferson,WR,JR,6-3,200,"Mobile, AL",Murphy / Alabama State
35,Ahmad Johnson,LB,FR,6-2,223,"Pelahatchie, MS",Pelahatchie Attendance Center
28,Ja'len Johnson,S,JR,6-2,215,"Morgan City, LA",Central Catholic
4,Montrell Johnson,RB,FR,5-11,210,"New Orleans, LA",De La Salle
87,Neal Johnson,TE,SO,6-4,231,"Mesquite, TX",West Mesquite
10,Andre Jones,DL,JR,6-5,250,"Varnado, LA",Varnado
78,Luke Junkunc,OL,SO,6-4,265,"Houston, TX",Strake Jesuit
45,Caleb Kibodi,LB,FR,6-2,221,"Baton Rouge, LA",Parkview Baptist
0,Jacob Kibodi,WR,JR,6-2,217,"Baton Rouge, LA",Christian Life Academy / Texas A&M
40,Logan Klotz,K,FR,6-1,173,"Slidell, LA",Pope John Paul II
48,Troy Kruchten,LB,JR,6-0,216,"The Woodlands, TX",The Woodlands / Southeastern Louisiana
2,Kyren Lacy,WR,FR,6-3,213,"Thibodaux, LA",Thibodaux
98,Andre Landry,DL,JR,6-4,274,"Lafayette, LA",Acadiana
46,Jordan Lawson,DL,FR,6-4,274,"Brandon, MS",Brandon
29,Peter LeBlanc,WR,SO,6-2,194,"New Iberia, LA",Catholic-New Iberia
