No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,David Afari,RB,FR,5-11,195,"West Chester, OH",Lakota West
63,Evan Azzara,OL,FR,6-6,284,"Plum, PA",Plum Borough
18,Jeremiah Batiste,WR,FR,5-11,182,"New Orleans, LA",Tyner Academy
97,Brendan Beattie,LS,FR,6-0,212,"Maineville, OH",Kings
38,Henry Beckett,K,FR,6-0,189,"Dothan, AL",Houston Academy
81,James Besett,WR,FR,6-2,209,"Twinsburg, OH",Twinsburg
1,Jaylon Bester,RB,SR,5-8,172,"Belleville, IL",Althoff Catholic
35,Alec Bevelhimer,K,FR,6-3,222,"Indianapolis, IN",Brebeuf Jesuit
16,Eli Blakey,DB,FR,6-2,195,"Louisville, KY",DuPont Manual
8,Luke Bolden,LB,SO,6-2,237,"Cincinnati, OH",Colerain
10,Trevon Booker,DB,FR,6-0,190,"Indianapolis, IN",Lawrence Central
58,Jackson Boras,LB,FR,6-0,205,"Orchard Park, NY",Canisius
59,Kolby Borders,OL,FR,6-6,329,"Lafayette, IN",McCutcheon
17,Alec Bornhorst,QB,SO,6-4,227,"Gainesville, GA",Lakeview Academy
18,Cedric Boswell,DB,SR,5-11,193,"Beverly Hills, MI",Groves
3,Mike Brown,DB,SR,6-1,222,"Grand Rapids, MI",Grand Rapids Catholic Central
93,Kyle Bryant,DL,FR,6-3,261,"Grovetown, GA",Grovetown
19,James Burns,WR,SO,5-9,161,"Charlotte, NC",Rocky River
82,Kameron Butler,DL,JR,6-3,250,"Florence, KY",Covington Catholic
83,Angelo Butts,WR,FR,6-0,180,"St. Louis, MO",O'Fallon Christian
19,Ambe' Caldwell,DB,FR,6-1,205,"Atlanta, GA",Woodward Academy
69,Brody Carper,OL,SO,6-3,303,"Mogadore, OH",Springfield
34,Chris Cavalaris,WR,SO,5-10,166,"Lake Forest, IL",Lake Forest
57,Bennett Clark,OL,SO,6-6,309,"Zionsville, IN",Zionsville Community
89,Jack Coldiron,TE,FR,6-5,238,"Florence, KY",Covington Catholic
13,Brett Coleman,DB,FR,6-3,184,"Belfry, KY",Belfry
78,Dominic Collado,OL,FR,6-3,322,"Crystal Lake, IL",Crystal Lake South
99,Anthony Collier,DL,FR,6-3,276,"Nashville, TN",East Nashville Magnet
39,Carson Daniels,LB,FR,6-0,220,"Clarklake, MI",Columbia Central
26,Kevin Davis,RB,FR,5-9,164,"Jackson, TN",Trinity Christian Academy
91,Marlon Dawson Jr.,DL,FR,-,211,"Detroit, MI",Oak Park
80,Jack DeJarld,TE,FR,6-3,230,"Chicago, IL",Brother Rice
25,Devon Dorsey,WR,FR,6-2,200,"Jonesboro, GA",Eagles Landing Christian Academy
31,Dom Dzioban,K,FR,6-1,200,"Frankfork, IL",Lincoln Way East
16,Orin Edwards,QB,FR,6-1,185,"Zionsville, IN",Cathedral
92,Austin Ertl,DL,SO,6-2,287,"Wauwatosa, WI",Wauwatosa West
60,Rusty Feth,OL,SO,6-5,324,"Colerain, OH",Colerain
5,Brett Gabbert,QB,SO,6-0,209,"St. Louis, MO",Christian Brothers
94,Terran Hearn,DL,FR,6-3,236,"Louisville, KY",Ballard
12,Henry Hesson,QB,FR,6-2,200,"Plainfield, IN",Avon
96,Kobe Hilton,DL,FR,6-3,297,"Farrell, PA",Farrell
8,Mac Hippenhammer,WR,JR,5-11,182,"Fort Wayne, IN",Nelson R. Snider
56,Reid Holskey,OL,FR,6-6,301,"Pataskala, OH",Licking Heights
46,Andrew Homer,TE,SR,6-6,243,"Cincinnati, OH",St. Xavier
12,Corban Hondru,LB,FR,6-1,215,"McMurray, PA",Peters Township
54,Zach Hummel,DL,FR,6-2,282,"Hilliard, OH",Hilliard Bradley
36,Jackson Izzard,WR,FR,6-3,195,"Plain City, OH",Alder High School
72,Ben Jackson,OL,FR,6-7,315,"Winchester, KY",George Rogers Clark
76,Nathan Jacobs,OL,FR,6-5,340,"Shelbyville, KY",Martha Layne Collins
70,Will Jados,OL,FR,6-8,302,"Westerville, OH",Westerville Central
23,Davion Johnson,RB,JR,5-10,217,"Pontiac, MI",West Bloomfield
29,Ryan Kahn,DB,FR,5-9,160,"Strongsville, OH",Strongsville
97,Will Kellison,DL,SO,6-4,247,"Indianapolis, IN",Bishop Chatard
95,Ben Kimpler,DL,SR,6-6,269,"Libertyville, IL",Libertyville
22,Ja'Von Kimpson,DB,FR,5-11,211,"Clinton Township, MI",Chippewa Valley
66,Luke Kirin,OL,FR,6-4,290,"Brecksville, OH",Brecksville-Broadview Heights
31,Cam Kirk,DB,FR,5-10,195,"Dublin, OH",Coffman
9,Daylan Long,LB,FR,5-11,186,"Cincinnati, OH",Winton Woods
30,Josh Maize,DL,JR,6-3,285,"Deerfield, IL",Deerfield
3,Nick Manson,WR,FR,6-2,209,"Jonesboro, GA",Mundy’s Mill
10,AJ Mayer,QB,SO,6-3,231,"Edgewood, KY",Covington Catholic
30,Conner Maynard,P,FR,6-3,183,"Mooresville, NC",Hough
23,Oscar McWood,-,FR,6-1,203,"Grosse Point, MI",Brother Rice
35,Ryan McWood,LB,SR,6-2,222,"Grosse Pointe, MI",Brother Rice
20,Mehki Miller,DB,FR,6-1,205,"Park Forest, IL",Rich Central
28,Keyon Mozee,RB,FR,5-7,182,"Lee's Summit, MO",Lee's Summit North
88,Nate Muersch,TE,FR,6-5,228,"Downers Grove, IL",Montini Catholic
1,Jaymar Mundy,DB,FR,6-1,167,"Cincinnati, OH",La Salle
77,Charlie Nank,OL,FR,6-4,311,"West Dem Moines, IA",Dowling Catholic
65,Pete Nank,OL,JR,6-5,324,"West Des Moines, IA",Dowling Catholic
33,Dominic Nardone,LB,FR,5-11,225,"Dublin, OH",Dublin Jerome
48,Ryan Newton,DL,JR,6-2,225,"St. Louis, MO",Parkway North
98,Graham Nicholson,PK,FR,6-0,176,"Cincinnati, OH",Summit Country Day
20,Quadre Nicholson,RB,FR,5-10,175,"Evanston, IL",Evanston
37,Scotty Nieman,TE,FR,6-6,213,"Cincinnati, OH",Elder
37,Dalton Norris,DL,FR,6-4,250,"Oxford, OH",Talawanda
61,Ryan O'Hair,OL,FR,6-8,284,"Bridgeville, PA",South Fayette
87,Ryan Orput,TE,FR,6-4,222,"Hinsdale, IL",Hinsdale Central
0,Ivan Pace Jr.,LB,SO,6-0,242,"Cincinnati, OH",Colerain
32,Colton Parker,WR,FR,6-0,175,"Carmel, IN",Carmel
84,Derek Paulson,TE,SR,6-4,254,"Lodi, WI",Lodi
47,Lonnie Phelps,DL,SO,6-3,244,"Cincinnati, OH",Mount Healthy
27,Dee Pierce,DB,FR,6-0,205,"Chicago, IL",Phillips Academy
85,Matthew Reardon,WR,FR,6-1,190,"Youngstown, OH",Ursuline
64,David Redding,OL,JR,6-4,314,"Columbus, IN",Columbus North
54,Blaine Riley,LB,FR,6-0,224,"Canal Winchester, OH",Canal Winchester
6,Austin Robinson,WR,SO,6-1,187,"Cornelius, NC",William A. Hough
11,Dominique Robinson,DL,SR,6-4,256,"Canton, OH",Canton McKinley
4,Camden Rogers,LB,FR,6-0,215,"Fort Wayne, IN",Homestead
24,Ja'don Rucker-Furlow,DB,JR,6-2,192,"Dayton, OH",Belmont
17,TJ Rush,DB,FR,5-11,167,"St. Louis, MO",Trinity Catholic
15,Matthew Salopek,DB,FR,6-1,215,"Kent, OH",Archbishop Hoban
