No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
82,Kameron Allen,TE,FR,6-4,240,"Forney, TX",North Forney
64,Matt Allen,OL,SR,6-3,315,"Hinsdale, IL",Hinsdale Central
76,AJ Arcuri,OT,SR,6-7,320,"Powell, OH",Olentangy Liberty
53,Brandon Baldwin,OT,SO,6-7,315,"Detroit, MI",Southfield AT&T
99,Bryce Baringer,P,SR,6-3,210,"Waterford, MI",Notre Dame Prep
8,Simeon Barrow,DT,FR,6-2,285,"Grovetown, GA",Grovetown
86,Drew Beesley,DE,SR,6-2,260,"Rochester Hills, MI",Warren De La Salle
44,Adam Berghorst,TE,JR,6-7,260,"Zeeland, MI",Zeeland East
44,Samih Beydoun,LB,SO,5-11,225,"Novi, MI",Detroit Catholic Central
11,Antoine Booth,CB,FR,5-11,175,"Jessup, MD",DeMatha Catholic
77,Ethan Boyd,OL,FR,6-7,315,"East Lansing, MI",East Lansing
0,Charles Brantley,CB,FR,6-0,165,"Sarasota, FL",Venice
33,Kendell Brooks,CB,JR,6-0,200,"Swansea, SC",Swansea
19,Itayvion Brown,LB,FR,6-4,230,"St. Louis, MO",Lutheran North
13,Sebastian Brown,WR,FR,6-3,190,"Detroit, MI",Cass Tech
58,Spencer Brown,OL,SO,6-6,320,"Commerce Township, MI",Walled Lake Western
57,Evan Brunning,DT,SO,6-5,230,"Oxford, MI",Oxford
69,Blake Bueter,OL,SR,6-4,320,"Howell, MI",Detroit Catholic Central
62,Luke Campbell,OL,SR,6-5,290,"Lewis Center, OH",Olentangy
91,Jack Camper,DE,SR,6-5,250,"Virginia Beach, VA",IMG Academy
6,Maliq Carr,TE,FR,6-5,245,"Inkster, MI",Oak Park
56,Matt Carrick,OG,SR,6-5,325,"Minerva, OH",Perry
42,Carson Casteel,LB,FR,6-2,215,"Florence, AL",Florence
4,Matt Coghlin,K,SR,5-9,190,"Cincinnati, OH",Archbishop Moeller
0,Keon Coleman,WR,FR,6-4,210,"Opelousas, LA",Opelousas Catholic
24,Elijah Collins,RB,JR,6-1,225,"Detroit, MI",University of Detroit Jesuit
6,Quavaris Crouch,LB,JR,6-2,230,"Charlotte, NC",Harding
14,Khary Crump,CB,FR,6-0,175,"Culver City, CA",Culver City
86,Aubrey Dawkins,WR,FR,5-10,180,"Verona, WI",Verona
25,Cole DeMarzo,LB,FR,6-4,225,"Hilton Head Island, SC",Hilton Head
32,Zach Denha,DB,FR,6-0,185,"Rochester Hills, MI",Stony Creek
92,Michael Donovan,LS,FR,6-3,230,"Beverly Hills, MI",Seaholm
7,Michael Dowell,S,JR,6-1,215,"North Ridgeville, OH",St. Edward
98,Avery Dunn,DE,FR,6-4,245,"Shaker Heights, OH",Shaker Heights
67,J.D. Duplain,OL,JR,6-4,305,"Strongsville, OH",Strongsville
32,Donovan Eaglin,RB,FR,5-11,235,"Rosharon, TX",Manvel
35,Sam Edwards,LB,FR,6-0,215,"Williamston, MI",Lansing Catholic
5,Hamp Fay,QB,FR,6-5,220,"Hudson Oaks, TX",All Saints Episcopal
72,Dallas Fincher,OL,FR,6-4,300,"Kentwood, MI",East Kentwood
16,Christian Fitzpatrick,WR,FR,6-4,205,"Southfield, MI",Southfield AT&T
5,Michael Fletcher,DE,SO,6-6,260,"Flint, MI",Carman-Ainsworth
20,Emmanuel Flowers,CB,SR,6-2,205,"Chino Hills, CA",Ayala
83,Montorie Foster,WR,SO,6-0,185,"Cleveland, OH",St. Edward
10,Ma'a Gaoteote,LB,FR,6-1,245,"Las Vegas, NV",Bishop Gorman
18,Kalon Gervin,CB,JR,5-11,195,"Detroit, MI",Cass Technical
19,Zach Gillespie,QB,FR,6-2,205,"East Lansing, MI",Lansing Catholic
88,Trenton Gillison,TE,JR,6-4,245,"Pickerington, OH",Pickerington Central
81,Parks Gissinger,TE,JR,6-4,240,"Los Angeles, CA",Chaminade College Prep
24,Michael Gravely,DB,FR,6-0,210,"Cleveland, OH",Glenville
15,Angelo Grose,S,SO,5-10,180,"Mansfield, OH",Mansfield Senior
98,Cole Hahn,K,SR,5-11,210,"West Des Moines, IA",Valley
27,Cal Haladay,LB,FR,6-1,235,"Elysburg, PA",Southern Columbia
28,Tate Hallock,S,SO,6-4,210,"Grand Rapids, MI",Forest Hills Central
97,Maverick Hansen,DT,SO,6-4,310,"Farmington Hills, MI",Harrison
41,Derrick Harmon,DT,FR,6-5,330,"Detroit, MI",Loyola
45,Noah Harvey,LB,SR,6-4,235,"Hartland, WI",Arrowhead
4,C.J. Hayes,S,SR,6-2,205,"Bowling Green, KY",South Warren
3,Xavier Henderson,S,SR,6-1,210,"Reynoldsburg, OH",Pickerington Central
11,Connor Heyward,TE,SR,6-0,230,"Duluth, GA",Peachtree Ridge
79,Jarrett Horst,OT,SR,6-6,305,"Middleton, WI",Middleton
99,Jalen Hunt,DT,SO,6-4,320,"Belleville, MI",Belleville
97,Tyler Hunt,TE,SR,6-3,235,"Gobles, MI",Gobles
42,Nick Hunter,WR,SO,5-10,190,"Grayling, MI",Grayling
73,Jacob Isaia,OL,JR,6-3,310,"Las Vegas, NV",Bishop Gorman
75,Kevin Jarvis,OG,SR,6-6,325,"Chicago, IL",Maine South
39,Evan Johnson,K,JR,5-11,215,"Okemos, MI",Holt
2,Harold Joiner,RB,JR,6-4,215,"Birmingham, AL",Mountain Brook
2,Drew Jordan,DE,SR,6-3,255,"Suwanee, GA",North Gwinnett
14,Noah Kim,QB,FR,6-2,185,"Centreville, VA",Westfield
12,Chester Kimbrough,CB,JR,6-0,180,"New Orleans, LA",Warren Easton Senior
54,Kyle King,DT,FR,6-3,270,"Greenfield, IN",New Palestine
29,A.J. Kirk,S,FR,6-1,200,"Columbus, OH",Archbishop Hoban
21,Chase Kline,LB,JR,6-4,245,"Chardon, OH",Chardon
49,David Kruse,S,JR,6-0,210,"Lowell, MI",Lowell
63,Jacob Lafave,DT,SO,6-4,290,"Brighton, MI",Brighton
