No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Nnamdi Adim-Madumere,WR,SO,6-4,235,"Fort Worth, TX",Southwest
3,MJ Anderson,DL,SO,6-3,280,"St. Louis, MO",Christian Brothers College High School
77,Blaise Andries,OL,SR,6-6,335,"Marshall, MN",Marshall
81,Brock Annexstad,WR,SR,6-2,205,"Norseland, MN",IMG Academy
5,Zack Annexstad,QB,JR,6-3,220,"Norseland, MN",IMG Academy
29,Josh Aune,LB,JR,6-2,235,"St. Paul, MN",Highland Park
7,Chris Autman-Bell,WR,SR,6-1,215,"Kankakee, IL",Bishop McNamara
89,Nate Becker,DL,FR,6-5,260,"Osseo, MN",Maple Grove
63,Austin Beier,OL,JR,6-4,310,"Toledo, OH",St. John's
49,Pete Bercich,LB,SO,6-2,235,"Lakeville, MN",Lakeville North / St. Thomas
66,Nathan Boe,OL,JR,6-5,300,"Lakeville, MN",Lakeville North
94,Austin Booker,DL,FR,6-6,240,"Greenwood, IN",Center Grove
14,Brady Boyd,WR,FR,6-1,210,"Southlake, TX",Southlake Carroll
0,Lemeke Brockington,WR,FR,6-0,195,"Moultrie, GA",Colquitt County
7,Solomon Brown,DB,SO,5-11,195,"Largo, FL",Largo
22,Michael Brown-Stephens,WR,SO,5-11,195,"Springfield, OH",Springfield
15,Jaqwondis Burns,LB,FR,6-2,220,"Terrell, TX",IMG Academy
99,Trill Carter,DL,SO,6-2,300,"Leesburg, GA",Crisp County
44,Rashad Cheney Jr.,DL,SO,6-2,290,"Atlanta, GA",Cedar Grove
15,Jacob Clark,QB,SO,6-5,225,"Rockwall, TX",Rockwall
75,Tyler Cooper,OL,SO,6-5,310,"Saint Croix Falls, WI",Saint Croix Falls
96,Mark Crawford,P,SO,6-5,220,"Perth West, Australia",-
18,Micah Dew-Treadway,DL,SR,6-4,315,"Bolingbrook, IL",Bolingbrook / Notre Dame
11,Michael Dixon,DB,SO,6-2,210,"Statesboro, GA",Statesboro
56,Curtis Dunlap Jr.,OL,JR,6-5,345,"Jacksonville, FL",IMG Academy
16,Coney Durr,DB,SR,5-10,200,"Baton Rouge, LA",Dutchtown
91,Deven Eastern,DL,FR,6-6,290,"Shakopee, MN",Shakopee
6,Douglas Emilien,WR,FR,6-1,190,"Ft. Lauderdale, FL",American Heritage
69,Aireontae Ersery,OL,FR,6-6,325,"Kansas City, MO",Ruskin
78,Daniel Faalele,OL,SR,6-9,380,"Melbourne, Australia",IMG Academy
11,Lonenoa Faoa,QB,FR,6-1,220,"Las Vegas, NV",Liberty
46,Lucas Finnessy,LB,FR,6-3,240,"Sussex, WI",Hamilton
6,Miles Fleming,DB,FR,5-11,185,"Columbus, OH",Bishop Hartley
18,Clay Geary,WR,SR,5-10,200,"Lakeville, MN",Lakeville South
86,Jameson Geers,TE,FR,6-6,250,"Channahon, IL",Providence Catholic
47,Jack Gibbens,LB,SR,6-4,245,"Bulverde, TX",Smithson Valley / Abilene Christian University
12,Jalen Glaze,DB,FR,6-0,185,"Tallahassee, FL",Lincoln
13,DJ Gordon IV,LB,SO,6-1,230,"Plant City, FL",Plant City
25,Darius Green,DB,FR,6-1,190,"Covington, GA",Newton
50,JJ Guedet,OL,SO,6-7,310,"Washington, IL",Washington Community
28,Matt Guggemos,DB,SO,6-1,210,"Eden Prairie, MN",Benilde St. Margaret's
21,Justus Harris,DB,SR,5-10,195,"Roswell, GA",Roswell
42,Jack Hawkinson,DL,FR,6-4,215,"Frankfort, IL",Lincoln-Way East
83,Austin Henderson,TE,FR,6-6,245,"Nashville, TN",Ensworth
23,Dylan Hillard-McGill,WR,FR,6-3,210,"Altus, OK",Mesquite
2,Phillip Howard,DB,SR,5-11,195,"Minneapolis, MN",Robbinsdale Cooper
23,Jordan Howden,DB,SR,6-0,210,"Las Vegas, NV",Desert Pines
58,Jackson Hunter,OL,FR,6-6,275,"Oconomowoc, WI",Oconomowoc
24,Mohamed Ibrahim,RB,SR,5-10,210,"Baltimore, MD",Our Lady of Good Counsel
4,Mar'Keise Irving,RB,FR,5-10,190,"Chicago, IL",Hillcrest
9,Daniel Jackson,WR,SO,6-0,200,"Kansas City, KS",Bishop Miege
57,Cameron James,OL,FR,6-8,305,"Chicago, IL",Simeon Career Academy
25,Preston Jelen,RB,JR,5-10,210,"Prior Lake, MN",Prior Lake
90,Jah Joyner,DL,FR,6-5,250,"Danbury, CT",Danbury
17,Athan Kaliakmanis,QB,FR,6-4,205,"Antioch, IL",Antioch
80,Dino Kaliakmanis,WR,FR,6-2,200,"Antioch, IL",Antioch
87,Nick Kallerup,TE,SO,6-5,270,"Wayzata, MN",Wayzata
57,Jack Kern,DL,JR,6-2,305,"Eau Claire, WI",Eau Claire Memorial
99,Dragan Kesich,K,SO,6-4,230,"Oak Creek, WI",Oak Creek
41,Connor Keyes,LB,FR,6-2,230,"Cincinnati, OH",Elder
17,Gage Keys,DL,FR,6-5,280,"Hilliard, OH",Hilliard Davidson
42,Ko Kieft,TE,SR,6-5,265,"Sioux Center, IA",Sioux Center
12,Cole Kramer,QB,SO,6-1,205,"Eden Prairie, MN",Eden Prairie
73,Tyrell Lawrence,OL,FR,6-7,355,"Milton, Canada",Clearwater Academy International
35,Derik LeCaptain,LB,SO,6-2,235,"Gardner, WI",Southern Door
71,Martes Lewis,OL,FR,6-7,325,"Merrillville, IN",Merrillville
45,Cody Lindenberg,LB,SO,6-3,235,"Anoka, MN",Anoka
97,Jalen Logan-Redding,DL,FR,6-4,275,"Columbia, MO",Rock Bridge
34,Boye Mafe,DL,SR,6-4,265,"Golden Valley, MN",Hopkins
82,Jonathan Mann,WR,FR,6-3,225,"Rosemount, MN",Rosemount
76,Saia Mapakaitolo,OL,FR,6-5,270,"Mesa, AZ",Red Mountain
