No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
52,Jonathan Adorno,OL,SO,6-4,305,"Raleigh, NC",Rolesville
68,Brian Anderson,OL,SR,6-3,305,"Montgomery, AL",Montgomery Catholic
77,Wisdom Asaboro,OL,SO,6-8,315,"Warri, Nigeria",Covenant Day (N.C.)
7,Eugene Asante,LB,JR,6-1,220,"Chantilly, VA",Westfield
17,Grayson Atkins,PK,SR,5-9,200,"Boiling Springs, SC",Boiling Springs/Furman
57,Cayden Baker,OL,SO,6-5,305,"Fort Myers, FL",Fort Myers
14,Dontae Balfour,DB,FR,6-2,180,"Starke, FL",Bradford
76,William Barnes,OL,JR,6-4,325,"Apopka, FL",Apopka
27,Giovanni Biggers,DB,JR,6-1,200,"Woodbridge, VA",Boys’ Latin
41,Kedrick Bingley-Jones,DL,FR,6-4,305,"Concord, NC",Providence Day
2,Gavin Blackwell,WR,FR,6-0,185,"Indian Trail, NC",Sun Valley
14,Jefferson Boaz,QB,FR,6-7,245,"Pilot Mountain, NC",East Surry
16,DeAndre Boykins,DB,FR,5-11,205,"Concord, NC",Central Cabarrus
24,British Brooks,RB,SR,5-11,210,"Gastonia, NC",Ashbrook
36,Jalen Brooks,LB,FR,6-0,240,"Knightdale, NC",Cardinal Gibbons
1,Khafre Brown,WR,SO,6-0,185,"Charlotte, NC",West Mecklenburg
70,Noland Brown,OL,SO,6-0,290,"Bryson City, NC",Swain County
28,Tymir Brown,DB,FR,5-10,180,"Jacksonville, NC",Jacksonville
94,Adam Buck,P,JR,6-2,205,"Reidsville, NC",Rockingham County
35,Carson Burgess,WR,JR,5-11,170,"Greensboro, NC",Southeast Guilford
98,Noah Burnette,PK,FR,5-9,175,"Raleigh, NC",Leesville Road
54,Chance Carroll,OL,FR,6-2,300,"Mooresville, NC",Hough
19,Ty Chandler,RB,SR,6-0,210,"Nashville, TN",Montgomery Bell Academy/Tennessee
2,Don Chapman,DB,JR,6-1,200,"San Diego, CA",Lincoln
17,Chris Collins,LB,JR,6-5,255,"Richmond, VA",Benedictine College Prep
0,Ja'Qurious Conley,DB,SO,6-1,210,"Jacksonville, NC",Northside
81,John Copenhaver,TE,FR,6-3,245,"Roswell, GA",Roswell
15,Beau Corrales,WR,SR,6-3,210,"Georgetown, TX",Georgetown
13,Tylee Craft,WR,SO,6-4,205,"Sumter, SC",Sumter
6,Jacolby Criswell,QB,SO,6-0,220,"Morrilton, AR",Morrilton
80,Will Crowley,TE,SO,6-0,240,"Winston-Salem, NC",Reynolds
11,Raneiria 'Rara' Dillworth,LB,FR,6-2,205,"Winston-Salem, NC",Glenn
87,Colby Doreen,DL,FR,6-4,245,"Middletown, MD",Middletown
11,Josh Downs,WR,SO,5-10,180,"Suwanee, GA",North Gwinnett
29,Storm Duck,DB,SO,6-1,205,"Boiling Springs, SC",Boiling Springs
23,Power Echols,LB,FR,6-0,220,"Charlotte, NC",Chambers (Formerly Vance)
33,Kamarro Edmonds,RB,FR,6-0,230,"Havelock, NC",Havelock
38,Val Edwards,DB,SO,6-2,210,"Raleigh, NC",Ravenscroft
13,Obi Egbuna,DB,JR,5-10,190,"Charlotte, NC",Charlotte Christian
10,Desmond Evans,LB,SO,6-6,265,"Sanford, NC",Lee County
75,Joshua Ezeudu,OL,JR,6-4,325,"Lawrenceville, GA",Archer
86,Thomas Flynn,WR,FR,6-3,205,"Charlotte, NC",Providence Day
56,Tomari Fox,DL,JR,6-2,290,"Lawrenceville, GA",Collins Hill
12,Tomon Fox,LB,SR,6-3,260,"Lawrenceville, GA",Collins Hill
44,Jeremiah Gemmel,LB,SR,6-1,225,"Newnan, GA",East Coweta
48,Dilan Gonzalez,LB,JR,6-3,235,"Broomfield, CO",Holy Family
89,Gray Goodwyn,WR,JR,5-8,160,"Charlotte, NC",Episcopal (Va.)
12,Stephen Gosnell,WR,SO,6-2,205,"Pilot Mountain, NC",East Surry
33,Cedric Gray,LB,SO,6-2,225,"Charlotte, NC",Ardrey Kell
3,Antoine Green,WR,SR,6-2,205,"Rockledge, FL",Rockledge
21,Elijah Green,RB,FR,6-0,205,"Roswell, GA",Blessed Trinity
20,Tony Grimes,DB,SO,6-1,195,"Virginia Beach, VA",Princess Anne
45,Jake Harkleroad,LB,SO,5-10,215,"Charlotte, NC",Myers Park
23,Josh Henderson,RB,JR,5-11,215,"Pennington, NJ",The Hun School
98,Kevin Hester Jr.,DL,SO,6-4,305,"Kennesaw, GA",North Cobb
18,Christopher Holliday,DB,FR,6-3,215,"Chapel Hill, NC",Jordan
15,Ladaeson DeAndre Hollins,DB,JR,6-2,205,"Tampa, FL",Thomas Jefferson
4,Caleb Hood,RB,FR,5-11,230,"Rockingham, NC",Richmond Senior
42,Tyrone Hopper,LB,SR,6-4,245,"Roswell, GA",Roswell
7,Sam Howell,QB,JR,6-1,220,"Indian Trail, NC",Sun Valley
43,Braden Hunter,LB,FR,6-1,230,"Chapel Hill, NC",Carrboro
69,Quiron Johnson,OL,SR,6-2,315,"Reidsville, NC",Reidsville
26,D.J. Jones,RB,SO,5-11,205,"Fayetteville, NC",Pine Forest
5,J.J. Jones,WR,FR,6-2,200,"Myrtle Beach, SC",Myrtle Beach
82,Kendall Karr,TE,FR,6-3,245,"Belmont, NC",Stuart W. Cramer
9,Cam'Ron Kelly,DB,JR,6-1,210,"Chesapeake, VA",Oscar Smith/Auburn
91,Ben Kiernan,P,JR,6-0,215,"Dublin, Ireland",Wakefield (N.C.)
95,Jonathan Kim,PK,JR,6-0,210,"Fredericksburg, VA",Massaponax
60,Carter Kulka,OL,FR,6-5,265,"Atlanta, GA",Woodward Academy
96,Teagen Lenderink,PK,FR,6-2,175,"Belmont, MI",Brentwood Academy (Tenn.)
61,Drew Little,DS,JR,5-11,220,"Richfield, NC",North Stanly
65,Nick Mackovic,OL,JR,6-3,310,"Greensboro, NC",Page
53,Gibson Macrae,LB,FR,6-2,230,"Pinehurst, NC",Pinecrest
10,Drake Maye,QB,FR,6-5,220,"Charlotte, NC",Myers Park
92,Cole Maynard,P,FR,6-2,165,"Mooresville, NC",Hough
64,Malik McGowan,OL,FR,6-3,340,"Charlotte, NC",Charlotte Catholic
73,Marcus McKethan,OL,SR,6-7,335,"Barnwell, SC",Barnwell
1,Kyler McMichael,DB,JR,6-0,210,"Atlanta, GA",Greater Atlanta Christian School/Clemson
