No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
65,Chris Adams,OL,FR,6-6,310,"Hagerstown, MD",South Hagerstown
29,Ali Ali,CB,FR,5-10,183,"Philadelphia, PA",St. Frances Academy
14,Dominique Anthony,QB,FR,6-1,225,"Temple Hills, MD",Potomac
84,Donta Anthony Jr.,TE,JR,6-6,244,"Temple Hills, MD",Potomac
3,Frederik Antoine,WR,FR,6-1,213,"Montreal, Canada",Montmorency College
60,Joshua Bennett,OL,FR,6-4,300,"Castleton, VA",Rappahannock County / Fork Union
99,Tyre Bibby,DT,JR,6-3,281,"Miami, FL",American Senior / Coffeyville
63,Xavier Black,OL,FR,6-4,270,"Fishersville, VA",Wilson Memorial
7,Harrell Blackmon,S,SR,5-11,195,"Jackson, MS",Callaway / Copiah-Lincoln
66,Andrew Blanton,OL,FR,6-2,295,"Midlothian, VA",Clover Hill
9,Trey Blount,WR,JR,6-2,211,"Atlanta, GA",Pace Academy / Georgia
1,Jordan Bly,WR,FR,5-10,165,"Charlotte, NC",Myers Park
97,Devin Brandt-Epps,DT,FR,6-3,283,"Broken Arrow, OK",Hilldale / Northeastern Oklahoma A&M
0,Malcolm Britt,LB,FR,6-0,217,"Norfolk, VA",Oscar Smith
5,Will Brocchini,CB,SR,5-9,178,"Sacramento, CA",Whitney / Sierra
32,Joshua Burdsall,LB,FR,6-0,213,"Woodbridge, VA",Forest Park
40,Alex Burton,P,SO,6-0,187,"Richmond, VA",Hermitage
89,Kris Caine,DE,FR,6-3,205,"Waldorf, MD",Westlake
28,Corey Chapman,S,FR,5-11,175,"Chesapeake, VA",Hickory
17,Damion Charity,CB,SO,6-1,180,"Hampton, VA",Phoebus
90,Taevion Clarke,DE,FR,6-3,205,"Baltimore, MD",Dr. Henry A. Wise
87,Braxton Collins,WR,FR,6-4,187,"Greer, SC",Greer
34,John Cook,LB,FR,6-0,200,"Manassas, VA",Charles J. Coglan
20,Roger Cray,CB,SR,5-9,175,"Lake City, FL",Columbia HS / WKU
59,Will Daniel,DT,FR,6-0,275,"Chesapeake, VA",Oscar Smith / Hampton
12,Elijah Davis,RB,SO,5-10,209,"Lynchburg, VA",Heritage
13,Marqeese Dietz,WR,FR,6-0,180,"Norfolk, VA",Norview
95,Ethan Duane,P,FR,6-1,212,"Melbourne, Australia",-
58,Stephon Dubose-Bourne,OL,FR,6-4,313,"Chesapeake, VA",Indian River
48,Estefano Feliciano Jr.,DE,JR,6-1,260,"Tampa, FL",Gaither
6,Nigel Fitzgerald,WR,SO,6-5,225,"Greensboro, NC",Dudley
86,Avery Ford,TE,FR,6-5,190,"Clifton, VA",Centreville
50,Alonzo Ford Jr.,DT,FR,6-3,275,"Richmond, VA",Varina
44,Matt Geiger,RB,JR,5-10,197,"Dillsburg, PA",Bishop McDevitt
68,Caleb Gosney,OL,FR,6-3,295,"Richmond, VA",Varina
75,Skyler Grant,OL,FR,6-3,306,"Fredericksburg, VA",Riverbend
