No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
55,David Abiara,EDG,FR,6-4,256,"Mansfield, TX",Legacy
40,Ayodele Adeoye,LB,JR,6-1,240,"St. Louis, MO",IMG Academy [Fla.]
1,Chris Adimora,DB,JR,6-1,204,"Long Beach, CA",Mayfair
82,Kartik Akkihal,WR,JR,6-2,192,"Austin, TX",Vandegrift
13,Jaden Alexis,WR,FR,6-0,188,"Pompano Beach, FL",Monarch
87,Parker Alford,WR,SO,5-10,180,"Dripping Springs, TX",Dripping Springs
86,Paxton Anderson,WR,FR,6-4,215,"Dallas, TX",Highland Park
75,Junior Angilau,OL,JR,6-6,319,"Salt Lake City, UT",East
45,Bert Auburn,K,FR,6-0,172,"Flower Mound, TX",Flower Mound
64,Michael Balis,OL,SO,6-5,287,"Plano, TX",Plano West
16,Ben Ballard,QB,SO,5-11,196,"Austin, TX",Hyde Park Baptist
23,Jahdae Barron,DB,SO,5-11,186,"Pflugerville, TX",Connally
97,Patrick Bayouth,EDG,SO,6-4,280,"Bellaire, TX",Houston Episcopal
37,Morice Blackwell Jr.,LB,FR,6-1,203,"Arlington, TX",Martin
27,Skyler Bonneau,RB,SR,6-1,220,"Coppell, TX",Coppell
80,Cade Brewer,TE,SR,6-4,243,"Austin, TX",Lake Travis
47,Luke Brockermeyer,LB,JR,6-3,225,"Fort Worth, TX",All-Saints Episcopal
24,Jonathon Brooks,RB,FR,6-0,199,"Hallettsville, TX",Hallettsville
45,Vernon Broughton,DL,FR,6-4,306,"Houston, TX",Cypress Ridge
8,Ryan Bujcevski,P,SR,6-0,177,"Sydney, Australia",Marist Catholic College Penshurst
43,Jett Bush,LB,JR,6-2,236,"Houston, TX",Strake Jesuit
88,Casey Cain,WR,FR,6-3,192,"New Orleans, LA",Warren Easton
24,Marques Caldwell,DB,SO,6-1,198,"Alvin, TX",Alvin
1,Hudson Card,QB,FR,6-2,200,"Austin, TX",Lake Travis
99,Keondre Coburn,DL,JR,6-2,346,"Houston, TX",Westfield
27,JD Coffey III,DB,FR,6-0,183,"Kennedale, TX",Kennedale
95,Alfred Collins,DL,SO,6-5,302,"Bastrop, TX",Cedar Creek
76,Hayden Conner,OL,FR,6-5,332,"Katy, TX",Taylor
11,Anthony Cook,DB,SR,6-1,191,"Houston, TX",Lamar
35,Terrence Cooks II,LB,FR,6-2,220,"Pearland, TX",Shadow Creek
21,Kitan Crawford,DB,SO,5-11,196,"Tyler, TX",John Tyler
6,Ben Davis,EDG,SR,6-4,236,"Gordo, AL",Gordo / Alabama
81,Juan Davis,TE,FR,6-4,226,"Fort Worth, TX",Everman
17,Cameron Dicker,K,SR,6-1,216,"Austin, TX",Lake Travis
16,Kelvontay Dixon,WR,FR,6-0,179,"Carthage, TX",Carthage
32,Prince Dorbah,EDG,FR,6-3,234,"Dallas, TX",Highland Park
4,Darion Dunn,DB,SR,6-1,192,"Oakdale, LA",Oakdale / McNeese
43,Zach Edwards,DS,JR,5-11,211,"Azle, TX",Azle / Oklahoma
48,Jake Ehlinger,LB,SO,5-11,245,"Austin, TX",Westlake
39,Montrell Estell,WR,SR,6-1,196,"Hooks, TX",Hooks
41,Jaylan Ford,LB,SO,6-2,230,"Frisco, TX",Lone Star
25,B.J. Foster,DB,SR,6-2,199,"Angleton, TX",Angleton
77,Jaylen Garth,OL,FR,6-5,309,"Port Neches, TX",Port Neches-Groves
33,David Gbenda,LB,SO,6-0,224,"Katy, TX",Cinco Ranch
74,Rafiti Ghirmai,OL,JR,6-5,296,"Frisco, TX",Wakeland
91,Sawyer Goram-Welch,DL,FR,6-4,301,"Longview, TX",Longview
52,Chris Hannon,EDG,JR,6-2,229,"Houston, TX",Second Baptist
42,D.J. Harris Jr.,EDG,FR,6-2,226,"New Caney, TX",New Caney
30,Dajon Harrison,WR,FR,5-10,165,"Hutto, TX",Hutto
42,Nathan Hatter,TE,SO,6-2,233,"Leander, TX",Glenn
85,Gunnar Helm,TE,FR,6-5,238,"Englewood, CO",Cherry Creek
73,Isaiah Hookfin,OL,SO,6-5,299,"Sugar Land, TX",Fort Bend Dulles
29,Jaden Hullaby,LB,FR,6-2,223,"Dallas, TX",Mansfield Timberview
