No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Harrison Barker,QB,FR,5-11,200,"Hoover, AL",Spain Park
64,Jacob Batts,OLB,SR,6-0,220,"Holly Ridge, NC",New Hanover
97,Wilson Beaverstock,PK,SO,6-0,205,"Mobile, AL",St. Paul's Episcopal School
79,Trey Bedosky,OL,FR,6-6,285,"Fairborn, GA",Landmark Christian
5,Charlie Benton,LB,SR,6-1,230,"Opelika, AL",Opelika / West Virginia
56,Brennan Blake,OLB,FR,6-3,235,"West Blocton, AL",West Blocton
21,Will Boler,S,JR,6-0,215,"Opelika, AL",Opelika
51,Tamarious Brown,LB,FR,6-2,220,"Memphis, TN",Kirby
84,Dawson Brown II,WR,JR,5-9,160,"Kennesaw, GA",Copiah-Lincoln
1,Jermaine Brown Jr.,RB,JR,5-8,185,"Mobile, AL",St. Luke's Episcopal
80,Maleak Bryant,TE,JR,6-6,240,"Atlanta, GA",Mays / Garden City
43,Reese Burkhardt,PK,FR,6-1,210,"Andalusia, AL",Andalusia
20,Devodric Bynum,CB,JR,5-11,195,"Dallas, TX",Lincoln / Northeastern Oklahoma A&M
60,Therion Cannon,OL,FR,6-3,265,"Ridgeland, SC",Thomas Heyward
12,Grayson Cash,S,JR,6-0,200,"Trussville, AL",Hewitt-Trussville
50,Clay Collins,OL,FR,6-2,290,"Birmingham, AL",Oak Mountain
45,Will Conner,LB,SO,6-1,225,"Alabaster, AL",Thompson
96,Montaj Cook,DL,FR,6-1,300,"Alabaster, AL",Thompson
90,Matthew Craig,DL,FR,6-1,270,"Jacksonville, FL",Mandrin
38,Mike Crawford,TE,FR,6-3,245,"Spanish Fort, AL",Spanish Fort
88,Brody Dalton,TE,FR,6-5,245,"Fyffe, AL",Fyffe
48,Bryce Damous,TE,JR,6-2,225,"Huntington, WV",Huntington HS / Garden City
3,CD Daniels,CB,SR,6-2,185,"Birmingham, AL",Homewood
46,Charles Daniels III,LB,FR,6-2,220,"Plano, TX",John Paul II
86,Teddy Davenport,WR,FR,5-10,170,"Alpharetta, GA",Denmark HS
6,Ryan Davis,WR,SO,5-11,185,"Roswell, GA",Blessed Trinity Catholic
38,Trent Davis,S,FR,6-0,190,"Corner, AL",Corner
81,A.j. Davis IV,WR,SO,5-11,180,"Alcoa, TN",Maryville
33,Colby Dempsey,CB,FR,5-10,180,"West Palm Beach, FL",St. Thomas Aquinas
37,Nikia Eason Jr.,OLB,JR,6-4,220,"Bessemer, AL",Bessemer
39,Xander Echols,LS,FR,6-0,215,"Chelsea, AL",Chelsea
93,Michael Fairbanks II,OLB,JR,6-3,265,"Powder Springs, GA",McEachern
13,Fred Farrier II,WR,FR,6-1,180,"Frankfort, KY",Franklin County
54,Zaire Flournoy,OL,FR,6-3,300,"Douglasville, GA",Chapel Hill
91,Isaiah Forte,DL,JR,6-3,300,"Montgomery, AL",Carver-Montgomery / Northeast Mississippi CC
23,A.J. Gates,RB,SO,5-7,195,"Birmingham, AL",Mountain Brook / Alabama
40,Charlie Goode,LB,FR,6-3,215,"Homewood, AL",Homewood
