No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
66,Justin Aletor,OL,SO,6-4,275,"Avondale, AZ",Agua Fria HS / San Diego
58,Demytrick Ali'ifua,OL,SR,6-3,320,"Hayward, CA",San Leandro
69,Falepule Alo,OL,SO,6-1,300,"Salt Lake City, UT",West
38,Johnny Alo,ILB,FR,5-10,205,"Salt Lake City, UT",West
22,Michael Anyanwu,CB,JR,5-9,170,"Covina, CA",Charter Oak
9,Jaylin Bannerman,DE,SR,6-5,230,"Pickerington, OH",Pickerington Central / Arizona Western JC
4,Shaq Bond,S,SR,5-11,185,"Decatur, IL",MacArthur / Southwestern JC
1,Logan Bonner,QB,JR,6-1,230,"Rowlett, TX",Rowlett / Arkansas State
60,Wyatt Bowles,OL,JR,6-5,295,"West Point, UT",Syracuse
16,Brandon Bowling,WR,SR,5-9,185,"McKinney, TX",Boyd / Arkansas State
55,Aaron Bredsguard,DT,SO,6-2,280,"Bountiful, UT",Viewmont
41,McKay Breshears,ILB,FR,6-0,210,"Declo, ID",Declo
85,Parker Buchanan,TE,FR,6-6,215,"Brigham City, UT",Box Elder
7,Josh Calvin,QB,SO,6-2,205,"Bellflower, CA",Mayfair
12,Ajani Carter,OLB,JR,6-0,185,"Houston, TX",North Shore
80,Sean Carter,WR,SR,6-3,190,"Westlake Village, CA",Westlake / Fullerton JC
43,Tyson Chisholm,ILB,FR,6-0,215,"Monroe, UT",South Sevier
59,Connor Coles,PK,SR,5-11,205,"Bozeman, MT",Bozeman
18,NyNy Davis,WR,FR,5-8,150,"Attalla, AL",Etowah
74,Chandler Dolphin,OL,SR,6-3,290,"Sandy, UT",Alta
43,Jack Drews,TE,SO,6-3,240,"Ramona, CA",Ramona
72,Alfred Edwards,OL,SR,6-7,320,"Redlands, CA",Redlands Senior
49,Jacob Garcia,LS,FR,6-0,245,"Anaheim, CA",Servite
13,Shawn Gates,CB,FR,6-0,175,"Akron, OH",East
2,John Gentry,RB,SO,5-10,190,"Houston, TX",North Shore
5,Cash Gilliam,OLB,SR,6-0,200,"Dayton, OH",Wayne / Arizona Western JC
36,Izzy Gordon,RB,FR,6-1,225,"Riverdale, UT",Roy
21,Andre Grayson,CB,SR,5-8,175,"Rancho Cucamonga, CA",Etiwanda
