No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
16,Justin Anderson,DB,SO,6-1,181,"East Palo Alto, CA",Menlo-Atherton HS
4,Armauni Archie,DB,SO,6-0,187,"Vallejo, CA",El Cerrito HS
94,Moon Ashby,EDG,SO,6-4,220,"San Jose, CA",Valley Christian HS
57,Nick Ayers,LB,SO,6-3,230,"Petaluma, CA",Petaluma HS
53,Ricky Baker,LB,JR,5-11,220,"Monroe, WA",Monroe HS
49,Gavin Barthiel,LB,FR,6-1,219,"Lakeland, FL",Lake Gibson HS
5,Jouvensly Bazil,RB,SO,5-10,185,"Naples, FL",Golden Gate HS
9,Renard Bell,WR,SR,5-8,165,"Los Angeles, CA",Cathedral HS
75,Cade Beresford,OL,JR,6-7,300,"Woodinville, WA",Woodinville HS
67,Jack Beresford,DL,FR,6-2,236,"Woodinville, WA",Woodinville HS
28,Jhamell Blenman,DB,FR,5-9,181,"Compton, CA",St. Bernard HS
34,Arna Bontemps,DB,FR,6-1,172,"Whittier, CA",La Serna HS
21,Max Borghi,RB,SR,5-10,205,"Arvada, CO",Pomona HS
42,Jake Bowen,WR,FR,6-3,210,"Vancouver, WA",Union HS
27,Andrew Boyle,K,SO,6-2,193,"Camas, WA",Camas HS
82,Travion Brown,LB,JR,6-3,230,"Moreno Valley, CA",Linfield Christian HS
19,Marshawn Buchanan,WR,SO,5-11,181,"Victorville, CA",Adelanto HS
63,Carter Carlson,EDG,SO,6-2,227,"Olympia, WA",Capital HS
92,Sam Carrell,DL,FR,6-4,265,"Albuquerque, NM",Sandia HS
41,Dylan Clinton,WR,FR,5-8,175,"Bellflower, CA",St. John Bosco HS
2,Cammon Cooper,QB,JR,6-4,208,"Lehi, UT",Lehi HS
54,Ahmir Crowder,DL,JR,6-3,295,"Los Angeles, CA",Crenshaw HS
22,Matthew Dandridge,DB,SO,5-8,178,"Los Angeles, CA",Serra HS
28,Chad Davis Jr.,DB,SR,6-2,205,"Daytona, FL",Mainland HS / Independence CC
65,Brock Dieu,OL,FR,6-3,289,"Queen Creek, AZ",Casteel HS
42,Halid Djibril,DB,JR,6-1,202,"Los Angeles, CA",Cathedral HS
23,Cole Dubots,RB,SR,6-1,205,"Murrieta, CA",Vista Murrieta HS
90,Lucas Dunker Jr.,K,SO,6-0,222,"Frederick, CO",Frederick HS / Garden City CC
78,Jesus Echevarria,DL,SR,6-2,290,"Everett, WA",Archbishop Murphy HS
68,Alec Eckert,DL,FR,6-3,258,"Lewiston, ID",Lewiston HS
95,Andrew Edson,EDG,FR,6-4,238,"Snoqualmie, WA",Mount Si HS
59,Joshua Erling,LB,JR,6-1,219,"Snohomish, WA",Glacier Peak HS / George Fox
31,Hunter Escorcia,DB,SO,6-1,188,"Murrieta, CA",Vista Murrieta HS
50,Lawrence Falatea,EDG,FR,6-4,208,"Sandy, UT",Alta HS
29,Fa’alili Fa’amoe,DL,SO,6-5,271,"Pago Pago, American Samoa",Leone HS
66,Ma'ake Fifita,OL,SO,6-5,293,"Everett, WA",Glacier Peak HS
23,Kaleb Ford-Dement,DB,SR,5-11,188,"Whitehouse, TX",Whitehouse HS / Old Dominion
55,Marquise Freeman,EDG,SO,6-3,215,"Cocoa, FL",Cocoa HS
10,Victor Gabalis,QB,SO,6-3,213,"Everett, WA",Archbishop-Murphy HS
97,Ty Garay-Harris,DL,SO,6-5,275,"Oakland, CA",Bishop O'Dowd HS
77,Konner Gomness,OL,SO,6-4,285,"Lemoore, CA",San Joaquin Memorial HS
83,Brandon Gray,WR,JR,6-5,195,"Detroit, MI",Cass Tech HS
50,Brian Greene,OL,SR,6-3,300,"Yakima, WA",Eisenhower HS
26,Anderson Grover,WR,JR,6-1,190,"Modesto, CA",Downey HS / Modesto JC
18,Jarrett Guarantano,QB,SR,6-4,220,"Lodi, NJ",Bergen Catholic HS / Tennessee
60,David Gusta,DL,FR,6-3,253,"San Bernardino, CA",Cajon HS
38,Nick Haberer,P,FR,6-5,224,"Sunshine Coast, Australia",Meridan State College / Brisbane Lions Academy
39,Jaedon Hall,DB,FR,6-2,195,"Lakewood, WA",Lakewood HS
1,Travell Harris,WR,SR,5-9,185,"Tampa, FL",Jesuit HS
58,Daniel Harrison,LB,FR,6-0,193,"Snoqualmie, WA",Mount Si HS
35,Deonte Hayes,DB,FR,6-0,175,"Spanaway, WA",Spanaway Lake HS
25,Jaden Hicks,DB,FR,6-3,202,"Las Vegas, NV",Bishop Gorman HS
18,George Hicks III,DB,SR,6-0,191,"San Bernardo, CA",Cajon HS
61,Christian Hilborn,OL,FR,6-5,319,"Salt Lake City, UT",Highland HS
1,Tyrone Hill Jr.,DB,SR,6-2,206,"Passaic, NJ",Don Bosco Prep / Buffalo
98,Dallas Hobbs,DL,SR,6-6,285,"Cedar Rapids, IA",Washington HS / Deerfield Academic Prep
12,Joey Hobert,WR,SO,5-11,184,"Ladera Ranch, CA",San Juan Hills HS
98,Luke Holcomb,QB,FR,6-5,195,"Puyallup, WA",Puyallup HS
36,Tre Horner,DB,FR,6-2,180,"Steilacoom, WA",Steilacoom HS
57,Giovanni Iovino,LB,FR,6-0,212,"Las Vegas, NV",Bishop Gorman HS
13,Chris Irvin,QB,FR,6-3,185,"Coeur d'Alene, ID",Lake City HS
3,Daniel Isom,DB,SR,6-0,194,"St. Louis, MO",St. Louis University HS / Iowa Western
80,Brennan Jackson,EDG,JR,6-4,255,"Temecula, CA",Great Oak HS
2,Chris Jackson,DB,JR,6-0,200,"Marietta, GA",Lassiter HS / Michigan State
8,Calvin Jackson Jr.,WR,SR,5-10,194,"Fort Lauderdale, FL",Coral Spring Charter HS / Independence CC
90,Nathaniel James,DL,SO,6-0,270,"Avon, IN",Avon HS
49,Dean Janikowski,K,SO,6-1,211,"Fallbrook, CA",Cathedral Catholic HS
45,Carter Kamana,WR,SO,6-1,181,"Honolulu, HI",Iolani HS
