No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
69,Eric Abojei,OG,SR,6-5,328,"New Hope, MN",Robbinsdale Cooper
23,Alphonzo Andrews Jr.,RB,SO,5-10,185,"St. Louis, MO",Trinity Catholic
74,Blayne Baker,OG,JR,6-5,305,"Sheridan, WY",Sheridan
72,Caden Barnett,OL,FR,6-5,305,"Justin, TX",Northwest
3,Gavin Beerup,QB,FR,6-5,201,"Camarillo, CA",St. Bonaventure
96,Jordan Bertagnole,DT,SO,6-4,275,"Casper, WY",Natrona
58,Latrell Bible,C,SO,6-4,300,"Minneapolis, MN",Washburn
18,Keyon Blankenbaker,N,SR,5-10,185,"Oak Park, IL",Oak Park-River Forest
57,Brady Bohlinger,LB,FR,6-2,226,"Windsor, CO",Windsor
87,Akili Bonner,DT,SO,6-4,261,"Carmichael, CA",Jesuit
52,Jack Boyer,DE,JR,6-4,225,"Arvada, CO",Arvada West
22,Joseph Braasch,RB,FR,6-1,210,"Colombus, NE",Columbus
9,Alex Brown,WR,SO,6-4,190,"Spring, TX",Klein Collins
23,Wrook Brown,S,FR,5-11,175,"Salado, TX",Salado
51,Solomon Byrd,DE,JR,6-4,249,"Palmdale, CA",William J.P. Knight
16,Xavier Carter,CB,FR,6-0,175,"Manvel, TX",Manvel
2,Sean Chambers,QB,JR,6-3,225,"Kerman, CA",Kerman
24,Michael Chavez,S,FR,6-0,190,"Folsom, CA",Folsom
80,Parker Christensen,TE,SO,6-2,229,"Sheridan, WY",Sheridan
12,Jayden Clemons,QB,JR,6-1,208,"Lehi, UT",University of Utah
18,Joshua Cobbs,WR,FR,6-4,196,"San Antonio, TX",Wagner
21,C.J. Coldon,CB,JR,6-1,180,"Belleville, IL",Althoff Catholic
55,Claude Cole,DT,JR,6-4,266,"Palo Alto, CA",Bellarmine Prep
29,Caleb Cooley,WR,SO,5-7,170,"Chico, CA",Butte C.C.
30,Buck Coors,N,FR,5-11,178,"Loveland, CO",Resurrection Christian
88,Garrett Crall,DE,SR,6-5,239,"Hicksville, OH",Hicksville
75,Frank Crum,OT,JR,6-7,314,"Laramie, WY",Laramie
73,Keegan Cryder,C,SR,6-4,309,"Littleton, CO",Dakota Ridge
17,Tre Dean,CB,FR,5-9,160,"Sacramento, CA",De La Salle
97,Ethan Drewes,DT,SO,6-3,240,"Longmont, CO",Northern Colorado
36,Caleb Driskill,FB,FR,6-2,235,"Gillete, WY",Thunder Basin
19,Ayden Eberhardt,WR,SR,6-2,195,"Loveland, CO",Loveland
31,Wyett Ekeler,SS,FR,5-11,190,"Windsor, CO",Windsor
99,Will Evans,DT,FR,6-3,245,"Houston, TX",C.E. King
27,Ralph Fawaz,PK,FR,6-1,195,"Cache, OK",Cache
63,Ben Florentine,DT,FR,6-1,210,"Anaheim, CA",Servite
5,Esaias Gandy,FS,SR,6-1,198,"Aurora, CO",Denver South
16,Gunner Gentry,WR,SR,6-3,208,"Aurora, CO",Grandview
28,Easton Gibbs,LB,SO,6-2,227,"Temecula, CA",Temecula Valley
13,Hank Gibbs,QB,FR,6-5,226,"Fayetteville, AR",Fayetteville
