No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
12,Alfonzo Allen,S,FR,5-11,183,"Miami, FL",Miami Central HS
30,Michael Allen,S,FR,5-8,177,"Stilwell, KS",Blue Valley HS
13,Luke Anthony,QB,SR,6-1,208,"Dallas, TX",All Saints Episcopal / ACU / Louisiana Tech
46,Tony Anyanwu,OLB,SO,6-2,243,"Rowlett, TX",Sachse HS
80,Monaray Baldwin,WR,SO,5-9,164,"Killeen, TX",Shoemaker HS
83,Elijah Bean,WR,FR,6-4,220,"Humble, TX",Summer Creek HS
28,Devyn Bobby,S,FR,5-10,174,"Desoto, TX",Desoto HS
96,Bryce Boland,K,SO,5-11,172,"Waco, TX",Midway HS
24,Cameron Bonner,WR,FR,5-11,178,"Houston, TX",St. Thomas HS
36,Tyrone Brown,LB,FR,5-11,222,"Orange, TX",West Orange-Stark HS
26,Jonah Burton,WR,FR,5-11,203,"Simi Valley, CA",Simi Valley HS
22,Reggie Bush,CB,FR,6-0,183,"Frisco, TX",Independence HS
58,Gavin Byers,OL,JR,6-5,310,"Grapevine, TX",Colleyville Heritage HS
34,Josh Cameron,WR,FR,6-1,216,"Cedar Park, TX",Cedar Park HS
41,Cisco Caston,S,FR,6-1,210,"Weatherford, TX",Weatherford HS
25,Jacoby Clarke,RB,JR,5-11,231,"The Woodlands, TX",The Woodlands HS
69,Clayton Collier,OL,FR,6-2,272,"Frisco, TX",Legacy Christian Academy
89,Drake Dabney,TE,JR,6-5,251,"Cypress, TX",Cypress Ranch HS
81,Jonathan Davidson,WR,SO,6-1,206,"Fulshear, TX",Fulshear HS
54,Timothy Dawn,OL,FR,6-2,304,"Camden, AR",Fairview HS
5,Dillon Doyle,LB,SR,6-3,240,"Iowa City, IA",West HS / Iowa
15,Kyron Drones,QB,FR,6-2,223,"Pearland, TX",Shadow Creek HS
79,Alvin Ebosele,OL,FR,6-6,308,"Coppell, TX",Coppell HS
75,Elijah Ellis,OL,JR,6-6,339,"Paris, TX",Paris HS
84,Jaylen Ellis,WR,JR,6-3,184,"Round Rock, TX",Cedar Ridge HS
99,Tre Emory,DL,FR,6-2,318,"Mount Pleasant, TX",Mount Pleasant HS
42,Jeremy Evans,LB,FR,6-1,209,"Tenaha, TX",Tenaha HS
21,Josh Fleeks,RB,SR,6-0,204,"Dallas, TX",Cedar Hill HS
9,TJ Franklin,DL,SR,6-5,265,"Temple, TX",Temple HS
66,Jacob Gall,OL,SR,6-2,299,"Cincinnati, OH",Archbishop Moeller / Buffalo
76,Connor Galvin,OL,SR,6-7,302,"Katy, TX",Katy HS
49,Will Garner,LB,SO,6-2,220,"Spring, TX",Klein HS
19,Javon Gipson,WR,FR,6-3,200,"Richmond, TX",George Ranch HS
24,Corey Gordon Jr.,S,FR,6-2,175,"Oklahoma City, OK",Putnam City West HS
26,Garrison Grimes,LS,FR,6-2,215,"American Fork, UT",American Fork HS
95,Gabe Hall,DL,JR,6-6,296,"Waller, TX",Waller HS
53,Ben Hamilton,LB,SO,6-0,187,"Frisco, TX",Legacy Christian Academy
98,Isaiah Hankins,K,SO,6-0,189,"Little Rock, AR",Little Rock Christian
25,Byron Hanspard Jr.,CB,SR,6-0,182,"DeSoto, TX",DeSoto HS
16,Mike Harris,S,SO,5-10,168,"Phenix City, AL",Central HS
50,Connor Heffernan,OL,FR,6-4,287,"Georgetown, TX",Georgetown HS
6,Gavin Holmes,WR,SR,5-11,200,"Justin, TX",Northwest HS
62,Siaki Ika,DL,JR,6-4,358,"Salt Lake City, UT",East HS / LSU
7,Bryson Jackson,OLB,SR,6-2,204,"Mansfield, TX",Lake Ridge HS
72,Mose Jeffery,OL,SR,6-4,321,"Longview, TX",Pine Tree HS / Kilgore JC
23,Jordan Jenkins,RB,FR,6-1,222,"Lindale, TX",Lindale HS
