No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
73,Joseph Amos,OL,FR,6-6,310,"Lancaster, TX",Lancaster HS
19,Hank Bachmeier,QB,SR,6-1,210,"Murrieta, CA",Murrieta Valley HS
30,Isaiah Bagnah,EDG,JR,6-4,225,"Lethbridge, Canada",Lethbridge Collegiate Institute
71,Cade Beresford,OL,SR,6-7,305,"Woodinville, WA",Woodinville HS / Washington State
49,Jack Beresford,TE,FR,6-3,250,"Woodinville, WA",Woodenville HS / Washington State
1,Caleb Biggers,CB,SR,5-11,195,"Baltimore, MD",Calvert Hall College HS / Bowling Green
81,Austin Bolt,WR,SO,6-3,210,"Boise, ID",Borah HS
18,Billy Bowens,WR,SR,6-1,198,"Redlands, CA",Redlands East Valley HS
25,Isaiah Bradford,S,FR,6-0,170,"Redlands, CA",Redlands East Valley HS
92,Michael Callahan,DT,JR,6-3,280,"Yorba Linda, CA",Yorba Linda HS
7,Latrell Caples,WR,SO,6-1,190,"Lancaster, TX",Lancaster HS
57,Nathan Cardona,OL,SO,6-3,280,"Yorba Linda, CA",Yorba Linda HS
62,Roger Carreon,OL,FR,6-5,310,"Jal, NM",Jal HS
77,Kage Casey,OL,FR,6-5,295,"Happy Valley, OR",Clackamas HS
41,Jaylen Clark,CB,SO,6-2,200,"Tacoma, WA",Lincoln HS
32,Bryce Cleave,S,FR,6-0,190,"Gig Harbor, WA",Peninsula HS
5,Stefan Cobbs,WR,SR,6-0,192,"Fort Worth, TX",Fossil Ridge HS
40,Russell Corrigan,TE,SO,6-3,245,"Hutchinson, MN",Hutchinson HS
94,Jackson Cravens,NT,SR,6-2,305,"Provo, UT",Timpview HS / Utah
33,Tyler Crowe,RB,JR,5-11,215,"Nampa, ID",Skyview HS
69,Garrett Curran,OL,SR,6-5,305,"El Cajon, CA",Granite Hills HS
35,Jonah Dalmas,K,JR,5-8,172,"Meridian, ID",Rocky Mountain HS
36,Justus Del Rio,CB,FR,5-11,175,"Meridian, ID",Capital HS/San Diego
66,Ben Dooley,OL,JR,6-5,320,"Fallon, NV",Churchill County HS
25,Kaden Dudley,RB,FR,5-11,198,"Monument, CO",Palmer Ridge HS
48,Jordan Erickson,S,FR,5-11,200,"Meridian, ID",Rocky Mountain HS
75,Will Farrar,OL,SR,6-5,325,"Richmond, TX",Travis HS / Texas Tech
90,Braxton Fely,DL,FR,6-2,280,"Orem, UT",Timpview HS
46,James Ferguson-Reynolds,P,FR,6-2,180,"Geelong, Australia",-
45,Will Ferrin,K,FR,6-3,180,"Kaysville, UT",Davis HS
29,Ben Ford,WR,FR,5-11,195,"Eagle, ID",Eagle HS
15,Colt Fulton,QB,FR,6-4,195,"Rancho Santa Margarita, CA",Santa Margarita HS
74,Jacob Golden,OL,JR,6-5,305,"Peoria, AZ",Peoria HS
