No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
52,Malik Adams,LB,SO,6-0,220,"Marietta, GA",Walton HS / Iowa Central CC
13,DJ Aiken,DL,FR,6-3,245,"Bluffton, SC",Bluffton HS
18,Jay Barry Jr.,WR,FR,6-2,185,"Boulder, CO",Fairview HS
48,Gaethan Bernadel,LB,SO,6-1,210,"Hallandale, FL",Hallandale HS
56,Tamarick Best,LB,FR,6-1,225,"Pahokee, FL",Pahokee HS
22,Brian Blades,DB,FR,5-10,160,"Fort Lauderdale, FL",American Heritage
76,Bo Blanchard,OL,FR,6-4,300,"Fort Myers, FL",Fort Myers HS
75,John Bock II,OL,FR,6-3,305,"Fort Lauderdale, FL",Cardinal Gibbons HS
14,Jalen Bracey,WR,JR,5-10,185,"Jackson, MS",Murrah HS / Mississippi Gulf Coast
28,Kyan Brumfield,DB,SR,6-0,185,"San Antonio, TX",Brandeis HS / Nebraska/Texas Tech/Colgate
74,Rey Burnett,OL,JR,6-5,290,"Edmond, OK",Santa Fe HS / Houston Baptist
4,Haden Carlson,QB,FR,6-3,192,"Lutz, FL",Steinbrenner HS
33,Nasir Carter,LB,SO,6-2,220,"Orlando, FL",West Orange HS
0,Tyrese Chambers,WR,SR,6-1,195,"Baltimore, MD",Baltimore Poly / Sacred Heart
40,Nehemiah Cher-Frere,DB,FR,6-4,180,"Hialeah, FL",Hialeah HS
4,CJ Christian,DB,SO,6-1,185,"Normal, IL",Normal Community HS / Iowa Central CC
6,Adrian Cole,DB,SO,5-11,185,"Plantation, FL",Plantation HS / Syracuse
34,Chance Coleman,LB,SO,6-1,217,"Tampa, FL",Gaither HS
98,Savion Collins,DL,FR,6-4,290,"Miami, FL",Miami Palmetto HS
55,Baba Conate,LB,SO,6-2,230,"Auburn Hills, MI",Avondale / Independence CC
92,Steven Conille,DL,SR,6-4,280,"Brooklyn, NY",Jeremiah E. Burke HS / Warner University
19,Percy Courtney Jr.,LB,FR,5-10,190,"Miami, FL",Western HS
83,Jalen Coutain,WR,FR,5-11,185,"Orlando, FL",Olympia HS
24,D'Verick Daniel,DB,JR,5-10,210,"Gainesville, FL",Gainesville HS / Catawba
89,Ty Danzy,DL,SO,6-5,235,"Anderson, SC",Westside HS
44,Keegan Davis,LB,FR,6-3,235,"Port Saint Lucie, FL",Treasure Coast HS
96,Jordan Doelling,P,SO,6-4,230,"Melbourne, Australia",Monash University
43,Nick Easters,P,FR,6-3,195,"Brownsburg, IN",Brownsburg HS
