No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
48,Justin Abraham,ILB,SO,6-1,233,"Hartsville, SC",Hartsville
17,KZ Adams,RB,FR,5-8,175,"West Columbia, SC",Gray Collegiate Academy
57,Marcus Anderson,ILB,JR,5-10,227,"Moultrie, GA",Colquitt County
89,Kellan Autenrieth,WR,SO,5-11,200,"Dallas, GA",North Paulding
69,MarQuez Bargman,C,FR,6-3,265,"Port St. Lucie, FL",Treasure Coast
64,Pat Bartlett,G,SR,6-4,295,"Newtown, PA",Council Rock North
77,Johnathan Bass,T,SR,6-4,290,"Acworth, GA",Kell
51,Jack Bernstein,LS,FR,5-11,235,"Alpharetta, GA",Alpharetta
78,Trey Bonner,OL,JR,6-4,299,"Gray, GA",Jones County
83,LaMarcus Brand,WR,SO,6-0,175,"Dacula, GA",Mountain View
89,Tarance Breedlove,WR,FR,6-0,170,"Loganville, GA",Loganville
75,Bryson Broadway,T,JR,6-4,270,"Dawsonville, GA",Dawsonville
5,Bryquice Brown,CB,JR,6-0,186,"Dorchester, MA",Lithia Springs (Ga.)
76,Jonathan Brown,OL,SO,6-5,295,"Anderson, SC",T.L. Hanna
5,Keilon Brown,QB,SO,6-0,190,"Zachary, LA",Zachary/Memphis
93,Jeremy Butler,DE,SO,6-3,225,"McDonough, GA",Eagle's Landing Christian
84,Kris Byrd,TE,SO,6-1,246,"Lyman, SC",Byrnes
42,Blake Carroll,ILB,SR,6-1,232,"Lawrenceville, GA",Mountain View
23,Marcus Carroll,RB,JR,5-10,205,"Union City, GA",Hapeville Charter Academy
67,Ben Chukwuma,OL,SR,6-6,280,"Austell, GA",Campbell
44,Jeffery Clark,DE,JR,6-0,276,"Powder Springs, GA",McEachern
10,Mikele Colasurdo,QB,SO,6-1,215,"Inman, SC",Chapman
68,Mason Cook,OL,SO,6-3,267,"Columbus, GA",Central (Ala.)
31,Ronald Cooper,CB,SO,5-10,180,"Savannah, GA",Jenkins
10,Jacorey Crawford,OLB,SR,6-0,215,"Thomson, GA",Thomson
8,Ja'Cyais Credle,WR,JR,6-4,202,"Columbus, GA",Carver/UCF
72,Luis Cristobal,G,JR,6-0,274,"Miami, FL",Christopher Columbus
79,Montavious Cunningham,T,FR,6-3,305,"Athens, GA",Clarke Central
53,Markland Davis,ILB,SR,6-1,225,"Suwanee, GA",North Gwinnett
43,Chris Davis Jr.,OLB,FR,6-3,224,"Tampa, FL",Armwood
98,Javon Denis,DE,JR,6-0,264,"Deerfield Beach, FL",Deerfield Beach
