No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
45,Mitchell Agude,DL,SR,6-5,255,"Corona, CA",Riverside / UCLA
57,Matt Antezana,OL,FR,6-0,247,"Miami, FL",Gulliver Prep
80,Elijah Arroyo,TE,SO,6-4,235,"Frisco, TX",Independence
27,Brian Balom,S,FR,6-0,200,"Miramar, FL",Miramar
43,Souleymane Bangoura,DB,SO,6-2,198,"Tucson, AZ",Catalina Foothills
31,Wesley Bissainthe,LB,FR,6-1,205,"Miami, FL",Miami Central
7,"Al Blades, Jr.",CB,JR,6-1,188,"Fort Lauderdale, FL",St. Thomas Aquinas
30,Andres Borregales,K,SO,5-11,170,"Miami, FL",Champagnat Catholic
81,Kahlil Brantley,TE,FR,6-2,225,"Opa-Locka, FL",Miami Northwestern
0,Romello Brinson,WR,SO,6-2,185,"Miami, FL",Miami Northwestern
11,Jacurri Brown,QB,FR,6-4,210,"Valdosta, GA",Lowndes
69,Johnnie Brown,OL,FR,6-2,350,"Lilburn, GA",Parkview
74,"John Campbell, Jr.",OL,JR,6-5,320,"Orlando, FL",Dr. Phillips
43,Isaiah Cashwell,RB,JR,5-8,215,"Mineola, NY",Chaminade
2,"Donald Chaney, Jr.",RB,FR,5-10,208,"Homestead, FL",Belen Jesuit
6,TreVonte' Citizen,RB,FR,6-1,221,"Lake Charles, LA",Lake Charles Prep
53,Jakai Clark,OL,JR,6-3,305,"Loganville, GA",Grayson
55,Anez Cooper,OL,FR,6-6,350,"Pleasant Grove, AL",Pleasant Grove
23,Te'Cory Couch,CB,JR,5-10,170,"Fort Lauderdale, FL",Chaminade-Madonna
81,Zaire Cox,WR,FR,6-4,170,"Miami, FL",School for Advanced Studies - Wolfson
16,Malik Curtis,CB,SO,5-11,170,"Fort Myers, FL",Bishop Verot
95,Thomas Davis,DE,FR,6-2,220,"Valdosta, GA",Lowndes
56,Jonathan Denis,OL,FR,6-3,320,"Homestead, FL",South Dade / Oregon
29,Isaiah Dunson,CB,SO,6-1,186,"Tucker, GA",Tucker
11,"Corey Flagg, Jr.",LB,SO,5-11,230,"Houston, TX",North Shore
22,"Thaddius Franklin, Jr.",RB,SO,6-0,240,"West Park, FL",Chaminade-Madonna
3,Gilbert Frierson,DB,JR,6-1,210,"Coconut Grove, FL",Coral Gables
13,Jake Garcia,QB,FR,6-3,194,"Whittier, CA",Grayson (Ga.)
15,Jacolby George,WR,SO,6-0,176,"Lauderhill, FL",Plantation
19,Jayden George,QB,SO,6-3,210,"Indianapolis, IN",Warren Central / Bowling Green
22,"Chris Graves, Jr.",DB,FR,6-1,175,"Fort Myers, FL",Bishop Verot
71,Jared Griffith,OL,JR,6-3,318,"Sarasota, FL",Riverview
33,Wade Gullickson,LB,FR,6-0,225,"Charlotte, NC",Charlotte Christian School
36,"Luis Gutierrez, Jr.",CB,SO,5-9,170,"Key Biscayne, FL",IMG Academy
20,Jalen Harrell,S,FR,6-2,210,"Hollywood, FL",Champagnat Catholic
19,Jaden Harris,DB,FR,6-0,195,"Atlanta, GA",Riverwood
81,Jared Harrison-Hunte,DL,SO,6-4,285,"Middle Village, NY",Christ The King
12,Jahfari Harvey,DL,SO,6-4,252,"Port St. Lucie, FL",Vero Beach
97,"Allan Haye, Jr.",DL,FR,6-2,305,"North Lauderdale, FL",Chaminade-Madonna
94,Lou Hedley,P,SR,6-4,220,"Mandurah, Australia",City College of San Francisco
48,Jake Hoffman,LB,SO,6-1,216,"Hollywood, FL",Chaminade-Madonna
16,Isaiah Horton,WR,FR,6-4,205,"Murfreesboro, TN",Oakland
37,Emmanuel Houvardas,LB,FR,5-10,200,"Tampa, FL",Berkeley Prep / Fordham
9,Avery Huff,LB,SO,6-3,205,"Fort Lauderdale, FL",St. Thomas Aquinas
97,Will Hutchinson,P,FR,6-4,195,"Barrington, IL",Barrington / Oregon
93,Jabari Ishmael,DE,FR,6-5,245,"Miami, FL",Christopher Columbus
8,DJ Ivey,CB,SR,6-1,195,"Florida City, FL",South Dade
6,"Darrell Jackson, Jr.",DL,SO,6-6,300,"Havana, FL",Gadsden County / Maryland
58,Clay James,LS,JR,5-11,195,"Cocoa, FL",Cocoa
40,Caleb Johnson,LB,SR,6-1,235,"Murrieta, CA",Vista Murrieta / UCLA
88,Dante Johnson,WR,SR,6-2,208,"Covington, GA",Newton
68,Ian Johnson,OL,-,5-10,280,"Miami, FL",Belen Jesuit
46,Nick Kelly,DB,FR,5-10,189,"Santa Rosa, CA",Cardinal Newman
32,Nyjalik Kelly,DL,FR,6-4,240,"Fort Lauderdale, FL",Dillard
24,Kamren Kinchens,S,SO,5-11,202,"Miami, FL",Miami Northwestern
4,Jaylan Knighton,RB,SO,5-10,190,"Lauderhill, FL",Deerfield Beach
8,"Frank Ladson, Jr.",WR,JR,6-3,205,"Miami, FL",South Dade / Clemson
59,Gabe Landers,LS,FR,5-11,183,"Bradenton, FL",IMG Academy
45,Bryan Levine,DL,SO,6-3,230,"Los Angeles, CA",Brentwood School
55,Jacob Lichtenstein,DL,SR,6-5,270,"Weston, FL",Cypress Bay / USC
85,Will Mallory,TE,SR,6-5,245,"Jacksonville, FL",Providence School
86,Dominic Mammarelli,TE,FR,6-4,248,"Naples, FL",Naples
17,Peyton Matocha,QB,SO,6-4,200,"Houston, TX",St. Thomas
78,Matthew McCoy,OL,FR,6-6,290,"Saint Augustine, FL",Creekside
79,Michael McLaughlin,OL,FR,6-7,300,"Parkland, FL",Stoneman Douglas
90,Akheem Mesidor,DL,SO,6-3,280,"Ottawa, Canada",Clearwater Academy / West Virginia
91,Jordan Miller,DL,JR,6-4,320,"Jacksonville, FL",Sandalwood
38,Myles Mooyoung,DB,FR,5-11,195,"Chicago, IL",Wylie E. Groves (Mich.)
39,Cyrus Moss,DL,FR,6-5,215,"Las Vegas, NV",Bishop Gorman
92,Ahmad Moten,DL,FR,6-3,325,"Fort Lauderdale, FL",Cardinal Gibbons
44,Antonio Moultrie,DL,SR,6-4,265,"Pensacola, FL",West Florida / UAB
35,Josh Murillo,WR,JR,6-3,203,"North Bergen, NJ",Lake Howell / East Los Angeles College
49,Mason Napper,LS,SO,6-2,225,"Marietta, GA",Lassiter
84,Josh Neely,DL,SO,6-3,260,"Miami, FL",Miami Senior
60,Zion Nelson,OL,JR,6-5,316,"Sumter, SC",Sumter
70,Justice Oluwaseun,OL,SR,6-3,325,"Richmond, TX",Foster / UNLV
21,"Henry Parrish, Jr.",RB,SO,5-10,190,"Goulds, FL",Christopher Columbus / Ole Miss
41,Seth Parrott,TE,FR,5-10,225,"Pisgah, NC",Canton
30,Mike Peraino,RB,-,5-9,192,"Staten Island, NY",Moore Catholic
46,Devon Perry,RB,SR,6-1,195,"Raleigh, NC",Ravenscroft / Richmond
53,Lucas Peterson,LB,SO,6-0,190,"Hartland, WI",Arrowhead
5,"Daryl Porter, Jr.",DB,SO,5-10,185,"Fort Lauderdale, FL",American Heritage / West Virginia
86,Fred Potter,P,FR,5-11,200,"London, United Kingdom",Gulliver Prep
48,Robert Prosek,TE,SO,6-4,240,"Key Largo, FL",Coral Shores
85,Sebastian Przytula,P,FR,6-1,205,"Largo, FL",Clearwater Central Catholic
34,Ryan Ragone,LB,JR,5-11,220,"Houston, TX",Pasadena Memorial / Arkansas State
83,Michael Redding III,WR,FR,6-2,202,"Pensacola, FL",IMG Academy
52,"Cleveland Reed, Jr.",OL,JR,6-3,320,"Fort Meade, FL",Fort Meade
7,Xavier Restrepo,WR,SO,5-10,195,"Coconut Creek, FL",Deerfield Beach
64,Jalen Rivers,OL,FR,6-5,325,"Jacksonville, FL",Oakleaf
99,Elijah Roberts,DL,SO,6-4,275,"Miami, FL",Christopher Columbus
47,Bryson Robertson,WR,FR,5-10,175,"Vienna, VA",Flint Hill
76,Ryan Rodriguez,OL,FR,6-2,275,"Miami, FL",Christopher Columbus
21,Khamauri Rogers,CB,FR,6-0,165,"Madison, MS",Holmes County Central
77,Logan Sagapolu,OL,FR,6-2,340,"Lehi, UT",Skyridge / Oregon
50,Andrew Saint Fleur,LB,-,5-11,200,"Naples, FL",Naples
44,Syncere Sampson,RB,FR,5-9,220,"Orlando, FL",The Master's Academy
51,"DJ Scaife, Jr.",OL,SR,6-3,314,"Miami, FL",Miami Southridge
69,Trent Scheuerman,DL,-,6-4,220,"Marietta, GA",Wheeler
50,Laurance Seymore,OL,FR,6-2,315,"Miami Gardens, FL",Miami Central
23,Jaleel Skinner,TE,FR,6-5,210,"Greer, SC",IMG Academy (Fla.)
12,Brashard Smith,WR,SO,5-10,194,"Richmond Heights, FL",Miami Palmetto
41,Chase Smith,LB,SO,6-2,210,"Palm Bay, FL",Bayside
4,Keontra Smith,LB,JR,5-11,205,"West Park, FL",Chaminade-Madonna
5,Key'Shawn Smith,WR,SO,6-1,182,"San Diego, CA",Lincoln
24,Lucious Stanley,RB,-,6-1,210,"Fort Myers, FL",North Fort Myers / UAB
17,"Waynmon Steed, Jr.",LB,SR,6-0,225,"Miami, FL",Miami Central
2,Tyrique Stevenson,CB,JR,6-0,214,"Miami, FL",Miami Southridge / Georgia
35,Michael Suarez,DB,-,5-11,220,"Miami, FL",Miami Killian
56,Leonard Taylor III,DL,SO,6-3,305,"Miami, FL",Miami Palmetto
66,Ousman Traore,OL,JR,6-3,310,"College Park, GA",Hapeville Charter / Hutchinson C.C.
87,Gabriel Valladares,TE,FR,6-3,230,"Miami, FL",Belen Jesuit
9,Tyler Van Dyke,QB,SO,6-4,224,"Glastonbury, CT",Suffield Academy
20,Terrell Walden II,RB,-,5-9,180,"Winter Garden, FL",West Orange
84,Jefferson Walls,WR,JR,5-11,185,"Orlando, FL",Lake Highland / Butler
72,Chris Washington,OL,FR,6-7,285,"Nashville, TN",John Overton
25,Keshawn Washington,S,FR,6-1,202,"Homestead, FL",South Dade
92,Trevor Weldon,K,FR,5-8,180,"Hilton Head Island, SC",Hilton Head Preparatory School
15,Avantae Williams,S,SO,6-0,198,"DeLand, FL",DeLand
13,Chantz Williams,DL,SO,6-4,255,"Jacksonville, FL",Oakleaf
0,James Williams,S,SO,6-5,224,"Fort Lauderdale, FL",Plantation American Heritage
18,Markeith Williams,DB,FR,6-2,170,"Orlando, FL",Evans
49,John Yayi-Bondje,DB,FR,5-8,175,"Pasadena, MD",Chesapeake / Howard C.C.
88,Colbie Young,WR,SO,6-5,215,"Binghamton, NY",Binghamton / Lackawanna College
