No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Yusuf Ali,WR,SR,5-9,183,"Detroit, MI",Maplewood (TN)
25,Bryce Bailey,WR,FR,5-9,172,"Cochran, GA",Bleckley
61,J'Shun Bodiford,OL,SO,6-4,289,"Montgomery, AL",Jefferson Davis / NE Mississippi CC
80,Luke Bolger,TE,SO,6-2,234,"Ft. Mitchell, KY",Beechwood
96,Kasey Bonds,DT,FR,5-8,280,"Bolivar, TN",Bolivar Central
45,Jai'Brian Bouye,CB,FR,5-11,174,"Waco, TX",La Vega
24,Darius Bracy,RB,SR,5-10,214,"Mobile, AL",Baker / Central Michigan
99,Jordan Branch,DL,JR,6-0,276,"Maury City, TN",Crockett County
28,Malachi Burns,WR,FR,6-3,202,"Murfreesboro, TN",Blackman / Missouri Western State
69,Brody Butler,LS,SO,5-11,218,"Homewood, AL",Homewood
4,Johnathan Butler,LB,SR,6-0,217,"Sumter, SC",Sumter HS / Highland CC
52,Muaaz Byard,LB,FR,6-0,239,"York, PA",Dematha Catholic
36,Justus Chadwick,PK,FR,6-1,183,"Tullahoma, TN",Tullahoma
15,Jacob Coleman,TE,FR,6-4,222,"Chesterfield, VA",Matoaca / East Carolina
57,Marley Cook,DT,SO,6-1,306,"Water Valley, MS",Water Valley
16,Chase Cunningham,QB,SR,5-11,188,"Knoxville, TN",Knoxville Catholic
8,Devyn Curtis,LB,FR,6-2,237,"Nashville, TN",Brentwood Academy
35,Jalen Davis,LB,SO,6-1,204,"Kingsland, GA",Camden Co.
93,Vincent Dinkins,DL,FR,6-1,280,"Kennesaw, GA",Kell HS
34,Christian Dixon,LB,SR,5-10,220,"Charlotte, NC",Butler / Towson
54,Connor Dougherty,LS,FR,6-3,288,"Franklin, TN",Christ Presbyterian Academy
18,James Douglas,LB,SO,6-1,211,"Fort Worth, TX",Arlington-Lamar / Cisco College
97,Quindarius Dunnigan,DE,SO,6-3,240,"Chattanooga, TN",McCallie
95,Tyrece Edwards,DT,FR,6-2,278,"Knoxville, TN",West
42,Da'Shawn Elder,LB,FR,6-2,223,"Watkinsville, GA",Oconee County / Virginia Tech
74,Ethan Ellis,OL,JR,6-6,300,"Murfreesboro, TN",Oakland / Coffeyville CC
3,DJ England-Chisolm,WR,JR,5-7,150,"Moncks Corner, SC",Berkeley
21,Joe Ervin,RB,SO,5-8,177,"Rock Hill, SC",South Pointe / Kansas State
56,Seth Falley,OL,JR,6-4,297,"Haysville, KS",Campus / Butler CC
70,Tyler Falvey,OL,JR,6-4,303,"Altamonte Springs, FL",Lake Brantley
9,Jordan Ferguson,DE,SR,6-2,271,"Atlanta, GA",Cartersville
43,Trevon Ferrell,WR,FR,5-9,164,"Atlanta, GA",Cedar Grove
17,Tra Fluellen,S,JR,6-2,205,"Gilmer, TX",Gilmer / Houston Baptist
40,Drew Francis,LB,SO,6-2,226,"Knoxville, TN",West
18,Stone Frost,QB,SO,5-10,206,"Decaturville, TN",Riverside
68,Carson Garrison,LS,FR,6-0,204,"Buford, GA",Buford
2,Izaiah Gathings,WR,SR,6-4,222,"Statesville, NC",Statesville / Gardner-Webb
64,Jacqui Graham,OL,JR,6-5,270,"Montgomery, AL",Jefferson Davis / East Central CC
47,Jamison Greenway,WR,JR,5-7,165,"Nashville, TN",Donelson Christian Academy / Cisco College
71,Conner Griffin,OL,FR,6-1,304,"Gray, GA",Jones County HS
78,Mateo Guevara,OL,FR,6-3,310,"Flowery Branch, GA",Cherokee Bluff
25,Tylus Hancock,S,JR,6-1,193,"Marietta, GA",Lassiter / Florida State
38,ZaBrien Harden,DE,FR,6-3,237,"Swainsboro, GA",Swainsboro
41,Raquon Hartley,LB,SO,6-1,196,"Saluda, SC",Saluda
81,Mitchell Howell,WR,SO,5-10,185,"Lake Orion, MI",Lake Orion / Siena Heights
91,Parker Hughes,LB,FR,6-2,210,"Elizabethton, TN",Elizabethton
59,Jacob Jackson,LB,JR,5-11,211,"Smyrna, TN",Franklin Road Academy / Sewanee
23,Jalen Jackson,CB,SO,6-2,180,"Tampa, FL",Bloomingdale
10,Darius James,RB,SR,5-11,185,"Nashville, TN",Fairview / Dodge City CC
22,Chris Johnson,CB,FR,5-10,186,"Murfreesboro, TN",Riverdale
73,Karter Johnson,OL,FR,6-5,301,"Murfreesboro, TN",Siegel
66,Alex Jones,OL,FR,6-6,328,"Murfreesboro, TN",Oakland
63,Wilson Kelly,OL,FR,6-0,307,"Danville, KY",Boyle County HS
0,Richard Kinley,DE,SO,6-2,238,"Memphis, TN",Lausanne Collegiate School
58,Dylan Kling,LB,FR,5-11,199,"Lake Mary, FL",Bishop
67,Cooper Koch,OL,FR,6-2,300,"Spring Hill, TN",Summit
29,Marcus LaFrance,S,SO,6-2,205,"North Lauderdale, FL",Deerfield Beach
83,Jaylin Lane,WR,SO,5-8,183,"Clover, SC",Clover HS
46,Andrew Leak,LB,SO,5-10,215,"LaGrange, GA",Heard County
4,Kyle Lowe,QB,FR,5-10,193,"Collierville, TN",Fayette-Ware
91,Jarrett Lucombe,DE,SO,6-3,249,"Hendersonville, TN",Pope John Paul II
26,Emmanuel Mann,CB,SO,6-0,177,"Columbus, GA",Jordan / Hutchinson CC
28,De'Arre McDonald,S,FR,6-1,200,"Murfreesboro, TN",Oakland / Cincinnati
94,Ralph Mency,DE,SO,6-2,252,"Jacksonville, FL",Robert E. Lee Senior HS
84,Elijah Metcalf,WR,FR,5-9,165,"Charlotte, NC",Mallard Creek
31,Aran Mohamad-Ali,HB,SO,6-0,227,"Antioch, TN",John Overton
23,Jalen Montgomery,RB,FR,5-9,161,"Columbia, SC",Cardinal Newman
11,Marvae Myers,S,SO,6-0,191,"West Orlando, FL",Oak Ridge
26,Jeron Newson,WR,FR,5-9,153,"West Palm Beach, FL",Oasis
88,John Ojelabi,WR,JR,5-10,184,"Anaheim, CA",Western / Golden West
22,Andrew Paige,WR,FR,6-4,220,"Hendersonville, TN",Beech
62,Jordan Palmer,OL,SR,6-0,297,"Northridge, CA",Notre Dame HS / College of the Canyons
33,Decorian Patterson,CB,JR,6-0,193,"Ocala, FL",Leesburg
24,Scott Payne,PK,SO,5-11,178,"Signal Mountain, TN",Signal Mountain Middle
36,Frank Peasant,RB,SO,5-10,198,"Pensacola, FL",Escambia HS
27,Zayvionne Peterson,LB,SO,6-1,194,"Bradenton, FL",IMG Academy
79,Sterling Porcher,OL,SO,6-3,301,"Sumter, SC",Sumter / Iowa Western
7,Zeke Rankin,PK,SO,5-8,192,"Alcoa, TN",Alcoa
44,Jalen Rayam,LB,JR,6-0,217,"Alabaster, AL",Thompson / UAB
6,Preston Rice,QB,SR,6-2,230,"Waynesboro, TN",Wayne County / Murray State
12,DJ Riles,QB,FR,6-0,197,"Columbus, GA",Carver
32,Timar Rogers,LB,FR,6-2,213,"Deland, FL",Deland / Mississippi State
1,Teldrick Ross,S,JR,5-10,190,"Macon, GA",Jones County
77,Keylan Rutledge,OL,FR,6-3,307,"Royston, GA",Franklin County
55,Jahlil Ryles,OL,JR,6-1,303,"Phenix City, AL",Central
72,Morgan Scott,OL,FR,6-4,294,"Germantown, TN",Houston / Coffeeville CC
27,Colton Shaffer,WR,FR,6-4,213,"Summertown, TN",Summertown
37,James Shellman IV,CB,SO,6-0,196,"Savannah, GA",Islands HS
13,Javonte Sherman,WR,FR,6-2,195,"Valdosta, GA",Valdosta
92,Damonte Smith,DL,FR,6-3,284,"Savannah, GA",Island
19,A'Varius Sparrow,RB,FR,5-9,184,"Orlando, FL",Jones / West Virginia
65,Justice Spates,OL,JR,6-3,255,"Pacoima, CA",Chaminade / College of the Canyons
31,Deonte Stanley,CB,SO,6-2,195,"Dillon, SC",Latta / Hutchinson CC
6,Deidrick Stanley II,CB,SO,5-9,197,"Miami, FL",Miami Central HS
49,Jorden Starling,DE,JR,6-4,263,"Chattanooga, TN",McCallie School
51,Nash Stidham,LB,FR,5-9,194,"Medina, TN",South Gibson County
76,Joseph Stone,OL,SO,6-7,342,"Pensacola, FL",Gulf Breeze / Hutchinson CC
82,Taharin Sudderth,DE,FR,6-4,236,"Alcoa, TN",Alcoa
86,Jeremy Tate Jr,WR,JR,6-5,259,"Columbus, MS",New Hope / Memphis
53,Trenton Taylor-Ricker,OL,FR,6-5,260,"Elizabethton, TN",Elizabethton
30,Jakobe Thomas,S,FR,6-2,199,"Tullahoma, TN",Tullahoma
38,Miles Tillman,P,FR,5-11,197,"Huntsville, AL",Sparkman
87,Marquel Tinsley,WR,SO,6-2,188,"Morganfield, KY",Daviess Co.
5,Quaterrius Tolbert,WR,JR,6-2,190,"Water Valley, MS",Water Valley / Jones College
80,AJ Toney,WR,JR,5-7,178,"Birmingham, AL",Jackson-Olin / Samford
13,Kyle Ulbrich,P,SR,6-0,202,"Mentor, OH",Lake Catholic / Valparaiso
11,Nicholas Vattiato,QB,SO,6-1,187,"Plantation, FL",University School
85,Jaylen Ward,WR,FR,6-1,211,"Bessemer, AL",Thompson
39,Terry Wilkins,RB,FR,5-7,176,"Memphis, TN",Fairley
48,Caden Williams,HB,FR,6-0,235,"Buford, GA",Buford
75,Jamari Williams,OL,SO,6-3,307,"Fort Lauderdale, FL",Cardinal Gibbons / Arizona
7,Zaylin Wood,DT,SO,6-1,280,"Bowdon, GA",Heard County
10,Ja'Kerrius Wyatt,DT,SR,6-3,270,"Prattville, AL",Autauga Academy
