No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
32,Rani Abdulaziz,DB,SR,5-10,195,"Roseland, NJ",West Essex
5,Kessawn Abraham,DB,SR,5-10,190,"Brooklyn, NY",Erasmus Hall
92,Mayan Ahanotu,DL,SR,6-4,290,"Tampa, FL",Berkeley Prep
10,Matt Alaimo,TE,SR,6-5,250,"Paramus, NJ",St. Joseph Regional [Montvale]
19,Austin Albericci,QB,SR,5-10,175,"Closter, NJ",Demarest
42,DJ Allen,DL,FR,6-7,250,"Leo, IN",Leo HS
74,Jacob Allen,OL,FR,6-6,300,"Spotswood, NJ",Hun School
24,Thomas Amankwaa,DB,FR,6-0,205,"Hillsborough, NJ",Hillsborough
55,Zaire Angoy,DL,SO,6-3,325,"Irvington, NJ",Irvington
95,Flynn Appleby,P,FR,6-2,195,"Cohuna, Australia",Ballarat Clarendon College
69,Kwabena Asamoah,OL,FR,6-2,330,"Pickerington, OH",Pickerington Central
50,Jordan Augustin,DL,FR,6-3,275,"Newark, NJ",Weequahic
45,Dami Awoyinfa,LB,SO,6-1,220,"Linden, NJ",Linden
23,Wesley Bailey,DL,SO,6-5,250,"Ottawa, Canada",Clearwater Academy International [Fla.]
9,Khayri Banton,LB,SO,6-3,225,"East Orange, NJ",West Side
32,Charlie Barth,RB,FR,5-11,205,"New Providence, NJ",New Providence
19,Todd Bowles Jr.,DB,SO,5-11,185,"Tampa, FL",Jesuit
6,Christian Braswell,DB,SR,5-11,185,"Washington, DC",Friendship College Academy
57,Ireland Brown,OL,JR,6-3,300,"Jamaica, NY",Pope John XXIII
27,Samuel Brown V,RB,FR,6-1,220,"Philadelphia, PA",La Salle College HS
29,Amir Byrd,DB,JR,5-7,165,"Mount Laurel, NJ",Lenape
48,Antonio Chadha,PK,FR,5-8,205,"Bryn Mawr, PA",St. Joseph's Prep
76,Dantae Chin,OL,FR,6-4,310,"Weston, FL",Cypress Bay HS
53,Mike Ciaffoni,OL,JR,6-3,300,"Sudbury, MA",Lincoln-Sudbury
54,Nick Ciaffoni,OL,FR,6-2,285,"Sudbury, MA",Buckingham Browne & Nichols
10,Shawn Collins,DL,SO,6-5,250,"Montclair, NJ",Montclair
56,Sean Cooper,DL,SO,6-5,240,"Stanhope, NJ",Lenape Valley
1,Aron Cruickshank,WR,SR,5-10,170,"Brooklyn, NY",Erasmus Hall
21,Carnell Davis,DB,SO,6-1,180,"Galloway, NJ",Eau Gallie [Fla.]
33,Parker Day,RB,SR,5-10,195,"Toms River, NJ",Toms River North
66,Joe De Croce,OL,FR,6-6,300,"Haworth, NJ",Northern Valley Regional HS
38,Austin Dean,LB,SO,6-2,225,"Tampa, FL",Berkeley Prep
57,Stanley Dennis II,DL,SO,5-11,280,"Jersey City, NJ",St. Peter's Prep / The Taft School
55,J.D. DiRenzo,OL,SR,6-6,315,"Hammonton, NJ",St. Joseph Academy
58,Dariel Djabome,LB,FR,6-2,215,"Longueuil Québec, Canada",Canada Prep Academy
6,Christian Dremel,WR,JR,5-9,185,"Caldwell, NJ",Don Bosco Prep
51,Curtis Dunlap Jr.,OL,SR,6-5,335,"Jacksonville, FL",IMG Academy
46,Sammy El Hadidi,LS,FR,5-11,205,"Bridgewater, NJ",Bridgewater-Raritan
96,Guy Fava,PK,JR,6-0,195,"Mahwah, NJ",Don Bosco Prep
65,Bryan Felter,OL,SO,6-3,305,"Westfield, NJ",Bergen Catholic
12,Kenny Fletcher,DL,FR,6-3,230,"Delran, NJ",Delran
39,Nyjon Freeman,RB,SO,6-0,220,"Hoboken, NJ",Hoboken
30,Sam Gadie,LB,FR,6-3,200,"Trenton, NJ",Trenton Central
60,Moses Gbagbe-Sowah,OL,SO,6-1,295,"Newark, NJ",West Side
