No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Collin Affleck,TE,FR,6-5,237,"Great Falls, VA",Langley HS
6,Ajou Ajou,WR,SO,6-3,218,"Brooks, Canada",Clearwater Academy International / Clemson
86,Flaubert Akepeu,TE,SO,6-5,254,"Valrico, FL",Grace Christian HS
40,Jason Albritton,RB,FR,5-10,224,"Lithia, FL",Newsome HS
54,Amer Amer,LB,FR,6-1,228,"Winter Garden, FL",Windermere HS
38,Sean Atkins,WR,SO,5-10,170,"Viera, FL",Viera HS
10,Nick Bags,DL,SO,6-3,293,"Staten Island, NY",Tottenville HS / Temple
71,Derrell Bailey Jr.,OL,SO,6-6,289,"Greenback, TN",Greenback HS / Virginia Tech
21,Brian Battie,RB,SO,5-8,165,"Sarasota, FL",Sarasota HS
48,Andrew Beardall,LS,JR,6-0,212,"Merritt Island, FL",Merritt Island HS
50,Bryce Bernard,LS,SO,6-2,212,"Neptune Beach, FL",Fletcher HS
37,Logan Berryhill,S,SO,6-4,188,"Kingsland, GA",Camden County HS
72,Cole Best,OL,FR,6-4,296,"Winter Park, FL",Trinity Prep
27,Jordan Blackmon,S,FR,5-10,156,"Melbourne, FL",Eau Gallie HS
57,Joshua Blanchard,OL,SO,6-3,294,"Miami, FL",Norland HS
11,Gerry Bohanon,QB,JR,6-3,226,"Earle, AR",Earle High School / Baylor
16,Ryan Bolduc,QB,FR,6-1,197,"Sarasota, FL",Cardinal Mooney HS
11,Dwayne Boyles,LB,SR,6-3,230,"Miami, FL",Miami Central HS
9,Aamaris Brown,DB,FR,5-10,197,"Tampa, FL",Armwood HS / Kansas State
17,Byrum Brown,QB,FR,6-3,206,"Raleigh, NC",Rolesville HS
1,Khafre Brown,WR,SO,6-0,190,"Charlotte, NC",West Mecklenburg HS / North Carolina
7,Sincere Brown,WR,FR,6-5,181,"Charleston, SC",First Baptist School
39,John Cannon,K,FR,5-9,176,"Fort Lauderdale, FL",University HS
88,Chris Carter,TE,JR,6-4,236,"Homestead, FL",South Dade HS
74,Brad Cecil,OL,SR,6-4,294,"Jacksonville, FL",Bartram Trail HS
90,Rashad Cheney Jr.,DL,SO,6-2,285,"Atlanta, GA",Cedar Grove HS / Minnesota
27,Cameron Cobb,WR,FR,5-11,182,"Tampa, FL",Wharton HS
53,Drew Cornelius,OL,FR,6-5,280,"Franklin, GA",Heard County HS
89,Michael Cucci,WR,FR,6-4,170,"Bradenton, FL",Lakewood Ranch HS
15,Jayden Curry,DB,SO,5-11,200,"Virginia Beach, VA",IMG Academy
97,Evan Dangler,LB,FR,6-3,215,"Bradenton, FL",Braden River HS
3,Vincent Davis,S,SR,5-11,190,"Jacksonville, FL",Robert E. Lee HS
32,Luke Dean,WR,FR,5-9,165,"Clearwater, FL",Clearwater Academy
4,Omarion Dollison,WR,SO,5-9,183,"Columbia, SC",Gray Collegiate Academy
2,Michel Dukes,RB,JR,5-10,197,"Charleston, SC",First Baptist HS / Clemson
59,Johnny Eaton,LB,FR,6-2,200,"Melbourne, FL",Viera HS
96,Chad Elder,DE,FR,6-3,241,"Neptune Beach, FL",Fletcher HS
0,Daquan Evans,DB,JR,5-11,190,"Orlando, FL",Jones HS
36,Tre'son Everett,WR,FR,6-4,205,"Seminole, FL",Largo HS
28,Daylan Felton,RB,FR,5-8,175,"Durham, NC",North Durham HS
92,Jbril Glaze,DT,SR,6-1,311,"Tampa, FL",Jefferson HS
98,Danny Gonzalez,DT,FR,6-1,264,"Jupiter, FL",The Benjamin School
47,Connor Gordon,LS,FR,6-2,240,"Sussex, WI",Sussex Hamilton HS
8,DJ Gordon IV,LB,SO,6-1,220,"Plant City, FL",Plant City HS / Minnesota
15,Gavin Gosnell,QB,FR,6-2,219,"Hendersonville, NC",Hendersonville HS
99,Darrien Grant,DL,SR,6-4,257,"Bradenton, FL",Southeast HS
34,Joshua Green,DB,SR,5-10,182,"Palm Harbor, FL",East Lake HS / Univ. of Pikeville
35,Kameron Greene,S,JR,5-10,162,"Seminole, FL",Seminole HS / Mesabi Range CC
87,Gunnar Greenwald,TE,SO,6-4,244,"Satellite, FL",Satellite HS
56,Mack Gresham,LS,SO,5-10,192,"Mt. Pleasant, SC",Wando HS
5,Antonio Grier,LB,SR,6-1,223,"Atlanta, GA",Mays HS
79,Dustyn Hall,OL,SO,6-3,303,"Punta Gorda, FL",Charlotte HS
20,AJ Hamilton,CB,FR,5-10,183,"Dunnellon, FL",Dunnellon HS
25,Mychael Hamilton,RB,SR,6-1,201,"New Port Richey, FL",JW Mitchell HS / Ellsworth JC/SW Oklahoma State
28,Jatorian Hansford,DE,SR,6-4,265,"Forsyth, GA",Mary Persons HS / Missouri
64,Demetris Harris,OL,SR,6-3,315,"Jacksonville, FL",Robert E. Lee HS
24,Mac Harris,LB,FR,6-0,234,"The Villages, FL",The Villages Charter School
85,Christian Helms,WR,SO,6-2,195,"Seffner, FL",Seffner Christian HS
19,Jalen Herring,DB,SO,5-11,172,"Tallahasee, FL",Lawton Chiles HS
