No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
49,Connor Able,DS,FR,6-3,215,"Houston, TX",Stratford
6,Devon Achane,RB,JR,5-9,185,"Missouri City, TX",Fort Bend Marshall
30,Tunmise Adeleye,DL,FR,6-4,290,"Katy, TX",Tompkins
1,Bryce Anderson,DB,FR,5-11,195,"Beaumont, TX",West Brook
79,James Bailey,OL,FR,6-3,300,"Katy, TX",Paetow
70,Josh Bankhead,OL,SO,6-5,305,"The Woodlands, TX",College Park
93,Drew Beltran,DL,SO,5-11,260,"Longview, TX",Longview
94,Drake Bhatia,PK,SO,5-7,150,"Houston, TX",Episcopal
53,Nana Boadi-Owusu,DL,FR,6-2,234,"Arlington, TX",Martin
47,Randy Bond,PK,SO,5-10,190,"Plano, TX",West
16,Blake Bost,QB,SO,6-2,195,"Groves, TX",Port Neches-Groves
3,Smoke Bouie,DB,FR,5-11,180,"Bainbridge, GA",Bainbridge
23,Jacob Brasher,WR,FR,6-1,181,"Allen, TX",Allen
8,Yulkeith Brown,WR,SO,5-10,175,"Miami, FL",Central
99,Gabriel Brownlow-Dindy,DL,FR,6-3,300,"Lakeland, FL",Lakeland
91,Marcus Burris Jr.,DL,FR,6-4,290,"Texarkana, TX",Pleasant Grove
83,Ryan Campbell,WR,JR,6-2,185,"New Orleans, LA",Mesquite [Texas] Horn
7,Tyreek Chappell,DB,SO,5-11,185,"Philadelphia, PA",Northeast
52,Smart Chibuzo,OL,SO,6-4,320,"Fresno, TX",Hightower
12,Connor Choate,DS,SR,6-1,200,"Coppell, TX",Coppell
95,Nik Constantinou,P,JR,6-3,225,"Melbourne, Australia",Penleigh & Essendon
45,Edgerrin Cooper,LB,SO,6-3,225,"Covington, LA",Covington
78,Dametrious Crownover,OL,FR,6-6,300,"Grandview, TX",Grandview
24,Earnest Crownover,RB,JR,6-3,230,"Grandview, TX",Grandview / Kilgore JC
4,Amari Daniels,RB,SO,5-8,200,"Miami, FL",Central
36,Caden Davis,PK,JR,6-3,200,"Coppell, TX",Coppell
75,Kam Dewberry,OL,FR,6-4,330,"Humble, TX",Atascocita
25,Anthony DiNota,RB,FR,6-0,207,"Frisco, TX",Frisco
10,Fadil Diggs,DL,SO,6-5,260,"East Camden, NJ",Woodrow Wilson
55,Hunter Erb,OL,FR,6-6,330,"Newark, TX",Eaton
76,Reuben Fatheree II,OL,SO,6-8,325,"Richmond, TX",Foster
88,Nathan Figueroa,TE,FR,6-3,236,"Brenham, TX",Faith Academy
90,Jacob Fitts,OL,SO,6-0,286,"Omaha, TX",Pewitt
81,Kyle Fitzgerald,DB,SR,6-4,195,"San Antonio, TX",Brandeis
61,Bryce Foster,OL,SO,6-5,325,"Katy, TX",Taylor
39,Cade Garcia,DB,JR,5-8,185,"Fort Worth, TX",Christian / Tarrant CC
82,Fernando Garza,TE,FR,6-5,245,"Katy, TX",Katy
16,Brian George,DB,SR,6-2,195,"South Bay, FL",Glades Central / Highland [Kan.] CC
20,Jardin Gilbert,DB,SO,6-1,185,"White Castle, LA",University Lab
48,Jacob Graham,FB,SO,5-11,235,"Houston, TX",Memorial
18,Donovan Green,TE,FR,6-4,235,"Dickinson, TX",Dickinson
19,Marquis Groves-Killebrew,DB,FR,6-0,180,"Kennesaw, GA",North Cobb
38,Alan Guerrieri,P,JR,6-0,200,"College Station, TX",College Station
84,Tavon Gwynn,DB,JR,5-11,175,"Killeen, TX",Ellison / Central Texas College
51,Levi Hancock,DS,FR,6-2,240,"Bryan, TX",Brazos Christian Academy
11,Deuce Harmon,DB,SO,5-10,200,"Corinth, TX",Denton Guyer
2,Denver Harris,DB,FR,5-11,175,"Houston, TX",North Shore
25,Ish Harris,LB,FR,6-2,205,"Pilot Point, TX",Pilot Point
18,"Donell Harris, Jr.",DL,SO,6-3,220,"Liberty City, FL",Gulliver Prep
