No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
34,Jessie Agee,TE,FR,6-0,230,"Cleveland, OH",Glenville
98,Darius Alexander,DT,SO,6-4,305,"Fort Wayne, IN",Wayne
41,Dalton Andrews,TE,SO,6-2,255,"Pemberville, OH",Eastwood
62,Kelvin Ateman,OL,SR,6-6,300,"Detroit, MI",Cass Tech
32,Jayden Baker,LB,FR,6-1,215,"Massillon, OH",Jackson
14,Mikel Barkley,WR,JR,5-11,170,"Tallahassee, FL",Great Oak / TCU
42,Jackson Barrow,LB,SO,6-0,220,"Indianapolis, IN",Cathedral
39,Jonathon Batzke,P,FR,6-1,240,"Cairns, Australia",Trinity Bay State / Central Queensland
6,Nate Bauer,S,JR,6-0,200,"Akron, OH",Archbishop Hoban
10,Adam Beale,WR,JR,5-8,165,"Holland, OH",Springfield
58,Drew Beckenhaupt,OL,FR,6-3,295,"Cleves, OH",Elder
49,"Derell Bedingfield, Jr.",OLB,FR,6-0,188,"Garfield Heights, OH",Benedictine
68,Mitchell Berg,OL,SR,6-6,295,"Maumee, OH",Toledo St. John's Jesuit
70,Michael Bergen,OL,SO,6-4,290,"Avon, OH",Avon
48,Alijah Beverly,OLB,FR,6-3,220,"Perrysburg, OH",Perrysburg
24,Xavier Black,S,FR,6-0,180,"Canton, OH",Canton McKinley
0,DeMeer Blankumsee,WR,SO,5-10,185,"Cincinnati, OH",Winton Woods
31,Daniel Bolden,LB,JR,6-1,250,"Cincinnati, OH",Colerain
33,Peny Boone,RB,SO,6-1,235,"Detroit, MI",Martin Luther King / Maryland
-,Seth Borondy,RB,FR,6-1,195,"Bellbrook, OH",Bellbrook
21,Nasir Bowers,CB,FR,5-9,168,"Lakeland, FL",Lakeland
52,Cavon Butler,DT,SO,6-3,290,"Toledo, OH",Whitmer / Kentucky
90,Esean Carter,DT,FR,6-2,285,"Detroit, MI",Martin Luther King
86,Clay Caudill,TE,FR,6-3,255,"Mansfield, OH",Mansfield
30,Vontrell Chairse,OLB,FR,6-3,230,"Chicago, IL",Wendell Phillips Academy
17,Thomas Cluckey,PK,JR,6-1,185,"Oregon, OH",Clay
15,Mike Coleman,CB,SO,5-11,165,"Pittsburgh, PA",Woodland Hills
10,Matthew Considine,QB,SR,6-6,210,"St. Augustine, FL",St. Joseph Academy / Saginaw Valley State
24,Lamy Constant,RB,FR,6-0,195,"East Orange, NJ",Brooklyn (NY) Canarsie
36,Drew Covington,S,FR,6-3,200,"Cincinnati, OH",Turpin
95,Judge Culpepper,DT,JR,6-4,290,"Tampa, FL",Plant / Penn State
93,Malachi Davis,OLB,FR,6-4,230,"Holt, MI",Holt
38,Nicholas Days,LB,SR,6-3,235,"Miami, FL",North Miami / Western Kentucky
11,Ronald Delancy III,CB,SO,6-0,185,"Miami, FL",Northwestern / Nebraska
-,Aiden Dickens,PK,FR,6-3,175,"Oregon, OH",Clay
74,Lavel Dumont,OL,JR,6-4,295,"Tampa, FL",Wharton
96,Kiel Eldridge,OLB,FR,6-5,249,"Fort Wayne, IN",Mae Jamison
43,Sawiaha Ellis,LB,FR,6-1,230,"Hamilton, OH",Fairfield
59,Andrew Feiertag,OL,SO,6-6,305,"Reading, OH",Reading / Hudson Valley CC
7,Dequan Finn,QB,SO,6-2,210,"Detroit, MI",Martin Luther King
7,Zachary Ford,S,JR,6-3,207,"Cleveland, OH",Cleveland Heights
66,Carter Fouty,OL,FR,6-4,295,"Oregon, OH",Toledo Central Catholic / Air Force
20,Jaret Frantz,WR,FR,6-3,210,"Elyria, OH",Elyria Catholic / Ball State
47,Rourke Freeburg,LB,SR,6-2,215,"Scottsdale, AZ",Desert Mountain / Arizona
20,Andre Fuller,CB,SO,6-2,195,"Loxahatchee, FL",Seminole Ridge / Arkansas-Pine Bluff
28,Chris Gales,S,FR,6-0,210,"Cleveland, OH",Benedictine
65,Stephen Gales,OL,FR,6-6,320,"Alliance, OH",Alliance
19,Dallas Gant,LB,JR,6-3,235,"Toledo, OH",St. John's Jesuit / Ohio State
53,Gunnar Gibson,PK,FR,6-0,190,"Tampa, FL",Robinson
5,Nate Givhan,OLB,SR,6-4,245,"Montgomery, AL",Carver
4,Tucker Gleason,QB,FR,6-3,230,"Tampa, FL",Plant / Georgia Tech
13,A.J. Gucciardo,QB,SO,6-1,185,"Holland, OH",Springfield
91,Jamal Hines,OLB,SR,6-3,250,"Cincinnati, OH",Princeton
8,Tristen Hoke,S,FR,6-0,190,"Farmington Hills, MI",North Farmington
87,Eric Holley III,WR,FR,6-2,182,"Akron, OH",East
35,Deshawn Holt,OLB,SO,6-5,240,"Waldorf, MD",Westlake / Maryland
25,Maxen Hook,S,SO,6-0,210,"New Palestine, IN",New Palestine
1,Desjuan Johnson,DT,SR,6-3,275,"Detroit, MI",East English Village Prep
2,Dyontae Johnson,LB,SR,6-2,230,"Detroit, MI",Cass Tech
34,Connor Jones,LB,FR,6-2,235,"Hilliard, OH",Darby
64,Brian Keane,OL,FR,6-5,300,"Cleveland, OH",St. Ignatius
3,Micah Kelly,RB,SO,5-9,200,"Gautier, MS",Ocean Springs
40,Lenny Kühl,TE,FR,6-5,245,"Munich, Germany",Oklahoma City Cassady
36,Ben Lisk,LS,FR,5-10,215,"Phoenix, AZ",Paradise Valley
60,Tyler Long,OL,JR,6-4,290,"Toledo, OH",Springfield
36,Jordan Lowe,RB,SO,5-9,215,"Detroit, MI",Cass Tech
8,Devin Maddox,WR,JR,5-9,175,"Cleveland, OH",Lakewood St. Edward's
55,Kendall Major,OL,JR,6-3,300,"Beaumont, TX",West Brook
