No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,Olasunkonmi Agunloye,NT,JR,6-5,283,"Lindenhurst, NY",Lindenhurst HS
33,Josh Ahern,LB,JR,6-3,234,"Burke, VA",Lake Braddock HS
1,Paul Akere,DE,SR,6-4,275,"Carrollton, TX",Hebron (TX) / Columbia
53,Dawson Alters,C,FR,6-2,271,"Miami, FL",St. Thomas Aquinas
5,Brennan Armstrong,QB,SR,6-2,210,"Shelby, OH",Shelby HS
51,Ryan Attaway,LB,SO,6-0,219,"Milton, GA",Blessed Trinity Catholic
26,Jaylon Baker,CB,SR,6-2,187,"Chattanooga, TN",Baylor School
84,Nathaniel Beal III,WR,JR,6-5,219,"Houston, TX",Strake Jesuit College Prep
15,Chico Bennett Jr.,BAN,SR,6-4,252,"Ashburn, VA",Battle Ground Academy (Tenn.) / Georgia Tech
17,Will Bettridge,K,FR,5-10,156,"Miami, FL",Gulliver Prep
52,McKale Boley,OT,FR,6-4,331,"Hattiesburg, MS",Oak Grove
89,Sam Bond,DL,SO,6-3,249,"Fredon, NJ",Blair Academy
30,Stevie Bracey,LB,FR,6-0,231,"Atlanta, GA",Lovett School
28,Sam Brady,S,SO,6-3,229,"Lincolnton, NC",North Lincoln HS
8,Darrius Bratton,S,SR,6-0,193,"Roanoke, VA",William Fleming HS (Fork Union Military Academy)
30,KJ Bratton,CB,FR,5-8,174,"Roanoke, VA",Lord Botetourt High School
19,Grady Brosterhous,QB,FR,6-2,212,"Weddington, NC",Weddington High School
0,Cody Brown,RB,SO,5-10,227,"Lilburn, GA",Parkview / Miami
20,Xavier Brown,RB,FR,5-9,186,"Lexington, KY",Lexington Christian
47,Vadin Bruot,K,FR,5-11,197,"Haymarket, VA",Battlefield
46,Addie Burrow,S,JR,6-1,190,"Spotsylvania, VA",Courtland
82,Kam Butler,DE,SR,6-3,265,"Florence, KY",Covington Catholic / Miami (Ohio)
32,Luke Byrne,LS,SO,6-1,217,"McLean, VA",Bishop O'Connell
91,Jack Camper,BAN,SR,6-5,252,"Virginia Beach, VA",IMG Academy / Michigan State
55,Andrew Canelas,OL,SO,6-9,315,"Durham, NC",Leesville Road / Lehigh
96,Bryce Carter,DE,SO,6-3,271,"South Chesterfield, VA",Life Christian Academy
90,Jahmeer Carter,DL,JR,6-2,313,"Severn, MD",Archbishop Spalding
5,Chayce Chalmers,S,JR,6-1,213,"Gainesville, VA",Stonewall Jackson HS
15,Devin Chandler,WR,JR,6-0,184,"Huntersville, NC",William Amos Hough / Wisconsin
0,Antonio Clary,S,SR,6-0,199,"Jacksonville, FL",Sandalwood
18,Josh Clifford,WR,SR,6-1,198,"Salem, VA",Glenvar HS
11,Delaney Crawford,QB,FR,6-2,193,"Corona, CA",Corona Senior
42,Kendall Cross,LB,SO,6-0,237,"Chesterfield, VA",Clover Hill
75,Houston Curry,OT,FR,6-5,270,"Fountain Inn, SC",Hillcrest
23,Fentrell Cypress II,CB,JR,6-0,184,"Rock Hill, SC",Northwestern HS
26,Ethan Davies,WR,SO,5-10,189,"Fairfax, VA",West Springfield
95,Devontae Davis,NT,SR,6-4,306,"New Ellenton, SC",Silver Bluff / South Carolina
1,Lavel Davis Jr.,WR,JR,6-7,219,"Dorchester, SC",Woodland
74,Noah DeMeritt,OG,FR,6-5,360,"Kingsland, GA",Camden County
67,Derek Devine,OG,SR,6-6,295,"Pittsburgh, PA",North Allegheny HS
14,Jake Dewease,S,JR,6-0,205,"Daleville, VA",Lord Botetourt HS
18,Michael Diatta,DT,SO,6-4,268,"Antioch, TN",Cane Ridge HS
62,Lee Dudley,LS,SR,6-0,225,"Richmond, VA",Woodberry Forest School
19,Justin Duenkel,K,JR,6-0,206,"Great Falls, VA",Flint Hill School
93,Henry Duke,TE,SO,6-5,228,"Henrico, VA",Mills E. Godwin
39,Robbie Engelberg,S,FR,5-11,188,"Alexandria, VA",Maret School
40,Brendan Farrell,K,SR,6-0,209,"Dunwoody, GA",Marist School
94,Aaron Faumui,DT,SR,6-2,282,"Honolulu, HI",Kapolei HS
8,Malachi Fields,WR,SO,6-4,214,"Keswick, VA",Monticello HS
34,Ant Fisher,CB,FR,5-11,175,"Henrico, VA",Varina High School
9,Amaad Foston,RB,SO,6-0,218,"Milledgeville, GA",John Milledge Academy
51,Ty Furnish,C,SO,6-3,279,"Woodstock, GA",Blessed Trinity Catholic
31,Micah Gaffney,CB,SO,5-11,193,"Spanish Fort, AL",Spanish Fort HS
22,Elijah Gaines,CB,SO,6-1,201,"Queens, NY",Episcopal (Va.)
88,Karson Gay,TE,FR,6-5,225,"Chattanooga, TN",Boyd-Buchanan School
4,Mike Green,BAN,SO,6-3,235,"Williamsburg, VA",Lafayette HS
34,Jack Griese,RB,FR,6-0,224,"Chantilly, VA",Chantilly High School
59,Jack Hardy,DL,SO,6-1,236,"Fredericksburg, VA",James Monroe
58,Noah Hartsoe,OT,FR,6-3,320,"Henrico, VA",John Tucker
29,Dave Herard,S,SO,6-0,194,"Fort Lauderdale, FL",Stranahan HS
54,Joseph Holland III,BAN,SO,6-4,223,"Culpeper, VA",Culpeper County
7,Mike Hollins,RB,JR,5-9,208,"Baton Rouge, LA",University Lab HS
93,Jonathan Horton,DE,SO,6-3,210,"Baton Rouge, LA",Scotlandville Magnet HS
37,John Hurley,S,FR,5-11,171,"Vienna, VA",James Madison High School
7,James Jackson,LB,SO,6-3,228,"Roanoke, VA",North Cross HS
6,Nick Jackson,LB,SR,6-1,234,"Atlanta, GA",The Lovett School
3,Anthony Johnson,CB,SR,6-2,205,"Coconut Creek, FL",Chaminade-Madonna Prep / Louisville
69,Luke Johnson,OT,JR,6-5,276,"Annandale, VA",The Peddie School (N.J.)
78,Jestus Johnson III,C,SO,6-3,306,"Laurel, MD",Gonzaga College H.S.
21,Donovan Johnson Sr.,S,SO,6-2,200,"New Orleans, LA",Helen Cox HS
2,Perris Jones,RB,SR,5-8,180,"Alexandria, VA",Episcopal HS
25,Terrell Jones,DL,FR,6-4,266,"Hoover, AL",Hoover
77,Noah Josey,OG,SO,6-5,316,"Brentwood, TN",Brentwood Academy
63,Joey Kagel,C,SO,6-0,266,"Virginia Beach, VA",Catholic
4,Billy Kemp IV,WR,SR,5-9,172,"Highland Springs, VA",Highland Springs HS
9,Coen King,DB,SR,6-0,191,"Culpeper, VA",Eastern View HS
87,Mike Kosar,TE,JR,6-6,230,"Woodbridge, VA",Saint John Paul the Great Catholic
43,Logan Kotter,RB,FR,6-0,202,"Ashburn, VA",Briar Woods
14,Davis Lane Jr.,QB,FR,6-1,188,"Lynchburg, VA",Liberty Christian Academy
70,Grant Lanham,OG,SO,6-4,314,"Cincinnati, OH",Indian Hill
66,Hugh Laughlin,OL,SO,6-5,299,"Athens, GA",Athens Academy
65,Jonathan Leech,OT,SR,6-5,291,"Hoschton, GA",Mill Creek HS
72,Snoop Leota-Amaama,OT,FR,6-4,364,"Lehi, UT",Skyridge
45,Aidan Livingston,LS,SR,5-11,229,"Huntington Beach, CA",Mater Dei / Boston College
27,Langston Long,S,SO,6-3,215,"Woodbridge, VA",Christ School (N.C.)
49,Josh McCarron,LB,SO,6-2,217,"Mukilteo, WA",Archbishop Murphy
16,Trey McDonald,LB,FR,6-3,217,"Chattanooga, TN",Baylor School
79,Colby McGhee,OT,SO,6-3,298,"Orange, VA",Orange County HS
85,Grant Misch,TE,SR,6-5,247,"Sterling, VA",Potomac Falls HS
38,Sean Moore,WR,JR,6-1,163,"Cutler Bay, FL",Gulliver Prep
52,Nate Morris,BAN,SO,6-1,227,"Glen Allen, VA",Glen Allen
60,Charlie Patterson,OT,SO,6-6,281,"Roswell, GA",Fellowship Christian
76,John Paul Flores,OG,SR,6-4,308,"Arlington, TX",All Saints Episcopal (TX) / Dartmouth
41,D'Sean Perry,LB,JR,6-3,230,"Miami, FL",Gulliver Prep
98,Bryce Purnell,DL,FR,6-1,227,"Edgewater, MD",Archbishop Spalding
89,Joshua Rawlings,TE,SO,6-6,252,"Pittsburgh, PA",Woodland Hills HS
13,Jared Rayman,QB,JR,6-2,195,"Atlanta, GA",Pace Academy
17,Aidan Ryan,DB,SO,6-1,201,"Fredericksburg, VA",James Monroe HS
20,Jonas Sanker,S,SO,6-1,204,"Charlottesville, VA",The Covenant School
44,Brayden Sheffer,DE,SO,6-2,227,"West Point, VA",West Point HS
22,Devin Sherwood,QB,FR,5-10,191,"Austintown, OH",Austintown Fitch High School
11,William Simpkins III,CB,SO,6-1,182,"Gaithersburg, MD",Quince Orchard HS
10,Ben Smiley III,DT,JR,6-4,264,"Chesapeake, VA",Indian River HS
38,Daniel Sparks,P,JR,6-6,203,"Gadsen, AL",Gadsen City / Minnesota
21,Landon Spell,QB,FR,5-11,187,"Virginia Beach, VA",Ocean Lakes High School
6,Demick Starling,WR,JR,6-0,188,"Nashville, TN",East Nashville Magnet HS
54,Blake Steen,OG,FR,6-5,340,"Miami, FL",St. Thomas Aquinas
13,Hunter Stewart,LB,JR,6-3,242,"Alexandria, VA",Gonzaga College HS
56,Caleb Stoltz,DL,JR,6-3,250,"Palmyra, VA",Fluvanna County
68,Logan Taylor,OT,SO,6-6,300,"Bridgewater, Canada",Episcopal High School (Va.)
