No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
1,A.J. Abbott,WR,SR,6-2,200,"Northville, MI",Wisconsin
10,Zahir Abdus-Salaam,RB,SO,5-9,195,"Newark, NJ",Union City
47,Cale Allaire,K,FR,5-9,217,"Kentwood, MI",East Kentwood
32,Trae Allen,RB,SR,5-9,205,"Pontiac, MI",Groves
73,Eleasah Anderson,OL,SR,6-4,330,"Houston, TX",Sam Houston State
18,Nate Anderson,WR,FR,6-0,175,"Fort Wayne, IN",Homestead
56,Kyle Arnoldi,OL,SO,6-2,290,"White Lake, MI",Walled Lake Northern
5,Bryce Austin,DL,SO,-,-,-,-
3,Zaire Barnes,LB,SR,6-1,227,"Mundelein, IL",Carmel Catholic
87,Mitch Bartol,TE,SO,6-3,255,"Kimberly, WI",Kimberly
8,Kentrell Beck,RB,FR,6-1,220,"Shelbyville, IL",Shelbyville
19,Willie Berris,WR,FR,5-10,180,"East Kentwood, MI",Lipscomb Academy
22,Boone Bonnema,LB,SO,6-3,235,"Zeeland, MI",Zeeland
64,Tag Bonnema,DL,FR,6-4,232,"Zeeland, MI",Zeeland
86,Blake Bosma,TE,FR,6-3,230,"Holland, MI",West Ottawa
2,Treyson Bourguet,QB,FR,6-1,200,"Tucson, AZ",Salpointe Catholic
40,Jacob Bousamra,TE,FR,-,-,-,-
96,Bryce Bouwens,LS,SR,5-10,215,"Grandville, MI",Grandville
62,Carson Briggs,OL,FR,6-5,295,"Traverse City, MI",Traverse City Central
24,SaVeon Brown,DB,FR,6-1,208,"Phoenix, IL",Thornwood
41,Naahlyee Bryant,LB,FR,6-0,209,"Chicago, IL",Oak Park-River Forest
29,Jalen Buckley,RB,FR,5-11,210,"Aurora, IL",Batavia
85,Josh Burgett,TE,SR,6-5,255,"Grove City, OH",Youngstown State
0,DaShon Bussell,CB,JR,6-1,185,"Knoxville, TN",Knoxville Catholic
48,Dylan Calabrese,LS,FR,6-1,231,"Sugar Grove, IL",Kaneland
65,Trevor Campbell,OL,SR,6-3,315,"Naperville, IL",Naperville Central
33,Quinton Cannon,LB,SO,6-0,215,"Indianapolis, IN",Cathedral
1,Andre Carter,DL,JR,6-5,263,"Detroit, MI",Cass Tech
92,Jayden Childers,DL,FR,6-3,230,"Indianapolis, IN",Brebeuf Jesuit
4,Corey Crooms,WR,JR,5-11,185,"Country Club Hills, IL",Hillcrest
35,Cory Cunningham,WR,FR,6-3,206,"Kalamazoo, MI",-
56,Warren Dabney,DL,SR,6-1,307,"Cumberland, VA",Virginia Military Institute
53,James DeWald,LB,FR,6-1,215,"Birmingham, MI",Seaholm
72,Dylan Deatherage,OL,SR,6-4,310,"Kankakee, IL",Bishop Mcnamara
17,Malique Dieudonne,WR,FR,6-0,170,"Naples, FL",Palmetto Ridge
37,Palmer Domschke,K,FR,5-10,186,"Bolingbrook, IL",Neuqua Valley
34,Peyton Doorhy,LS,FR,6-2,197,"Gobles, MI",Saint Laurence
57,Dalton Dueweke,OL,FR,6-3,295,"Shelby Township, MI",Utica Eisenhower
30,Anthony Enechukwu,S,FR,6-2,195,"Lagos, Nigeria",Orchard Lake St. Mary's
55,Braden Fiske,DL,JR,6-5,300,"Michigan City, IN",Michigan City
31,Logan Flesher,P,JR,6-5,225,"Marietta, GA",Point University
0,Jehlani Galloway,WR,SR,5-11,185,"Providence, RI",Boston College
2,Bricen Garner,S,SR,6-1,185,"Pittsburgh, PA",Pittsburgh Central Catholic/Pittsburgh
42,Will Gerig,TE,FR,6-4,210,"Fishers, IN",Hamilton Southeastern
77,Jacob Gideon,OL,SO,6-2,295,"Union, KY",Ryle
