No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
41,Jackson Adams,LB,SO,6-4,240,"Centennial, CO",Arapahoe
32,Osaro Aihie,ILB,JR,6-1,225,"Oakland, CA",San Leadro
18,Kendin Alexander,WR,JR,5-10,165,"Seattle, WA",Seattle Prep
57,Gabriel Averitt,OC,SO,6-3,270,"Lakeland, FL",Lakeland Christian School
95,Carson Bay,P,JR,5-11,165,"Tampa, FL",Robinson
14,K.C. Beard,DB,JR,6-1,200,"Antioch, TN",Cane Ridge
3,Jamari Bellamy,DB,JR,6-2,185,"Atlanta, GA",McEachern
55,Kupono Blake,NG,SR,6-2,270,"Kalihi, HI",Kamehameha
55,Nick Blessing,OT,SO,6-4,250,"Allen, TX",Allen
87,Caden Blum,DL,SR,6-5,265,"Baraboo, WI",Baraboo
93,Andrew BoisD'Enghien,DE,SR,6-3,280,"Pleasanton, CA",Bradenton River (FL)
19,C.J. Boyd,DB,JR,6-1,200,"Milwaukee, WI",University School
90,Brian Bradley,DE,SO,6-2,230,"Woodstock, GA",River Ridge
6,Cameron Breier,WR,JR,6-2,195,"Pasco, WA",Chiawana
15,Ben Brittain,QB,SR,6-1,190,"Hewitt, TX",Reicher Catholic
9,Levi Brown,CB,SO,6-1,175,"Kennesaw, GA",Allatoona
81,James Bryant,TE,SR,6-4,230,"Roswell, GA",Blessed Trinity
26,Owen Burk,RB,SR,5-11,220,"Grand Rapids, MI",Allendale
54,Are'an Burr,ILB,SO,6-3,220,"Colorado Springs, CO",Air Academy
12,John Busha,QB,SO,6-2,205,"Port Charlotte, FL",Port Charlotte
28,Aiden Calvert,RB,JR,5-10,205,"Chula Vista, CA",Mater Dei Catholic
74,Mason Carlan,OT,SR,6-3,290,"North Little Rock, AR",North Little Rock
20,Dylan Carson,RB,SO,6-0,210,"Marysville, WA",Marysville Pilchuck
83,Chances Carter-Hill,TE,SO,6-2,230,"Cuyahoga Falls, OH",Archbishop Hoban
49,Kurt Chesney,LS,SO,6-0,195,"Aliso Viejo, CA",Aliso Niguel
27,Kaden Cloud,RB,SO,5-9,185,"Gilbert, AZ",Williams Field
77,Cameron Collins,OT,SO,6-3,260,"Lebanon, OH",Saint Xavier
5,Corey Collins,DB,SR,5-11,185,"Suwanee, GA",Peachtree Ridge
30,Tyme Collins,DB,JR,6-0,210,"Waldorf, MD",Bishop McNamara
61,Costen Cooley,OG,SO,6-4,270,"Mesa, AZ",Red Mountain
98,Colton Corrao,PK,FR,6-2,190,"Wesley Chapel, FL",Cypress Creek
28,Terrance Cullivan,CB,SO,5-10,185,"Cypress, TX",Bridgeland
35,Jack Curtis,OLB,SO,6-5,245,"Dallas, TX",Highland Park
12,Patrick Dahlen,DB,SR,6-3,210,"Canton, GA",Cherokee
43,Matthew Dapore,PK,JR,6-0,195,"Springboro, OH",Springboro
48,Anthony DeBerardino,LS,JR,6-1,210,"Apex, NC",Apex Friendship
45,Matt Devine,ILB,JR,6-0,225,"Cincinnati, OH",St. Xavier
51,Victor Dubuclet,ILB,SO,6-0,210,"Dallas, TX",Lake Highlands
24,John Lee Eldridge III,RB,SR,5-9,200,"Youngstown, OH",Lee's Summit North
2,Brandon Engel,WR,JR,6-2,210,"Dallas, TX",Lake Dallas
16,Dylan Evans,WR,SO,5-11,185,"Oak Point, TX",Little Elm
88,Bruin Fleischmann,TE,SO,6-3,220,"Pocatello, ID",Century
65,Samuel Floysand,OT,SO,6-3,275,"Cottage Grove, MN",Cretin-Derham Hall
97,Luke Freer,P,SO,6-4,220,"Fairhope, AL",Fairhope
8,Christopher Frew,RB,SO,5-9,190,"Green Cove Springs, FL",Bolles
22,"Jerome Gaillard, Jr.",DB,JR,6-4,200,"Kempner, TX",Copperas Cove
92,Jackson Garrett,NG,SO,6-3,270,"West Chester, OH",Moeller
30,Kale Gibbs,RB,JR,5-8,175,"LaGrange, GA",LaGrange
11,Camby Goff,SS,SR,6-1,215,"Reynoldsburg, OH",Reynoldsburg
16,Jayden Goodwin,SS,SR,6-1,195,"Houston, TX",Cypress Falls
60,"John Gordon, Jr.",OL,JR,6-2,305,"Murfreesboro, TN",Siegel
95,Daniel Grobe,DE,SO,6-7,270,"Tomball, TX",Tomball Memorial
64,Luke Hallstrom,OG,SR,6-2,270,"Naperville, IL",Naperville Central
21,Cade Harris,WR,JR,5-8,180,"South Weber, UT",Roy
33,Jet Harris,RB,SR,6-1,225,"Gray, TN",Dobyns Bennett
72,Christien Hawks,OT,SO,6-3,290,"Norton, KS",Norton
62,Matthew Heitmann,OL,JR,6-4,290,"Littleton, CO",Dakota Ridge
56,Mark Hiestand,OT,SR,6-5,285,"South Bend, IN",Saint Joseph
51,Kaleb Holcomb,OT,SR,6-4,270,"Dublin, OH",Coffman
38,Ty Hubert,OLB,SO,5-11,200,"Canton, GA",Creekview
53,Steven Iles,OG,SR,6-2,285,"Riverside, CA",Corona Centennial
75,Ethan Jackman,OG,SR,6-4,310,"Chaska, MN",Chaska
10,Jalen Johnson,RB,SR,5-10,185,"Decatur, GA",Collins Hill
5,Jensen Jones,QB,SR,6-2,215,"Naples, FL",St. John Neumann Catholic
46,Zach Juckel,ILB,SO,6-2,210,"Lakeville, MN",Lakeville South
59,Adam Karas,OT,SR,6-4,285,"Arvada, CO",Pomona
17,Zion Kelly,CB,SR,5-10,190,"Greenville, SC",Southside
23,Dane Kinamon,WR,SR,6-0,205,"Peachtree City, GA",McIntosh
54,Jackson Kohal,OL,JR,6-4,305,"Coeur d'Alene, ID",Coeur d'Alene
9,Zac Larrier,QB,SR,6-0,195,"Youngstown, OH",Monterey Trail
25,Tylor Latham,RB,SO,5-8,180,"Madison, MS",Madison Ridgeland Academy
6,Matthew Malloy,OLB,SR,6-3,215,"Scottsdale, AZ",Notre Dame Prep
15,Jake Martin,DB,JR,6-2,200,"Monument, CO",Lewis Palmer
24,Robert Mbroh,ILB,JR,6-3,220,"Oklahoma City, OK",Heritage Hall
71,Michael McAninch,OL,JR,6-3,300,"Toledo, OH",Western
42,Jakobi McGowan,DB,JR,6-1,205,"Indianapolis, IN",Brownsburg
82,Connor McIntee,TE,SR,6-3,235,"Sacramento, CA",Jesuit
41,J. Frank Melgarejo III,LS,SR,6-0,225,"Plantation, FL",American Heritage
85,Parker Menefee,TE,SO,6-6,240,"Missouri City, TX",Ridge Point
10,Jalen Mergerson,SAF,SR,5-11,210,"Aurora, CO",Eaglecrest
47,Luke Meyer,OLB,FR,6-6,240,"Centennial, CO",Valor Christian
4,Emmanuel Michel,FB,SR,5-10,210,"Lawrenceville, GA",Archer
40,Alec Mock,ILB,SR,6-3,240,"Weddington, NC",Weddington
76,Alex Moore,OL,JR,6-3,270,"Louisville, KY",Trinity
69,Wesley Ndago,OG,SR,6-2,300,"Waco, TX",Midway
93,Bryce Olson,K,-,-,-,-,-
43,Kyler Orr,ILB,SO,6-1,210,"Chandler, AZ",Chandler
68,Thor Paglialong,OC,SR,6-4,300,"Woodstock, IL",Marian Central Catholic
56,Cole Palmer,OLB,JR,6-4,235,"Colorado Springs, CO",TCA
21,Aidan Plate,DB,JR,6-2,200,"Dayton, OH",Kettering Archbishop Alter
13,PJ Ramsey,DE,SR,6-3,260,"Phenix City, AL",Central
29,Evan Rau,WR,SO,5-9,170,"Waipahu, HI",Kamehameha
52,Matthew Reddick,ILB,SO,6-2,230,"Charlotte, NC",South Mecklenburg
8,Bo Richter,DE,SR,6-2,250,"Naperville, IL",Naperville North
84,Caleb Rillos,TE,SR,6-6,255,"Golden, CO",Ralston Valley
80,Tre Roberson,WR,SO,6-2,205,"Helena, AL",Thompson
13,Jared Roznos,WR,JR,6-0,190,"Sacremento, CA",Seattle Prep
18,Elijah Sanders,OLB,JR,6-3,240,"Clayton, NC",Clayton
32,Jordan Scarbrough,WR,SO,5-8,185,"Leonardtown, MD",Saint Mary's Ryken
20,Jake Smith,SAF,SR,6-1,210,"Roswell, GA",Blessed Trinity Catholic
87,Quin Smith,WR,SO,6-1,190,"Adairsville, GA",Calhoun
89,Parker St. John,WR,JR,6-2,190,"Orlando, FL",Boone
57,Colin Stewart,DT,SO,6-2,240,"Franklin, TN",Christ Presbyterian Academy
34,Darius Stone,RB,SO,5-11,205,"Augusta, GA",Aquinas
66,Jace Sutulovich,OG,SO,6-3,285,"Siloam Springs, AR",Siloam Springs
99,Aidan Swartz,DT,SO,6-4,270,"Sylvania, OH",Sylvania Northview
78,Trevor Tate,OT,SO,6-2,270,"Waxhaw, NC",Cuthbertson
7,Trey Taylor,FS,SR,6-0,210,"Frisco, TX",Frisco Lone Star
48,Jayden Thiergood,DE,SR,6-3,250,"Chicago, IL",Marian Central Catholic
62,James Tomasi,DL,JR,6-0,310,"Provo, UT",Provo
94,Kaleb Tompkins,DL,JR,6-4,260,"Midlothian, TX",Midlothian
96,Reagan Tubbs,PK,SO,6-0,175,"Flower Mound, TX",Flower Mound
31,Lincoln Tuioti-Mariner,DB,FR,6-1,210,"Las Vegas, NV",Bishop Gorman
17,Cannon Turner,QB,SR,6-0,215,"Arkadelphia, AR",Arkadelphia
50,Grant Uyl,ILB,JR,5-11,225,"Grand Rapids, MI",DeWitt
73,Luke Vonderhaar,OT,SO,6-4,270,"Bettendorf, IA",Pleasant Valley
27,Julian Williams,ILB,JR,6-2,230,"Aurora, CO",Cherkoee Trail
0,Trey Williams,DB,JR,5-10,175,"Atlanta, GA",Loganville
11,Wyatt Wilson,WR,SR,6-3,195,"New Canaan, CT",New Canaan
97,Brent Winfree,NG,SO,6-4,275,"Sunnyvale, TX",Sunnyvale
44,Johnathan Youngblood,ILB,SR,5-11,225,"Atlanta, GA",E.L. Christian Academy
96,Payton Zdroik,DL,JR,6-0,275,"Brentwood, CA",Liberty
