No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,Keith Abney II,DB,FR,5-10,180,"Waxahachie, TX",Waxahachie
2,Xavion Alford,DB,JR,6-0,200,"Pearland, TX",Shadow Creek / Texas / USC
34,Myles Amey,LB,FR,6-2,250,"Gilbert, AZ",Higley / Idaho State
24,Coleson Arends,TE,FR,6-4,245,"Phoenix, AZ",Pinnacle
2,Elijhah Badger,WR,JR,6-2,190,"Sacramento, CA",Folsom
25,Jack Bal,DB,FR,6-2,180,"Peoria, AZ",Centennial
92,Sam Benjamin,DL,FR,6-5,285,"Oro Valley, AZ",Ironwood Ridge / Idaho State
17,Kaleb Black,WR,FR,5-9,170,"Spring, TX",Klein Oak
70,Emmit Bohle,OL,SR,6-7,320,"Selby, SD",Selby Area / Northern State
95,Kyran Bourda,DL,FR,6-3,295,"New Orleans, LA",St. Augustine
88,Coben Bourguet,WR,SO,6-0,200,"Tucson, AZ",Salpointe
16,Trenton Bourguet,QB,JR,6-0,190,"Tucson, AZ",Marana
41,Zach Bowers,LB,SR,6-0,230,"Chandler, AZ",Chandler / Hawai'i
23,Keontez Bradley,DB,FR,6-2,185,"Mansfield, OH",Mansfield Senior
64,Ben Bray,OL,JR,6-5,307,"Mesa, AZ",Red Mountain
55,Cade Briggs,OL,JR,6-3,310,"Las Vegas, NV",Bishop Gorman / New Mexico / Texas Tech
25,DeCarlos Brooks,RB,JR,5-10,220,"Chandler, AZ",Chandler / California
88,Harold Brooks III,DL,JR,6-2,295,"Riverside, CA",Riverside / City College of San Francisco
19,Alonzo Brown,WR,FR,6-2,180,"Rialto, CA",Eisenhower
14,Kyson Brown,RB,FR,6-2,205,"Lancaster, TX",Lancaster
82,Tre Brown,LB,SR,6-2,245,"Moreno Valley, CA",Linfield Christian / Washington State
90,John Butler III,DL,FR,6-1,235,"Scottsdale, AZ",Saguaro
16,Josh Carlson,P,SR,6-0,205,"Gilbert, AZ",Gilbert / Utah Tech / New Mexico State
20,Shawn Charles,WR,SR,6-0,190,"Phoenix, AZ",Camelback / NAU / Garden City CC
1,Jordan Clark,DB,SR,5-10,185,"Baton Rouge, LA",University Lab
62,Ben Coleman,OL,SR,6-3,330,"Temecula, CA",Linfield Christian / Cal
15,Jacob Conover,QB,SO,6-1,205,"Chandler, AZ",Chandler / BYU
12,Jalin Conyers,TE,JR,6-4,270,"Gruver, TX",Gruver / Oklahoma
96,Anthonie Cooper,DL,SR,6-2,285,"Glendale, AZ",Millennium
13,Josiah Cox,DB,FR,6-0,195,"San Diego, CA",Lincoln
66,James Djonkam,LB,JR,6-3,250,"Springfield, VA",West Springfield / Independence CC
32,Prince Dorbah,DL,JR,6-2,230,"Dallas, TX",Highland Park / Texas
5,Chris Edmonds,DB,SR,6-2,215,"Phenix City, AL",Brookstone / Samford
83,Derek Eusebio,WR,FR,5-9,195,"Plano, TX",Parish Episcopal
20,Adama Fall,DB,SO,6-2,200,"Simi Valley, CA",Simi Valley / Arizona
