No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
40,Ammon Allen,LB,SO,6-3,220,"Mesa, AZ",Highland HS
75,Josh Baker,OL,JR,6-3,305,"Eureka, MO",Eureka HS
28,Nazar Bombata,RB,SR,6-1,220,"Los Angeles, CA",Bishop Alemany HS
62,Joseph Borjon,OL,SO,6-8,325,"La Puente, CA",Nogales HS / Mt. San Antonio College
6,Taye Brown,LB,FR,6-2,230,"Chandler, AZ",Hamilton HS
88,Keyan Burnett,TE,SO,6-6,245,"Ladera Ranch, CA",Servite HS
24,Jai-Ayviauynn Celestine,CB,FR,5-9,180,"Miami, FL",Miami Palmetto HS
26,Jaden Clark,WR,SO,5-11,185,"Phoenix, AZ",Desert Vista HS
37,Nolan Clement,EDG,FR,6-4,225,"Scottsdale, AZ",Desert Mountain
3,Jonah Coleman,RB,SO,5-9,225,"Stockton, CA",Lincoln HS
2,Jacob Cowing,WR,SR,5-11,175,"Maricopa, AZ",Maricopa HS / UTEP
52,Brandon Craddock,LB,FR,5-10,225,"Phoenix, AZ",Sandra Day O'Connor
23,Tacario Davis,CB,SO,6-4,195,"Long Beach, CA",Milikan
97,Tristan Davis,EDG,FR,6-7,255,"Lake Oswego, OR",Lakeridge HS
99,Russell Davis II,DL,SO,6-3,220,"Chandler, AZ",Hamilton
17,Brayden Dorman,QB,FR,6-5,225,"Colorado Springs, CO",Vista Ridge HS
29,Devin Dunn,CB,FR,5-10,185,"Chandler, AZ",Chandler
56,Bryce Echols,DL,FR,6-5,280,"Henderson, NV",Coronado
31,Deric English,WR,FR,6-4,210,"Scottsdale, AZ",Saguaro
96,Nick Fernandez,DL,FR,6-4,280,"San Pedro, CA",San Pedro HS
11,Noah Fifita,QB,FR,5-11,194,"Huntington Beach, CA",Servite HS
35,CJ Flores,DB,FR,5-11,200,"Tucson, AZ",Cienega / NAU
10,Justin Flowe,LB,SO,6-2,225,"Chino, CA",Upland / Oregon
49,Jordan Forbes,P,FR,6-0,225,"Mesa, AZ",Desert Ridge
60,To’afiaoali’i Fruean,DL,FR,6-3,285,"Sierra Vista, AZ",Buena
56,Tylen Gonzalez,OL,FR,6-6,305,"Carlsbad, NM",Carlsbad HS
83,Sam Graci-Glazer,WR,FR,6-2,165,"Tampa, FL",IMG Academy
0,Kevin Green Jr.,WR,FR,5-11,170,"Mission Hills, CA",Bishop Alemany HS
55,JT Hand,OL,SO,6-4,310,"Orange County, CA",Mission Viejo HS
36,Dominic Hanger,LB,FR,6-1,225,"Chandler, AZ",Chandler
86,John Hart,TE,FR,6-4,250,"Peoria, AZ",Sunrise Mountain
39,Kameron Hawkins,LS,JR,5-11,220,"Victorville, CA",Orange Lutheran HS
27,Rex Haynes,WR,FR,6-4,205,"San Diego, CA",Cathedral Catholic
15,Daniel Heimuli,LB,JR,6-0,230,"East Palo Alto, CA",Menlo-Atherton / Washington
9,Jackson Holman,WR,FR,6-4,205,"Mission Viejo, CA",Mission Viejo HS
25,Chris Hunter,WR,FR,6-1,195,"New Orleans, LA",Isodore Newman
16,Gavin Hunter,S,FR,6-2,200,"Mililani, HI",Mililani HS
80,Devin Hyatt,WR,FR,6-2,200,"Bradenton, FL",IMG Academy
13,Martell Irby,DB,SR,5-9,200,"San Diego, CA",Morse / UCLA
29,Brandon Johnson,RB,FR,5-9,190,"Palmdale, CA",Highland HS
43,Dalton Johnson,S,SO,5-11,200,"Katy, TX",Katy HS
91,Isaiah Johnson,DL,FR,6-1,305,"Camden, NJ",Chandler
16,AJ Jones,WR,FR,6-4,210,"Ontario, CA",Colony HS
18,Kamuela Ka'aihue,LB,FR,6-2,220,"Honolulu, HI",President Theodore Roosevelt HS
33,Emmanuel Karnley,CB,FR,6-3,185,"Walnut Creek, CA",Las Lomas HS
34,Ammon Kaufusi,DL,FR,6-5,235,"Salt Lake City, UT",Highland
93,Jacob Kongaika,DL,SO,6-2,300,"Rowland Heights, CA",Mater Dei
