No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
87,Christian Abney,TE,FR,6-5,220,"Zionsville, IN",Zionsville HS
76,Arkel Anugwom,OL,FR,6-8,275,"Antioch, TN",Antioch HS
12,Thailand Baldwin,DB,SO,5-10,180,"Hampton, VA",Life Christian Academy
5,Rico Barfield,RB,SO,5-11,214,"St. Louis, MO",DeSmet Jesuit HS
42,Jake Bates,DB,FR,5-9,190,"Mason, OH",William Mason HS
22,Jack Beebe,LB,SO,6-1,223,"Plainfield, IN",Plainfield HS
13,Brandon Berger,LB,JR,6-4,244,"Indianapolis, IN",Roncalli HS
4,Colin Blazek,QB,FR,6-3,205,"Venice, FL",Venice HS
15,Lucas Borrow,P,JR,5-10,185,"Newcastle, Australia",Cardiff HS
97,Caden Britton,LS,FR,5-11,200,"New Albany, OH",New Albany HS
61,Ethan Brown,OL,FR,6-2,270,"Amelia, OH",West Clermont HS
11,Damion Charity,DB,SR,6-2,185,"Hampton, VA",Old Dominion
26,Jordan Coleman,DB,FR,6-0,180,"Saint Peters, MO",DeSmet Jesuit HS
32,Clayton Coll,LB,SR,6-3,235,"Franklin, IN",Franklin Community HS
41,Leo Collins,TE,FR,6-3,215,"Evansville, IN",Evansville Memorial HS
95,Darin Conley,OLB,FR,6-4,225,"Kansas City, MO",The Pembroke Hill School
59,Jackson Constantine,LB,FR,6-1,231,"Fishers, IN",Hamilton Southeastern HS
70,Tristan Cook,OL,FR,6-5,300,"Lexington, KY",Woodford County HS
15,Marquez Cooper,RB,JR,5-8,184,"Gaithersburg, MD",Kent State
96,Jackson Courville,K,FR,5-10,175,"Dayton, OH",Centerville HS
54,Ethan Crowe,OL,JR,6-5,307,"Bargersville, IN",Center Grove HS
24,Christian Davis,RB,FR,6-0,195,"Miamisburg, OH",Miamisburg HS
25,Elijah Davis,DB,FR,6-1,180,"Indianapolis, IN",Pike HS
49,Jack Drake,PK,SR,6-1,186,"Zionsville, IN",DePauw
53,Tucker Dunn,LS,SR,6-3,240,"Cranberry Township, PA",Colgate
45,Cole Earlewine,DB,FR,6-0,198,"Fishers, IN",Hamilton Southeastern
31,DeJuan Echoles Jr.,LB,FR,6-2,220,"Indianapolis, IN",Warren Central HS
14,Ahmad Edwards,WR,SR,6-1,180,"Alabaster, AL",Jacksonville State
55,Dalton Elrod,LB,SO,6-2,229,"Hartland, WI",Arrowhead HS
34,Brayden Evans,RB,JR,6-1,207,"Camby, IN",Mooresville HS
51,Ethan Evers,LB,FR,6-1,210,"Nappanee, IN",NorthWood HS
34,Derek Fields,DB,FR,6-1,187,"Saint Charles, MO",Chaminade HS
74,Rob Fogler,OL,FR,6-7,326,"Cincinnati, OH",St. Xavier HS
99,Dakari Frazier,DL,FR,6-4,255,"Pickerington, OH",Pickerington Central HS
57,Eli Freeman,OL,FR,6-4,273,"Lebanon, TN",Lebanon HS
7,Malcolm Gillie,WR,JR,6-2,196,"Milwaukee, WI",Ellsworth Community College
35,Brody Glenn,WR,FR,6-2,190,"Fort Wayne, IN",Bishop Luers HS
72,Phyllip Gunn,OL,FR,6-3,344,"Gary, IN",Merrillville HS
10,Jahmad Harmon,DB,FR,6-0,175,"Indianapolis, IN",Kent State
52,Drew Harper,LB,FR,6-1,201,"Pittsburgh, PA",IMG Academy
97,John Harris,DL,JR,6-2,280,"Greenwood, IN",Roncalli HS
3,Layne Hatcher,QB,SR,6-0,213,"Little Rock, AR",Texas State
25,Austin Hill,WR,SO,6-2,188,"Muncie, IN",Yorktown HS
37,Eli Hohlt,WR,FR,6-0,175,"Greenwood, IN",Center Grove HS
98,Carson Holmer,K,FR,6-1,206,"Avon, IN",Avon HS
66,Chris Hood,OL,FR,6-9,326,"Kendallville, IN",East Noble HS
20,TJ Horton,RB,FR,5-10,201,"Lexington, KY",Frederick Douglass HS
8,Sidney Houston Jr.,DE,SR,6-2,246,"Cahokia, IL",McKendree
47,Drew Hughes,DL,SO,6-2,291,"Willow Springs, IL",Nazareth Academy
80,Brady Hunt,TE,SO,6-6,249,"Muncie, IN",Delta HS
30,Caden Johnson,LB,FR,6-2,244,"Lexington, KY",Frederick Douglass HS
46,Jalon Jones,DB,FR,5-11,176,"Hillside, IL",York Community HS
48,Luke Jones,WR,FR,5-10,182,"Farmland, IN",Monroe Central HS
55,Damon Kaylor,OL,SR,6-5,299,"Huntington, IN",Michigan State
1,Kiael Kelly,QB,SO,6-2,191,"Tampa, FL",Gaither HS
54,Kyle King,DL,JR,6-4,265,"Greenfield, IN",Michigan State
88,Tanner Koziol,TE,SO,6-7,240,"Bloomingdale, IL",Mt. Vernon HS
18,Aidan Leffler,QB,FR,6-1,218,"Indianapolis, IN",Roncalli HS
63,Tommy Lorincz,OL,SO,6-5,290,"Avon, OH",Avon HS
44,Kyle Lozen,LB,SO,5-10,230,"Carmel, IN",Carmel HS
65,Isaac Lucas,OL,FR,6-4,286,"Youngstown, OH",Ursuline HS
16,Qian Magwood,WR,SO,5-11,179,"Hilltop, OH",Walnut Ridge HS
17,James Makszin,DL,SR,6-4,278,"Norwalk, CT",Rhode Island
62,Brandon Malkow,OL,SR,6-4,286,"Beloit, WI",Western Illinois
1,Aljareek Malry,DB,SR,6-1,192,"Lanham, MD",VMI
41,Ben Marsh,LB,FR,6-4,240,"Hilliard, OH",Darby HS
78,Julian McBride,DL,SO,6-2,275,"Cape Girardeau, MO",Chaminade College Prep
36,Khani McNeese,DB,FR,6-1,177,"Hazelcrest, IL",Hillcrest HS
71,Kevin Meeder,OL,SO,6-5,293,"Portersville, PA",Seneca Valley HS
27,Cody Mikulich,RB,FR,5-10,206,"Bloomington, IN",Bloomington North HS
5,Kyron Mims,DL,JR,6-3,296,"Baton Rouge, LA",Woodlawn HS
17,Dwayne Moorehead,WR,FR,6-2,196,"Chicago, IL",Brother Rice HS
86,Justin Morris,TE,SO,6-4,238,"Vernon Hills, IL",Vernon Hills HS
73,Cole Mosier,OL,FR,6-5,279,"Columbia City, IN",Columbia City HS
64,Jon Mucciolo,OL,SR,6-4,309,"Mahopac, NY",Sacred Heart
23,R.J. Mukes III,WR,FR,5-10,183,"Dayton, OH",Wayne HS
42,Cole Munchel,TE,FR,6-4,237,"Parker City, IN",Monroe Central HS
0,Nick Munson,WR,FR,5-10,188,"Avilla, IN",East Noble HS
9,Keionté Newson,LB,JR,6-2,210,"Murfreesboro, TN",Blackman HS
82,Dahya Patel,WR,FR,6-1,192,"Lawrenceburg, IN",Lawrenceburg HS
79,Austin Payton,OL,FR,6-5,244,"Lafayette, IN",Lafayette Jefferson HS
40,Cole Pearce,LB,SR,6-1,226,"Mason, OH",William Mason HS
39,Nate Pedraza,LB,SO,6-2,237,"Rolling Meadows, IL",Rolling Meadows HS
6,Vaughn Pemberton,RB,SO,5-11,221,"Lake Forest, IL",Loyola Academy
85,Cam Pickett,WR,FR,6-0,192,"Chicago, IL",Brooks College Prep
14,Marion Ponds,DB,JR,6-1,187,"Wichita, KS",Coffeyville CC
4,Tyler 'Red' Potts,DB,SR,5-10,182,"Columbus, OH",Pickerington North HS
19,Nick Presley,WR,SO,6-0,195,"Cincinnati, OH",Walnut Hills HS
57,Nathan Reichert,DL,JR,6-3,276,"Lewistown, OH",Indian Lake HS
3,Jordan Riley,DB,JR,6-1,189,"Clinton, MD",National Christian Academy
2,Ty Robinson,WR,JR,6-3,193,"Aurora, CO",Colorado
84,Preston Ross,TE,FR,6-7,227,"Fort Wayne, IN",Bishop Dwenger HS
43,Danny Royster,LB,FR,6-4,243,"Indianapolis, IN",Lawrence North HS
67,Jackson Ruess,OL,FR,6-4,287,"Crown Point, IN",Crown Point HS
94,Jack Sape,DL,SR,6-4,276,"Bloomfield Hills, MI",Bloomfield Hills HS
