No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
39,Kahlil Ali,DB,FR,6-0,188,"Pennsauken, NJ",Pennsauken
53,Dwayne Allick,OL,JR,6-2,312,"Laurel, MD",DeMatha
5,Kam Arnold,LB,SR,6-1,232,"West Bloomfield, MI",St. Mary's
13,Khris Banks,DL,SR,6-2,304,"Paterson, NJ",DePaul Catholic
21,Cam'ron Barfield,RB,SO,5-6,184,"Las Vegas, NV",Bishop Gorman
23,Cole Batson,DB,SO,6-4,208,"San Clemente, CA",San Clemente
89,Tommy Birmingham,TE,JR,6-4,219,"Pittsford, NY",Pittsford Mendon
8,Jaylen Blackwell,LB,SO,6-0,222,"McDonough, GA",Union Grove
11,Lewis Bond,WR,SO,5-11,188,"Chicago, IL",Kenwood Academy
71,Jude Bowry,OL,SO,6-5,309,"Germantown, MD",St. Frances Academy
19,Jack Brandon,QB,SO,6-2,203,"Williamsville, NY",Cheshire Academy
20,Alex Broome,RB,SO,5-6,192,"Nashville, TN",Lipscomb Academy
32,Jay Brunelle,WR,SR,6-2,203,"Paxton, MA",St. John's
43,Sam Candotti,P,SO,6-1,191,"Niddrie, Australia",Buckley Park College
52,Luchi Casale,LB,FR,6-0,213,"Miami, FL",Los Gatos
1,Thomas Castellanos,QB,SO,5-10,196,"Waycross, GA",Ware County
10,Jalen Cheek,DB,SO,6-1,197,"Sicklerville, NJ",Winslow Township
90,Ty Clemons,DL,SO,6-2,275,"Decatur, AL",Sparkman
79,Kevin Cline,OL,JR,6-6,315,"Boca Raton, FL",Boca Raton Christian
26,CJ Clinkscales,DB,FR,5-7,173,"Buford, GA",Buford
7,Xavier Coleman,RB,SO,5-7,179,"Willingboro, NJ",Lenape
67,Jack Conley,OL,SR,6-7,318,"New Canaan, CT",New Canaan
95,Liam Connor,K,SO,6-1,204,"Leominster, MA",Middlesex School
27,Daveon Crouch,LB,SO,6-1,229,"Tampa, FL",Wharton
77,Michael Crounse,OL,FR,6-4,294,"Schnecksville, PA",DeMatha Catholic
97,Eryx Daugherty,DL,FR,6-2,295,"Troy, MI",Brother Rice
28,Carter Davis,DB,FR,6-0,185,"Baltimore, MD",Mount Saint Joseph
42,Vinny DePalma,LB,SR,5-11,232,"Wayne, NJ",DePaul Catholic
