No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
12,Joe Andreessen,LB,SR,6-1,232,"Depew, NY",Lancaster / Bryant
31,Caleb Arena,CB,JR,6-1,190,"Pittsford, NY",Pittsford Mendon
80,Cameron Ball,TE,FR,6-6,235,"Glenn Dale, MD",Gonzaga College
14,Jackson Baltar,K,SR,5-11,180,"Orlando, FL",Bishop Moore
24,Solomanie Bambara,DE,SO,6-6,222,"Philadelphia, PA",Neumann Goretti
20,Jacqez Barksdale,RB,JR,6-0,225,"Topeka, KS",Topeka / Coffeyville College
83,Tadd Barr,WR,SR,6-0,190,"Pen Argyl, PA",Pen Argyl / Moravian University
0,Jaylon Bass,DT,SR,6-3,295,"Ashland, AL",Clay Central / Hutchinson CC
53,C.J. Bazile,DE,SR,6-3,250,"Bayonne, NJ",Bayonne
79,Trevor Brock,OL,SO,6-6,305,"St. Louis, MO",Affton / Iowa Western
36,Chandler Brown,S,JR,6-1,190,"Whittier, CA",La Mirada / Fullerton College
7,Solomon Brown,NIC,SR,5-11,195,"Largo, FL",Largo / Minnesota
13,Messiah Burch,WR,FR,5-10,170,"Staten Island, NY",Monsignor Farrell
19,Jonathan Capo,S,SO,6-0,190,"Wappingers Falls, NY",Ketcham
54,James Carrington III,OL,JR,6-3,290,"Buffalo, NY",St. Joseph's / Allegheny College
89,Zion Carter,TE,SR,6-6,265,"Tampa, FL",Berkeley Prep / Dartmouth
35,Brennan Clasgens,S,FR,6-0,185,"Rochester, NY",Brighton
20,Ja'Mori Coard,DT,FR,6-3,300,"Danzell, SC",Crestwood
2,"Ron Cook, Jr.",RB,SR,5-9,190,"Washington, DC",St. John's College
28,Marquis Cooper,CB,SO,5-11,185,"Queens, NY",Paramus Catholic / Colgate
18,Dion Crawford,LB,FR,6-1,225,"Lawrenceville, GA",Collins Hill
19,Javien Cuff,WR,SR,6-2,175,"Vero Beach, FL",Vero Beach
21,Demarco Cuffey,CB,SO,6-1,180,"Washington, DC",IMG Academy
16,Mason Cumbie,QB,FR,6-2,190,"Hopewell, VA",Hopewell
5,Boobie Curry,WR,SR,6-2,205,"Houston, TX",St. Pius X / Arizona
88,Ryan Daly,TE,SO,6-6,235,"Mountain View, CA",St. Francis / City College of San Francisco
37,Evan Davis,LS,SR,5-10,197,"Fair Haven, NJ",Rumson-Fair Haven
75,Jamarr Davis,OL,JR,6-4,315,"West Point, MS",West Point / NW Mississippi CC
45,Gio De Leon,LB,JR,6-3,255,"Long Beach, CA",Los Alamitos / Cerritos College
4,Mike DePillo,QB,FR,6-6,215,"Davisburg, MI",Clarkston / St. Thomas More
52,Shaun Dolac,LB,SR,6-1,225,"West Seneca, NY",West Seneca East / Milford Academy
78,Tyler Doty,OL,JR,6-5,320,"Gasport, NY",St. Joseph's Collegiate Institute
99,Cornell Evans,DT,FR,6-1,280,"Seat Pleasant, MD",St. Frances Academy
15,Pershaun Fann,LB,FR,6-0,225,"Moultrie, GA",Colquitt County
98,Daishon Folsom,DT,SR,6-2,285,"Pensacola, FL",Escambia / Hutchinson CC
76,Nicholas Fronczak,OL,SO,6-6,270,"Victor, NY",Victor
10,Marcus Fuqua,S,SR,6-0,195,"Southfield, MI",Southfield A&T
29,Jerrod Gentry,S,SO,6-0,200,"Memphis, TN",Briarcrest Christian / Tennessee
30,Joseph Giggie,RB,FR,5-11,190,"Fairport, NY",Fairport
23,Devin Grant,S,SO,6-4,190,"Elmont, NY",Holy Cross
9,Gunnar Gray,QB,JR,6-4,190,"San Diego, CA",University City / San Diego Mesa College
30,D'Andre Greeley,CB,SO,6-0,180,"Monroe, LA",Bullard / Colorado State
68,Liam Hamilton,OL,FR,6-3,300,"Ossining, NY",Ossining
3,"Darrell Harding, Jr.",WR,SR,6-4,222,"Winter Garden, FL",West Orange / Duke
3,"Demetrius Harris, Jr.",S,SR,6-2,191,"Muskegon, MI",Muskegon / Cornell
0,Cole Harrity,WR,SR,6-0,205,"Truckee, CA",Truckee / New Mexico State
51,Joey Hawryschuk,DE,FR,6-3,240,"Victor, NY",Victor
67,Alex Heininger,OL,FR,6-4,286,"Rochester, NY",Brighton / Central Michigan
51,Nick Hemer,LS,FR,6-4,170,"Harmony, PA",Seneca Valley
22,Al-Jay Henderson,RB,SO,6-0,195,"Irvington, NJ",Irvington
9,Clevester Hines III,CB,SR,6-2,185,"San Mateo, CA",Dublin / College of San Mateo
11,Marlyn Johnson,WR,SR,6-4,200,"Penllyn, PA",The Peddie School
21,Dylan Kedzior,RB,JR,6-0,212,"Claremore, OK",Claremore / Hutchinson CC
60,Andrew Kerwin,OL,JR,6-4,280,"Clarence, NY",Canisius
59,Konrad Krzyszton,DT,FR,6-2,288,"Hamburg, NY",Frontier
25,Jayden Lewis,S,FR,5-10,180,"Buffalo, NY",Bennett
92,Devonyal Lofton,DE,JR,6-2,-,"Forest, MS",Forest / East Mississippi CC
43,Charles McCartherens,CB,FR,5-11,160,"Kennesaw, GA",North Cobb
17,Nik McMillan,WR,FR,6-1,224,"Buffalo, NY",Dr. Henry Wise (MD)
8,Jalen McNair,NIC,JR,5-9,195,"White Plains, MD",Our Lady of Good Counsel
16,Alex McNulty,K,SR,6-1,230,"Caledonia, NY",McQuaid Jesuit
6,Max Michel,DE,SR,6-2,235,"Elizabeth, NJ",Elizabeth
44,Wyatt Molinich,TE,SR,6-0,239,"Pittsford, NY",Pittsford Sutherland
91,Devin Morgan,DT,FR,6-2,288,"Upper Marlboro, MD",St. Frances Academy
6,Chance Morrow,WR,FR,6-6,200,"Charlotte, NC",West Charlotte / Louisville
39,Jamiere Munson,S,FR,5-10,185,"Rochester, NY",Greece Athena
