No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,"Keith Adams, Jr.",RB,FR,5-9,215,"St. George, UT",-
32,Jamal Anderson,LB,FR,6-2,215,"Buford, GA",Mill Creek
36,Khalil Barnes,S,FR,6-0,195,"Athens, GA",North Oconee
33,Griffin Batt,LB,FR,6-0,225,"Clemson, SC",-
31,Rob Billings,S,FR,6-2,200,"Marietta, GA",Milton
43,Will Blackston,TE,JR,6-1,260,"Honea Path, SC",-
68,Will Boggs,OL,JR,6-3,290,"York, SC",-
9,Jake Briningstool,TE,JR,6-6,230,"Brentwood, TN",-
67,Nathan Brooks,OL,SO,6-4,300,"Fort Mill, SC",-
6,Tyler Brown,WR,FR,5-11,180,"Greenville, SC",Greenville
45,Vic Burley,DT,FR,6-4,315,"Warner Robins, GA",Warner Robins
19,DeMonte Capehart,DT,JR,6-5,320,"Hartsville, SC",-
0,Barrett Carter,LB,JR,6-1,230,"Suwanee, GA",-
58,Holden Caspersen,LS,SO,5-11,215,"Roswell, GA",-
36,Quinn Castner,PK,JR,5-5,150,"Fort Mill, SC",-
80,Beaux Collins,WR,JR,6-3,210,"Los Angeles, CA",-
40,Brodey Conn,P,FR,6-0,205,"Clemson, SC",-
50,Fletcher Cothran,LB,FR,6-3,215,"Anderson, SC",-
5,"Sherrod Covil, Jr.",S,SO,5-11,200,"Chesapeake, VA",-
22,Dee Crayton,LB,FR,6-2,225,"Alpharetta, GA",Denmark
82,Jackson Crosby,WR,SO,5-10,190,"Six Mile, SC",-
13,Tyler Davis,DT,SR,6-2,300,"Apopka, FL",-
44,Cade Denhoff,DE,SO,6-5,255,"Plant City, FL",-
84,Markus Dixon,TE,FR,6-4,245,"Philadelphia, PA",Archbishop Wood
83,Hampton Earle,WR,SR,5-10,195,"Clemson, SC",-
11,Sage Ennis,TE,JR,6-4,240,"Graceville, FL",-
43,Riggs Faulkenberry,LB,SO,6-1,205,"Greenville, SC",-
35,Joseph Flesch,WR,SO,6-3,205,"Loris, SC",-
45,Philip Florenzo,LS,JR,6-2,240,"Towson, MD",-
21,Jarvis Green,RB,FR,5-9,200,"Irmo, SC",Dutch Fork
90,Stephiylan Green,DT,FR,6-4,280,"Rome, GA",Rome
24,Hamp Greene,WR,SR,5-9,180,"Birmingham, AL",-
18,Kylon Griffin,S,FR,5-11,200,"Montgomery, AL",-
38,Robert Gunn III,PK,FR,6-0,180,"Seminole, FL",-
57,Jackson Hall,OL,FR,6-3,300,"Craytonville, SC",-
15,Ronan Hanafin,WR,FR,6-3,210,"Burlington, MA",Buckingham Browne & Nichols School
26,Jay Haynes,RB,FR,5-11,185,"Roanoke, AL",Handley
18,Hunter Helms,QB,JR,6-2,210,"West Columbia, SC",-
37,Jacob Hendricks,S,SO,5-7,180,"Six Mile, SC",-
99,A.J. Hoffler,DE,FR,6-4,250,"Stuart, FL",Woodward Academy
75,Trent Howard,OL,JR,6-3,295,"Birmingham, AL",-
25,"Blackmon Huckabee, Jr.",WR,JR,5-11,190,"Clover, SC",-
89,Zach Jackson,WR,SO,6-3,205,"Acworth, GA",-
85,Charlie Johnson,WR,FR,6-4,200,"Columbia, SC",-
3,Noble Johnson,WR,FR,6-2,210,"Rockwall, TX",Rockwall
70,Mason Johnstone,OL,FR,6-5,255,"Clemson, SC",-
6,Sheridan Jones,CB,SR,6-0,190,"Norfolk, VA",-
69,Sam Judy,OL,SO,6-5,315,"Taylors, SC",-
27,Misun Kelley,WR,FR,5-10,180,"Central, SC",D W Daniel
46,Jaden Kinard,S,FR,5-10,185,"Pawleys Island, SC",-
2,Cade Klubnik,QB,SO,6-2,205,"Austin, TX",-
15,Jahiem Lawson,DE,FR,6-2,240,"Central, SC",-
71,Tristan Leigh,OL,SO,6-6,315,"Fairfax, VA",-
14,Shelton Lewis,CB,FR,5-11,185,"Stockbridge, GA",Stockbridge
53,Ryan Linthicum,C,SO,6-3,305,"Damascus, MD",-
10,Jeadyn Lukus,CB,SO,6-2,200,"Mauldin, SC",-
7,Phil Mafah,RB,JR,6-1,230,"Loganville, GA",-
87,Michael Mankaka,WR,FR,6-0,185,"Laurens, SC",-
86,Tristan Martinez,WR,FR,5-9,180,"Honolulu, HI",-
7,Justin Mascoll,DE,SR,6-4,260,"Snellville, GA",-
34,Armon Mason,DE,SO,6-2,240,"Richmond Hill, GA",-
92,Levi Matthews,DE,FR,6-5,235,"Raleigh, NC",-
39,Bubba McAtee,S,JR,6-3,210,"Central, SC",-
21,Kobe McCloud,LB,FR,5-10,225,"Tampa, FL",-
58,Evan McCutchen,DE,JR,6-2,260,"Hampton, SC",-
57,Chandler McMaster,LB,FR,6-1,240,"Greenville, SC",-
34,Kevin McNeal,RB,SO,5-9,200,"Tuscaloosa, AL",-
9,R.J. Mickens,S,SR,6-0,210,"Southlake, TX",-
78,Blake Miller,OL,SO,6-6,310,"Strongsville, OH",-
47,Boston Miller,S,FR,6-2,200,"Central, SC",-
56,Reed Morrissey,LB,SO,6-0,220,"Greenville, SC",-
47,Hogan Morton,PK,SO,5-9,165,"Birmingham, AL",-
1,Andrew Mukuba,S,JR,6-0,195,"Austin, TX",-
51,Jaden Murray,LB,SR,6-2,225,"Highlands Ranch, CO",-
38,Peter Nearn,S,SO,6-2,205,"Memphis, TN",-
41,Caleb Nix,S,FR,6-0,200,"Phenix City, AL",-
79,Jake Norris,OL,FR,6-1,290,"Piedmont, SC",-
16,Myles Oliver,CB,FR,5-11,180,"Villa Rica, GA",-
33,Ruke Orhorhoro,DT,SR,6-4,290,"Lagos, Nigeria",-
72,Zack Owens,OL,FR,6-6,375,"Covington, GA",Eagle's Landing Christian
55,Payton Page,DT,JR,6-4,315,"Greensboro, NC",-
12,T.J. Parker,DE,FR,6-3,255,"Phenix City, AL",Central
64,Walker Parks,OL,SR,6-5,310,"Lexington, KY",-
81,Olsen Patt-Henry,TE,FR,6-3,240,"Naples, FL",First Baptist Academy
91,Zaire Patterson,DE,SO,6-5,260,"Winston-Salem, NC",-
14,Trent Pearman,QB,FR,6-0,190,"Clemson, SC",-
65,Chapman Pendergrass,OL,FR,6-3,290,"Anderson, SC",-
59,Dietrick Pennington,OL,SO,6-5,340,"Memphis, TN",-
25,Jalyn Phillips,S,SR,6-1,205,"Lawrenceville, GA",-
51,Peyton Pitts,OL,FR,6-6,310,"Clinton, SC",-
44,Banks Pope,TE,SO,6-4,240,"Columbia, SC",-
23,"Toriano Pride, Jr.",CB,SO,5-11,190,"St. Louis, MO",-
56,Will Putnam,OL,SR,6-4,310,"Tampa, FL",-
8,Adam Randall,WR,SO,6-2,225,"Myrtle Beach, SC",-
35,Austin Randall,CB,SR,6-1,190,"Myrtle Beach, SC",-
54,Ian Reed,OL,FR,6-6,325,"Austin, TX",Vandegrift
31,Tristen Rigby,RB,SO,5-10,205,"St. Gabriel, LA",-
50,Collin Sadler,OL,FR,6-6,310,"Inman, SC",-
5,Josh Sapp,TE,FR,6-1,235,"Greenville, SC",-
96,Jaheim Scott,DT,JR,6-1,330,"Greenville, SC",-
32,"Wise Segars, Jr.",RB,SO,6-1,205,"Sumter, SC",-
55,Harris Sewell,OL,FR,6-4,315,"Odessa, TX",Permian
16,Colby Shaw,QB,FR,6-4,215,"Duncan, SC",-
1,Will Shipley,RB,JR,5-11,210,"Weddington, NC",-
62,Bryce Smith,OL,FR,6-3,270,"Six Mile, SC",-
89,Jack Smith,P,FR,6-5,235,"Saraland, AL",-
48,Walt Smith,S,FR,5-8,180,"Anderson, SC",-
13,Brannon Spector,WR,SR,6-1,205,"Calhoun, GA",-
10,Troy Stellato,WR,SO,6-1,190,"Fort Lauderdale, FL",-
93,Caden Story,DT,FR,6-3,280,"Lanett, AL",-
23,Peyton Streko,RB,FR,5-10,180,"Cumming, GA",-
29,Branden Strozier,CB,FR,6-1,180,"Lovejoy, GA",St. Francis
29,Davian Sullivan,WR,SR,6-3,210,"Woodruff, SC",-
39,Aidan Swanson,P,SR,6-3,170,"Tampa, FL",-
88,Clay Swinney,WR,FR,5-10,175,"Clemson, SC",-
97,Patrick Swygert,DT,FR,6-4,245,"Batesburg-Leesville, SC",-
74,Marcus Tate,OL,JR,6-5,325,"Sunrise, FL",-
20,Avieon Terrell,CB,FR,5-11,180,"Atlanta, GA",Westlake
20,Domonique Thomas,RB,JR,5-8,210,"Ohatchee, AL",-
3,Xavier Thomas,DE,SR,6-2,245,"Florence, SC",-
54,"Jeremiah Trotter, Jr.",LB,JR,6-0,230,"Hainesport, NJ",-
73,Bryn Tucker,OL,JR,6-3,330,"Knoxville, TN",-
22,Cole Turner,WR,FR,6-1,185,"Vestavia Hills, AL",-
12,Paul Tyson,QB,SR,6-4,215,"Trussville, AL",-
24,Tyler Venables,S,SR,5-11,205,"Clemson, SC",-
17,Christopher Vizzina,QB,FR,6-4,210,"Birmingham, AL",Briarwood Christian
30,Kylen Webb,S,FR,6-0,195,"Tampa, FL",Sumner High
41,Jonathan Weitz,PK,SR,5-11,195,"Charleston, SC",-
2,Nate Wiggins,CB,JR,6-2,185,"Atlanta, GA",-
0,Antonio Williams,WR,SO,5-11,195,"Irmo, SC",-
76,John Williams,OL,JR,6-4,305,"Canton, GA",-
8,Tré Williams,DT,JR,6-2,305,"Windsor, CT",-
17,Wade Woodaz,LB,SO,6-3,230,"Tampa, FL",-
11,Peter Woods,DT,FR,6-2,315,"Alabaster, AL",Thompson
