No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
14,Colton Allen,QB,FR,6-3,205,"Highlands Ranch, CO",Valor Christian
49,Taijh Alston,DE,SR,6-4,255,"Lumberton, NC",Union Pines/Copiah Lincoln CC/West Virginia
4,Javon Antonio,WR,SR,6-4,225,"LaPlace, LA",Hinds CC/Northwestern St.
65,Jack Bailey,OG,SR,6-3,280,"Wiloughby, OH",Kirtland / Kent State
73,Landon Bebee,OG,SR,6-3,300,"Webb City, MO",Webb City/Missouri State
20,LaVonta Bentley,ILB,SR,6-0,230,"Birmingham, AL",P.D.-Jackson-Olin/Clemson
84,Cole Boscia,WR,FR,6-3,210,"Danville, CA",Monte Vista
10,Kyndrich Breedlove,CB,SO,5-11,180,"Nashville, TN",Pearl-Cohn/Mississippi
42,Jeremiah Brown,ILB,JR,6-2,225,"Carrabelle, FL",Gadsden County/Jackson State
56,Tyler Brown,OG,JR,6-3,310,"Jackson, MS",St. Joseph Catholic/La. Lafayette/Jackson State
49,Trent Carrizosa,P,SO,6-2,240,"San Jose, CA",Del Mar
69,Gerad Christian-Lichtenhan,OT,JR,6-10,315,"Davis, CA",Davis
99,Shane Cokes,DL,SR,6-3,275,"Dayton, OH",Chaminade-Julienne/Dartmouth
57,David Conner,OT,FR,6-5,295,"Atlanta, GA",Deerfield Beach / Florida
3,Omarion Cooper,CB,JR,6-0,190,"Lehigh Acres, FL",Lehigh Senior / Florida State
39,Austin Dahlke,S,SO,6-1,195,"Edgar, WI",Edgar
6,Tar’Varish Dawson,WR,SO,5-10,165,"Lehigh Acres, FL",Lehigh Senior / Auburn
79,Camden Dempsey,SN,SO,6-2,255,"Lakewood, CO",Lakewood
44,Jordan Domineck,OLB,SR,6-3,250,"Lakeland, FL",Jenkins/Georgia Tech/Arkansas
60,Carter Edwards,OT,FR,6-5,280,"Hattiesburg, MS",Presbyterian Christian
3,Dylan Edwards,RB,FR,5-9,170,"Derby, KS",Derby
7,Jaylen Ellis,WR,JR,6-3,185,"Round Rock, TX",Cedar Ridge / Baylor
81,Chernet Estes,WR,FR,6-0,190,"Austin, TX",Lake Travis
88,Caleb Fauria,TE,SO,6-5,240,"Attleboro, MA",Bishop Feehan
17,Jace Feely,PK,SO,6-0,215,"Gilbert, AZ",Gilbert Christian/Arizona State
28,Ben Finneseth,S,SO,6-2,205,"Durango, CO",Durango
20,Willie Gaines,WR,JR,5-9,165,"Cocoa, FL",Cocoa / Dodge City CC/Jackson State
38,Brendan Gant,ILB,SR,6-2,200,"Lakeland, FL",Kathleen / Florida State
