No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
84,Zion Agnew,WR,FR,5-10,168,"Columbia, SC",Ridge View
75,Omari Allen,OL,FR,6-5,338,"Henderson, NC",Vance County
40,CJ Armstrong,RB,FR,6-0,185,"Wilson, NC",Hunt
34,Jackson Barker,TE,FR,6-1,221,"Fuquay-Varina, NC",Fuquay-Varina
33,Zakye Barker,LB,FR,5-10,226,"Norcross, GA",Norcross
53,Ryan Beckman,OL,SR,6-2,293,"Avon Lake, OH",Avon Lake / Akron
49,Josh Benton,DB,FR,6-1,195,"Jacksonville, NC",Jacksonville
54,Brady Blalock,LB,FR,6-1,199,"Cary, NC",Cary
30,Javious Bond,RB,FR,5-11,176,"Macon, GA",Jones County
45,Mason Brown,TE,FR,6-4,228,"Warsaw, NC",James Kenan
24,TyMir Brown,DB,SO,6-0,171,"Jacksonville, NC",Jacksonville / North Carolina
26,Isaiah Brown-Murray,DB,FR,5-9,192,"Charlotte, NC",Hough
14,Patrick Bryan,QB,FR,5-11,197,"Aldie, VA",John Champe
80,Shane Calhoun,TE,JR,6-3,242,"Jacksonville, FL",Creekside
44,Ryan Capriotti,PK,FR,5-10,173,"Olney, MD",Good Counsel
44,Preston Carr,DL,FR,6-3,281,"Timberlake, NC",Person / Naval Prep Academy
38,David Chapeau,P,JR,6-1,251,"Athens, GA",North Oconee / Air Force
35,Javion Clark,DB,FR,6-2,183,"Macon, GA",Jones County
72,William Coats,OL,FR,6-3,296,"Clayton, NC",Clayton
37,Adam Cole,DB,FR,6-0,180,"Asheboro, NC",Southwestern Randolph
83,Blue Coleman,WR,FR,5-11,193,"Charlotte, NC",Providence Day
31,Rance Conner,DB,SO,5-11,190,"Miami, FL",Booker T. Washington / Louisville
95,Andrew Conrad,PK,SO,5-9,160,"Kernersville, NC",East Forsyth
63,Jake Crocker,OL,FR,6-6,329,"Princeton, NC",Princeton
7,Samuel Dankah,OLB,SO,6-6,214,"Lorton, VA",South County / Fork Union
2,BJ Davis,LB,SR,6-3,219,"Blair, SC",South Pointe / South Carolina State
42,Julien Davis,LB,FR,6-2,212,"McDonough, GA",Union Grove
50,Kieran Davis,DL,FR,6-1,252,"Roswell, GA",Blessed Trinity Catholic
32,RaRa Dillworth,LB,JR,6-2,195,"Winston Salem, NC",Glenn / North Carolina
38,Daylyn Diston,DB,FR,6-0,168,"Lake Butler, FL",Union County
13,Eric Doctor Jr.,DL,JR,6-0,261,"Orlando, FL",Edgewater
30,Dru Dotter,DB,SO,6-0,177,"Havelock, NC",Havelock
70,Kameron Durant,OL,FR,6-3,301,"Summerville, SC",Cane Bay
37,Kamarro Edmonds,RB,SO,5-11,220,"Havelock, NC",Havelock / North Carolina
22,Mike Edwards III,LB,JR,6-0,206,"Trussville, GA",Hewitt-Trussville / Georgia Southern
74,Hampton Ergle,OL,JR,6-7,315,"Lexington, SC",Lexington
61,Keziah Everett,OL,JR,6-1,291,"Farmville, NC",Central
57,Ajani Farmer,DL,FR,6-3,255,"Greenville, NC",J.H. Rose
85,Antonio Ferguson,TE,FR,6-3,223,"Apopka, FL",Apopka
15,Alex Flinn,QB,JR,6-1,233,"Fletcher, NC",A.C. Reynolds
66,Isaiah Foote,OL,JR,6-3,329,"Prince Frederick, MD",Calvert
10,Mason Garcia,QB,SO,6-5,249,"Myrtle Beach, SC",Carolina Forest
43,Colby Garfield,DS,SO,6-1,226,"Clemmons, NC",North Davidson / Charlotte
82,Jarett Garner,WR,SR,6-3,208,"Harrisburg, NC",Hickory Ridge / Duke University
8,Gerald Green,RB,SR,6-0,200,"Columbus, GA",East Coweta / Georgia Southern
47,No'Tavien Green,LB,FR,6-0,196,"New Bern, NC",New Bern
21,Marlon Gunn Jr.,RB,SO,5-11,210,"Baton Rouge, LA",Scotlandville Magnet
65,Dustyn Hall,OL,SR,6-4,297,"Punta Gorda, FL",Charlotte / South Florida
68,Trey Hardison,OL,FR,6-3,303,"Jacksonville, NC",Southwest Onslow
49,Alex Harper,DS,JR,6-1,218,"Goldsboro, NC",Rosewood / N.C. Central
47,Rahjai Harris,RB,JR,5-11,211,"Duncan, SC",Byrnes
88,Jsi Hatfield,WR,SR,5-11,173,"Graham, NC",Southern Alamance
21,Jordan Huff,DB,JR,6-0,195,"Madison, GA",Morgan County / Hutchinson CC
14,Antione Jackson,DB,FR,6-1,175,"Lauderhill, FL",Dillard
6,Teylor Jackson,LB,JR,6-1,227,"Washington, DC",H.D. Woodson
46,Melvin Jacobs,DB,SO,6-0,197,"Upper Marlboro, MD",Riverdale Baptist
59,Demoris Jenkins,DL,FR,6-4,251,"Huntersville, NC",North Mecklenburg
2,Raheim Jeter,QB,FR,6-3,219,"Spartanburg, SC",Spartanburg
