No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
30,Armani-Eli Adams,S,SR,5-11,193,"St Petersburg, FL",Lakewood
4,BJ Alexander,WR,SR,6-3,198,"Miami Gardens, FL",Chaminade Madonna / Kentucky
43,Jackson Ambush,LB,SR,5-11,225,"New Market, MD",Linganore / Albany (NY)
8,Evan Anderson,DL,JR,6-3,326,"West Orlando, FL",Jones
24,"Michal Antoine, Jr.",DB,JR,6-0,193,"Lauderdale Lakes, FL",Cardinal Gibbons
32,Robert Armes,RB,SR,5-9,190,"Jupiter, FL",Dwyer / St. Thomas
73,Alex Atcavage,OL,JR,6-5,300,"Honesdale, PA",IMG Academy
19,Ben Ballard,QB,SR,6-0,203,"Austin, TX",Hyde Park / Texas
79,Kamaar Bell,OL,JR,6-2,300,"Moultrie, GA",Colquitt County / Auburn
47,Carter Boatwright,TE,JR,6-4,240,"Moultrie, GA",Colquitt County / Florida State
95,Marlon Bradley,DE,JR,6-4,240,"Deltona, FL",Deltona
18,Kahlil Brantley,TE,SO,6-2,225,"Opa-Locka, FL",Northwestern / Miami
87,Elijah Brown,TE,FR,6-6,250,"Dayton, OH",Wayne / Alabama
8,Je'Quan Burton,WR,SR,5-10,187,"West Orlando, FL",Jones / Iowa Central CC
42,Michael Cates,S,FR,6-2,180,"Key West, FL",Key West
52,Jadyn Church,LB,FR,6-0,205,"Tampa, FL",Tampa Bay Tech
54,Jordan Church,OL,FR,6-4,315,"Fort Myers, FL",IMG Academy
40,Tanner Coad,LS,SO,6-1,215,"St. Petersburg, FL",Admiral Farragut Academy
89,Jett Coolman,WR,JR,6-0,175,"West Palm Beach, FL",American Heritage / Millsaps College
33,Justice Cross,ILB,SO,6-2,225,"Lauderhill, FL",Deerfield Beach
16,Carson Cruver,QB,FR,6-3,200,"Houston, TX",St. Michael's Catholic Academy
36,Carter Davis,K,SO,6-0,210,"East Fort Lauderdale, FL",Western
57,Kinney Dozier,LS,FR,6-0,218,"Lake Worth, FL",Park Vista / Norfolk State
74,Ovie Dubre,OL,FR,6-4,325,"Powder Springs, GA",McEachern
86,Donovan Giles,WR,FR,6-4,195,"Viera, FL",Viera
37,Robert Hammond III,K,FR,6-1,165,"West Palm Beach, FL",Cardinal Gibbons
20,Joshua Harriott,RB,FR,5-10,180,"Fort Lauderdale, FL",St. Thomas Aquinas
90,Decarius Hawthorne,DL,JR,6-2,295,"Birmingham, AL",Center Point
83,Omari Hayes,WR,FR,5-9,165,"Sarasota, FL",Venice
85,Jymetre Hester,WR,JR,5-10,160,"Belle Glade, FL",Glades Central / Mississippi Gulf Coast CC
6,Daedae Hill,DB,JR,5-10,190,"Palmetto, FL",Palmetto / Central Michigan
39,Jahbari Hill,LB,SO,6-1,205,"Delray Beach, FL",Atlantic Community
78,Dorian Hinton,OL,JR,6-4,317,"Naples, FL",Naples / Middle Tennessee
28,Zyere Horton,LB,FR,6-3,225,"Woodstock, GA",Milton / Georgia Southern
12,Jalen Huff,DB,SO,6-0,191,"Athens, GA",Buford / Georgia Tech
99,Tre Jackson,TE,SR,6-4,244,"Winter Haven, FL",West Orange
7,Latrell Jean,DL,JR,6-3,280,"Lakeland, FL",Lakeland
55,Woody Jean,OL,SO,6-5,315,"Pompano, FL",Deerfield Beach / Arizona
44,Jarrett Jerrels,ILB,JR,6-2,225,"Williston, FL",Chiefland
0,Tony Johnson,WR,SO,5-11,180,"Ocala, FL",Vanguard
6,"Michael Johnson, Jr.",QB,JR,6-3,210,"San Jose, CA",Sheldon/ King's Academy / Penn State
49,Chris Jones,DE,JR,6-4,255,"Pompano Beach, FL",Coconut Creek
80,Fin Jones,TE,FR,6-6,230,"Venice, FL",Venice
19,Morven Joseph,OLB,JR,6-3,228,"Lakeland, FL",Lake Gibson / Tennessee
62,Okino King,OL,FR,6-3,305,"Miami, FL",Northwestern
46,Bridger Koby,TE,FR,6-3,220,"Merritt Island, FL",Merritt Island
55,Alexander Kocher,DE,FR,6-5,245,"Pembroke Pines, FL",Pembroke Pines Charter
54,Marlon Krakue,DE,SR,6-3,240,"Marietta, GA",Sprayberry
70,Malcolm Lamar Sr.,DL,SR,6-5,313,"Seffner, FL",Armwood / Florida State
67,Andre Lamas,OL,JR,6-3,300,"Miami, FL",Columbus
14,Courtney Lamas-Lanier,DB,JR,5-11,190,"Miami, FL",Columbus / Lake Erie
88,Marvin Landy,TE,SR,6-4,235,"Lakeland, FL",Jenkins / Tarleton
5,Kobe Lewis,RB,SR,5-11,215,"Americus, GA",Americus-Sumter / Purdue
