No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
42,Kenny Anyaehie,ILB,SR,6-0,225,"Naples, FL",Lely / Temple
88,Caleb Banks,DL,FR,6-6,320,"Detroit, MI",Southfield A&T / Louisville
58,Austin Barber,OL,SO,6-6,300,"Jacksonville, FL",Trinity Christian Academy
28,Eddie Battle,RB,SR,6-2,210,"McDonough, GA",Henry County / Allan Hancock / SEMO
8,Arlis Boardingham,TE,FR,6-3,240,"Van Nuys, CA",Birmingham
12,Justus Boone,EDG,SO,6-4,265,"Sumter, SC",Sumter HS
17,Max Brown,QB,FR,6-2,220,"Tulsa, OK",Lincoln Christian
88,Marcus Burke,WR,SO,6-4,200,"Jacksonville, FL",Trinity Christian Academy
48,Gannon Burt,LS,FR,6-1,210,"Fort Mill, SC",Fort Mill
36,Bryce Capers,EDG,FR,6-4,240,"Jacksonville, FL",Riverside
27,Cam Carroll,RB,SR,6-0,230,"Flowood, MS",Northwest Rankin / Tulane
14,Jordan Castell,S,FR,6-2,220,"Orlando, FL",West Orange
16,Thai Chiaokhiao-Bowman,WR,SO,6-0,200,"Minneapolis, MN",Armstrong / Independence CC
59,Hayden Clem,OL,SO,6-2,295,"Maitland, FL",Winter Park
11,Kelby Collins,EDG,FR,6-4,270,"Gardendale, AL",Gardendale
31,Ahman Covington,S,FR,5-11,190,"Starke, FL",Bradford
26,Jeremy Crawshaw,P,JR,6-4,200,"New South Wales, Australia",ProKick Australia
33,Daniel Cross,WR,SR,6-0,180,"Orlando, FL",East River
4,Sharif Denson,CB,FR,5-11,180,"Jacksonville, FL",Bartram Trail
4,Caleb Douglas,WR,SO,6-3,200,"Missouri City, TX",Hightower
43,Jaden Edgecombe,WR,FR,5-8,165,"Cocoa, FL",Cocoa
65,Kingsley Eguakun,OL,JR,6-3,300,"Jacksonville, FL",Sandalwood
41,Ara Emerzian,P,SR,6-3,200,"Deerfield, IL",Deerfield
7,Trevor Etienne,RB,SO,5-9,205,"Jennings, LA",Jennings
52,Jalen Farmer,OL,FR,6-5,310,"Covington, GA",Eastside
61,Nicolas Flynn,DL,FR,6-2,285,"Lake Forest, IL",Lake Forest
0,Ja'Quavion Fraziars,WR,JR,6-4,215,"Dunnellon, FL",Dunnellon
13,Aaron Gates,CB,FR,6-1,200,"Moreland, GA",Trinity Christian
76,Damieon George Jr.,OL,SO,6-6,350,"Houston, TX",North Shore / Alabama
19,Alex Gonzalez,WR,FR,5-10,190,"Fort Myers, FL",Lehigh
84,Brian Green Jr.,WR,FR,6-0,195,"Jacksonville, FL",Orange Park
89,Hayden Hansen,TE,FR,6-6,265,"Weatherford, TX",Weatherford
77,Knijeah Harris,OL,FR,6-3,315,"Port St. Lucie, FL",IMG Academy
79,Jordan Herman,OL,SO,6-8,375,"Fort Mill, SC",Fort Mill / Hutchinson CC
96,Gavin Hill,DL,FR,6-3,255,"Gainesville, FL",Buchholz
23,Jaydon Hill,CB,JR,6-0,195,"Huntsville, AL",Bob Jones
90,Connor Homa,DL,FR,6-2,325,"Palm Harbor, FL",Palm Harbor University
74,Lyndell Hudson II,OL,SR,6-5,325,"Brooksville, FL",Central / FIU
66,Jaelin Humphries,DL,JR,6-3,325,"Lawrenceville, GA",Mountain View
85,Scott Isacks,TE,FR,6-4,245,"New Orleans, LA",Metairie Park
48,Quincy Ivory,EDG,SO,6-3,260,"Alief, TX",Legacy / Mississippi Valley State / East Los Angeles
99,Cam Jackson,DL,JR,6-6,360,"Haynesville, LA",Haynesville / Memphis
2,Ja'Keem Jackson,CB,FR,6-1,185,"Kissimmee, FL",Osceola
24,Ja'Kobi Jackson,RB,JR,5-11,220,"Pensacola, FL",Pensacola Catholic / Coahoma CC
