No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
57,Cade Adams,DL,FR,6-0,275,"Dawsonville, GA",Dawson County H.S.
36,Kace Adams,DB,FR,5-11,194,"Cartersville, GA",Cartersville H.S.
27,Chad Alexander,RB,FR,5-9,177,"Lawrenceville, GA",Archer H.S.
51,Nacari Ashley,LB,FR,6-3,210,"Marietta, GA",Marietta H.S.
81,Luke Benson,TE,SR,6-4,233,"Chalfont, PA",Syracuse
58,Brandon Best,OL,FR,6-4,295,"Tucker, GA",Milton H.S.
88,Zeek Biggers,DL,JR,6-6,333,"Salisbury, NC",West Rowan H.S.
93,Aidan Birr,PK,FR,6-1,198,"Kennedale, TX",Kennedale H.S.
25,James BlackStrain,WR,SO,6-2,186,"Cocoa, FL",Holy Trinity Episcopal Academy
1,Leo Blackburn,WR,SO,6-5,220,"Atlanta, GA",Westlake H.S.
12,Dominick Blaylock,WR,JR,6-1,203,"Marietta, GA",Georgia
9,Avery Boyd,WR,JR,6-2,232,"Tallahassee, FL",Godby H.S.
1,LaMiles Brooks,DB,JR,6-2,188,"Jacksonville, FL",Trinity Christian Academy
22,Colson Brown,QB,FR,6-4,206,"North Augusta, SC",North Augusta H.S.
71,Jordan Brown,OL,SO,6-5,325,"Long Beach, CA",UNC Charlotte
28,Justin Brown,DB,FR,6-0,186,"Murfreesboro, TN",Blackman H.S.
15,Sirad Bryant,DB,SO,6-2,215,"Cordele, GA",Crisp County H.S.
47,A.J. Cheeks,DB,FR,5-10,170,"Lawrenceville, GA",Mountain View H.S.
77,Elias Cloy,OL,FR,6-3,278,"Alpharetta, GA",Alpharetta H.S.
54,Jack Collins,LB,FR,6-1,212,"Weddington, NC",Weddington H.S.
43,Noah Collins,DL,JR,6-5,241,"Loganville, GA",Grayson H.S.
0,Trey Cooley,RB,JR,5-10,197,"Raleigh, NC",Louisville
35,Jacob Cruz,LB,FR,6-4,232,"Kennesaw, GA",North Cobb Christian School
21,Omar Daniels,DB,SO,6-0,176,"Moultrie, GA",Kansas State
24,Trent Davis,WR,SO,5-11,175,"Douglas, GA",Coffee H.S.
52,Austin Dean,LB,JR,6-2,229,"Tampa, FL",Rutgers
26,Evan Dickens,RB,FR,5-11,184,"Roswell, GA",IMG Academy
98,Bryston Dixon,DL,FR,6-3,329,"Leroy, AL",Leroy H.S.
99,D'Quan Douse,DL,JR,6-2,290,"Savannah, GA",Calvary Day School
29,Nico Dowdell,DB,FR,6-0,191,"Loganville, GA",Loganville H.S.
44,Kyle Efford,LB,FR,6-2,219,"Dacula, GA",Dacula H.S.
89,Chris Elko,WR,FR,6-1,185,"Roswell, GA",Roswell H.S.
56,Cosby Ellis,LB,FR,6-2,234,"Sharpsburg, GA",East Coweta H.S.
23,Jamie Felix,RB,SO,5-10,198,"Kingland, GA",Camden County H.S.
31,Jonorian Foots,LB,FR,5-10,225,"Swainsboro, GA",Swainsboro H.S.
34,Myles Forristall,LB,FR,6-0,221,"Cartersville, GA",Cartersville H.S.
60,Gabe Fortson,OL,FR,6-3,299,"Kennesaw, GA",North Cobb Christian School
72,Weston Franklin,OL,JR,6-4,311,"Jesup, GA",Wayne County H.S.
46,Henry Freer,LS,JR,6-0,205,"College Park, GA",Woodward Academy
67,Joe Fusile,OL,SO,6-6,302,"Richmond Hill, GA",Richmond Hill H.S.
66,Benjamin Galloway,OL,FR,6-4,300,"Powder Springs, GA",Hillgrove H.S.
23,Khari Gee,DB,SO,6-2,191,"Atlanta, GA",Notre Dame
74,Tyler Gibson,OL,FR,6-5,294,"Alpharetta, GA",Johns Creek H.S.
15,Zach Gibson,QB,JR,6-3,197,"Alpharetta, GA",Akron
21,Daylon Gordon,RB,SO,5-9,188,"Eastman, GA",Dodge County H.S.
7,Bryce Gowdy,WR,-,6-3,210,"Deerfield Beach, FL",Deerfield Beach H.S.
20,Ben Guthrie,QB,FR,5-10,165,"Alpharetta, GA",Alpharetta H.S.
11,Kevin Harris,DL,JR,6-4,245,"Loganville, GA",Alabama
18,Ahmari Harvey,DB,SO,6-0,180,"Tallahassee, FL",Auburn
11,Jamal Haynes,RB,SO,5-9,180,"Loganville, GA",Grayson H.S.
45,Ashton Heflin,LB,FR,6-0,230,"Newnan, GA",Newnan H.S.
20,Ben Hollerbach,DB,FR,5-10,174,"Savannah, GA",Benedictine Military Academy
18,Abdul Janneh,WR,JR,6-3,192,"Hanover, PA",Duquesne
10,Kenan Johnson,DB,JR,6-1,183,"Minneola, FL",Lake Minneola H.S.
96,Shymeik Jones,DL,FR,6-5,283,"Camden, SC",Camden H.S.
24,"Steven Jones, Jr.",DB,FR,6-1,192,"Gadsden, AL",Gadsden City H.S.
97,Eddie Kelly,DL,SO,6-4,278,"Orlando, FL",USF
9,Kyle Kennard,DL,JR,6-5,238,"Atlanta, GA",Riverwood H.S.
39,Will Kiker,DB,FR,6-1,184,"Elijay, GA",Gilmer County H.S.
10,Haynes King,QB,SO,6-3,204,"Longview, TX",Texas A&M
14,Jaylon King,DB,SR,6-1,193,"La Vergne, TN",Ensworth
7,Chase Lane,WR,JR,6-0,193,"Houston, TX",Texas A&M
6,Christian Leary,WR,JR,5-10,173,"Orlando, FL",Alabama
75,Jakiah Leftwich,OL,SO,6-6,311,"Atlanta, GA",Westlake H.S.
2,Dylan Leonard,TE,SR,6-5,240,"Milton, GA",Milton H.S.
14,Juju Lewis,WR,FR,6-2,216,"Davie, FL",Western H.S.
55,Horace Lockett,DL,FR,6-6,341,"Atlanta, GA",Westlake H.S.
82,Jackson Long,TE,FR,6-4,226,"Hendersonville, TN",South Florida
78,Ethan Mackenny,OL,FR,6-4,292,"Marietta, GA",Lassiter H.S.
45,Ryan Mannelly,LS,JR,6-3,222,"Atlanta, GA",Penn
33,Tyson Meiguez,LB,SO,6-2,217,"Fairburn, GA",Creekside H.S.
44,Anthony Minella,TE,SO,6-2,235,"Milton, GA",Milton H.S.
13,Paul Moala,LB,SR,6-0,229,"Mishawaka, IN",Idaho
22,D.J. Moore,DB,FR,6-1,188,"Loganville, GA",Archer H.S.
95,Jason Moore,DL,SO,6-2,291,"Hampton, GA",Dutchtown H.S.
48,Ezra Odinjor,DL,FR,6-3,233,"Kennesaw, GA",Allatoona H.S.
49,Chuma Okoye,LB,FR,6-0,219,"Dacula, GA",Dacula H.S.
4,Braelen Oliver,LB,SR,6-0,217,"Douglasville, GA",Minnesota
5,Clayton Powell-Lee,DB,SO,6-2,185,"Atlanta, GA",Westlake H.S.
41,Malcolm Pugh,DL,FR,6-4,217,"Leroy, AL",Leroy H.S.
