No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Joenel Aguero,DB,FR,5-11,205,"Lynn, MA",St. John’s Prep
33,CJ Allen,ILB,FR,6-1,235,"Barnesville, GA",Lamar County
92,Liam Badger,PK,SO,6-0,170,"Cumming, GA",West Forsyth / Kennesaw State
66,Aliou Bah,OL,FR,6-5,320,"Memphis, TN",IMG Academy
67,Clinton Barlow,DL,FR,6-3,310,"Charlotte, NC",Charlotte Catholic
94,Henry Bates,PK,FR,5-11,170,"Waycross, GA",Ware County
15,Carson Beck,QB,JR,6-4,220,"Jacksonville, FL",Mandarin
86,Dillon Bell,WR,SO,6-1,210,"Houston, TX",The Kinkaid School
29,Luke Bennett,WR,FR,5-11,175,"Blackshear, GA",Pierce County
28,Walter Blanchard,WR,FR,6-1,195,"Columbus, GA",Brookstone
58,Austin Blaske,OL,JR,6-5,310,"Faulkville, GA",South Effingham
74,Drew Bobo,OL,FR,6-5,305,"Auburn, AL",Auburn
19,Brock Bowers,TE,JR,6-4,240,"Napa, CA",Napa
0,Troy Bowles,ILB,FR,6-0,220,"Tampa, FL",Jesuit High School
43,Marek Briley,WR,FR,6-3,205,"Buford, GA",North Gwinnett
97,Warren Brinson,DL,SR,6-4,305,"Savannah, GA",IMG Academy
31,Grant Briscoe,WR,FR,6-3,190,"Carrollton, GA",Carrollton
44,Cade Brock,TE,JR,6-0,250,"Subligna, GA",Darlington
68,Chris Brown,OL,JR,6-5,315,"Savannah, GA",Islands
22,Javon Bullard,DB,JR,5-11,195,"Milledgeville, GA",Baldwin
27,Sam Bush,QB,FR,5-11,185,"Athens, GA",Athens Academy
32,Chaz Chambliss,OLB,JR,6-2,250,"Carrollton, GA",Carrollton
20,Sevaughn Clark,RB,SR,6-1,215,"Dawsonville, GA",Dawson County
42,Graham Collins,ILB,JR,6-2,215,"Atlanta, GA",Holy Innocents Episcopal School
57,Luke Collins,OLB,SO,6-2,245,"Birmingham, AL",Birmingham Prep
14,David Daniel-Sisavanh,DB,JR,6-2,185,"Woodstock, GA",Woodstock
48,Joseph Daniels,DB,SR,5-10,188,"Johns Creek, GA",Roswell / Indiana
4,Oscar Delp,TE,SO,6-5,245,"Cumming, GA",West Forsyth
26,Collin Drake,QB,SO,6-1,195,"Ennis, TX",Ennis
10,Jamon Dumas-Johnson,ILB,JR,6-1,245,"Hyattsville, MD",St. Frances Academy
30,Daijun Edwards,RB,SR,5-10,201,"Norman Park, GA",Colquitt County
17,Anthony Evans III,WR,FR,5-11,165,"Converse, TX",Judson
6,Daylen Everette,DB,SO,6-1,190,"Norfolk, VA",IMG Academy
53,Dylan Fairchild,OL,SO,6-5,315,"Cumming, GA",West Forsyth HS
35,Jacob Fleming,S,FR,5-11,190,"Atlanta, GA",Westminster
30,Terrell Foster,ILB,FR,6-1,220,"Kennesaw, GA",IMG Academy
57,Monroe Freeling,OL,FR,6-7,310,"Isle of Palms, SC",Oceanside Collegiate
79,Gus Gammage,C,FR,6-5,306,"Cedartown, GA",Darlington School
1,Nyland Green,DB,SO,6-1,185,"Covington, GA",Newton
71,"Earnest Greene, III",OL,FR,6-4,320,"Los Angeles, CA",St. John Bosco
43,Ali Hall,DB,FR,6-1,201,"Jacksonville, FL",Westside
44,Jordan Hall,DL,FR,6-4,320,"Jacksonville, FL",Westside
45,Jacob Hardie,RB,FR,5-9,180,"Olney, MD",Our Lady of Good Counsel
4,A.J. Harris,DB,FR,6-1,190,"Phenix City, AL",Central
15,Daniel Harris,DB,FR,6-2,175,"Miami, FL",Gulliver Prep
29,Gabe Harris,OLB,FR,6-4,245,"Thomasville, GA",IMG Academy
93,Will Hattaway,PK,FR,6-0,185,"Evans, GA",Lakeside
13,Zeed Haynes,WR,FR,6-1,170,"Philadelphia, PA",North Penn
89,Braxton Hicks,WR,JR,6-2,195,"Tiger, GA",Rabun County
59,Bo Hughley,OL,FR,6-7,280,"Fairburn, GA",Langston Hughes
12,Julian Humphrey,DB,FR,6-0,190,"Webster, TX",Clear Lake
93,Tyrion Ingram-Dawkins,DL,SO,6-5,280,"Gaffney, SC",Gaffney
17,Dan Jackson,DB,SR,6-1,190,"Gainesville, GA",North Hall
55,Jamaal Jarrett,DL,FR,6-5,350,"Greensboro, NC",Grimsley
94,Jonathan Jefferson,DL,SO,6-3,295,"Douglasville, GA",Douglas County
48,Cooper Johnson,TE,FR,6-4,220,"Cumming, GA",West Forsyth
82,Logan Johnson,WR,SO,5-6,155,"Bogart, GA",Prince Avenue Christian School
76,Miles Johnson,OL,JR,6-5,320,"Blue Ridge, GA",Fannin County
32,Cash Jones,RB,SO,6-0,182,"Brock, TX",Brock
31,Kyron Jones,DB,FR,6-0,200,"Charlotte, NC",Charlotte Christian
98,Noah Jones,P,SO,6-0,165,"Cairo, GA",Cairo
39,Parker Jones,WR,FR,5-11,165,"Albany, GA",Deerfield-Windsor
7,"Marvin Jones, Jr",OLB,SO,6-5,250,"Sunrise, FL",American Heritage
81,David Lalaian,TE,FR,6-4,225,"Monroe, GA",Monroe Area
39,Collin Lark,DB,JR,6-0,198,"Dallas, TX",Dallas Jesuit
3,Kamari Lassiter,DB,JR,6-0,180,"Savannah, GA",American Christian Academy
25,E.J. Lightsey,ILB,FR,6-2,223,"Fitzgerald, GA",Fitzgerald
78,Chad Lindberg,OL,JR,6-6,325,"League City, TX",Clear Creek
96,Zion Logue,DL,SR,6-5,310,"Lebanon, TN",Lebanon
6,Dominic Lovett,WR,JR,5-10,179,"Belleville, IL",East St. Louis / University of Missouri
7,Lawson Luckie,TE,FR,6-3,240,"Norcross, GA",Norcross
26,Samuel M'Pemba,OLB,FR,6-3,245,"Olivette, MO",IMG Academy
16,C.J. Madden,DE,FR,6-4,230,"Ellenwood, GA",Cedar Grove
84,Ladd McConkey,WR,JR,6-0,185,"Chatsworth, GA",North Murray
9,Jackson Meeks,WR,JR,6-2,205,"Phenix City, AL",Central
72,Jamal Meriweather,OL,FR,6-6,287,"Brunswick, GA",Brunswick H.S.
87,Mekhi Mews,WR,SO,5-8,185,"Grayson, GA",Central Gwinnett
52,Christen Miller,DL,FR,6-4,305,"Ellenwood, GA",Cedar Grove
70,Joshua Miller,OL,FR,6-4,300,"Chesterfield, VA",Life Christian Academy
2,Kendall Milton,RB,SR,6-1,220,"Fresno, CA",Buchanan
65,Amarius Mims,OL,JR,6-7,340,"Cochran, GA",Bleckley County
2,"Smael Mondon, Jr.",ILB,JR,6-3,225,"Dallas, GA",Paulding County
80,Brandon Moody,WR,JR,5-7,165,"Monroe, GA",Monroe Area / Berry College
56,Micah Morris,OL,SO,6-6,330,"Kingsland, GA",Camden County
23,De’Nylon Morrissette,WR,SO,6-1,200,"Stone Mountain, GA",North Cobb
50,William Mote,SN,SR,6-2,230,"Hoover, AL",Spain Park
16,Jackson Muschamp,QB,JR,6-2,190,"Columbia, SC",Hammond School
3,Andrew Paul,RB,FR,5-11,218,"Dallas, TX",Parish Episcopal School
60,Henry Peagler,OL,FR,6-3,290,"Blackshear, GA",Pierce County
27,Chris Peal,DB,FR,6-1,190,"Charlotte, NC",Providence Day School
69,Tate Ratledge,OL,JR,6-6,310,"Rome, GA",Darlington School
37,Izayah Reeves,WR,SO,5-11,175,"Long Island, NY",Monocan / Charleston
9,Justyn Rhett,DB,FR,6-0,190,"Las Vegas, NV",Bishop Gorman
22,Branson Robinson,RB,SO,5-10,220,"Canton, MS",Germantown
0,Roderick Robinson II,RB,FR,6-0,240,"San Diego, CA",Lincoln
1,Marcus Rosemy-Jacksaint,WR,SR,6-2,195,"Pompano Beach, FL",St. Thomas Aquinas
41,Denton Shamburger,DE,FR,6-0,175,"Atlanta, GA",Westminster School
85,Drew Sheehan,TE,SR,6-2,240,"Woodstock, GA",Woodstock / Kennesaw State
47,Sam Shurtleff,OLB,JR,6-4,230,"Watkinsville, GA",Oconee County / Nebraska
11,Arian Smith,WR,JR,6-0,185,"Bradley, FL",Lakeland
18,C.J. Smith,WR,FR,6-3,190,"Apopka, FL",Mount Dora
36,Colby Smith,DB,JR,5-10,170,"Danielsville, GA",Madison County / Presbyterian
19,Darris Smith,OLB,SO,6-5,240,"Baxley, GA",Appling County
23,Tykee Smith,DB,SR,5-10,205,"Philadelphia, PA",Imhotep Institute Charter / West Virginia
54,"Kelton Smith, Jr.",OL,FR,6-4,330,"Columbus, GA",Carver
51,Will Snellings,SN,FR,6-2,220,"Fayetteville, GA",Whitewater
18,Xavian Sorey Jr.,ILB,SO,6-3,220,"Campbellton, FL",IMG Academy
83,Cole Speer,WR,SO,5-11,185,"Calhoun, GA",Calhoun
88,Pearce Spurlin III,TE,FR,6-7,230,"Rosemary Beach, FL",South Walton
78,Nazir Stackhouse,DL,SR,6-3,320,"Stone Mountain, GA",Columbia
24,Malaki Starks,DB,SO,6-1,205,"Jefferson, GA",Jefferson
14,Gunner Stockton,QB,FR,6-1,215,"Tiger, GA",Rabun County
38,Patrick Taylor,DB,JR,6-0,175,"Johns Creek, GA",Johns Creek
47,Will Taylor,WR,FR,6-3,190,"Milton, GA",Cambridge
20,JaCorey Thomas,DB,SO,6-0,200,"Orlando, FL",Boone
5,Rara Thomas,WR,JR,6-2,200,"Eufaula, AL",Eufaula HS / Mississippi State
39,Miles Thornton,WR,FR,6-0,190,"Tyrone, GA",Sandy Creek
92,Brett Thorson,P,SO,6-2,220,"Melbourne, Australia",ProKick Australia
73,Xavier Truss,OL,SR,6-7,320,"West Warwick, RI",Bishop Hendricken
63,Sedrick Van Pran,OL,JR,6-4,310,"New Orleans, LA",Warren Easton
12,Brock Vandagriff,QB,SO,6-3,210,"Bogart, GA",Prince Avenue Christian School
46,George Vining,WR,SR,6-0,205,"Macon, GA",Tatnall Square Academy
11,Jalon Walker,ILB,SO,6-2,245,"Salisbury, NC",Salisbury
90,Tramel Walthour,DL,SR,6-3,270,"Hinesville, GA",Liberty County / Hutchinson Community College
66,Jonathan Washburn,SN,SO,6-2,230,"Ringgold, GA",Heritage
41,Len’Neth Whitehead,RB,JR,6-2,220,"Athens, GA",Athens Academy / Tennessee
13,Mykel Williams,DL,SO,6-5,265,"Columbus, GA",Hardaway
10,Tyler Williams,WR,FR,6-3,205,"Lakeland, FL",Lakeland
55,Jared Wilson,OL,SO,6-3,310,"Winston-Salem, NC",West Forsyth HS
5,Raylen Wilson,ILB,FR,6-1,225,"Tallahassee, FL",Lincoln
35,"Damon Wilson, Jr.",OLB,FR,6-4,235,"Nokomis, FL",Venice
91,Peyton Woodring,PK,FR,5-10,175,"Lafayette, LA",Ascension Episcopal
99,Jared Zirkel,PK,JR,6-3,185,"Kerrville, TX",Tivy
