No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
92,Hakeem Ajijolaiya,DL,JR,6-2,320,"Katy, TX",Tompkins HS
10,Ui Ale,QB,SO,5-11,208,"Carson, CA",Carson HS / Golden West College
26,Moses Alexander,DB,SO,6-3,195,"Galveston, TX",Ball HS / Kilgore College
48,Kamsi Arinze,LB,FR,6-1,204,"Dallas, TX",Parish Episcopal HS
96,Ivan Autenreith,DL,FR,6-2,240,"Spring, TX",Spring HS
70,Max Banes,OL,SR,6-5,309,"Houston, TX",St. Thomas HS / Akron
84,Ja’koby Banks,WR,FR,5-9,188,"Missouri City, TX",Fort Bend Marshall HS
33,Johnsley Barbas,DB,FR,5-11,182,"Atlanta, GA",Centennial HS
99,Justin Beadles,DL,SO,6-5,260,"Tyrone, GA",Sandy Creek HS / Virginia Tech
98,Justin Benton,DL,FR,6-1,290,"Atlanta, GA",Newton HS
65,Cayden Bowie,OL,FR,6-3,300,"Port Arthur, TX",Port Arthur HS
20,Antonio Brooks,DB,SR,5-11,200,"Missouri City, TX",Fort Bend Marshall HS / Kilgore College
4,Samuel Brown,WR,SO,6-2,195,"Savannah, GA",New Hampstead HS / West Virginia
82,Matt Byrnes,TE,SO,6-6,250,"Chicago, IL",De La Salle Institute / Iowa Western CC
34,Dylan Caddle,WR,FR,5-10,165,"Cypress, TX",Cypress Ranch HS
93,Jamaree Caldwell,DL,JR,6-1,325,"Newberry, SC",Newberry HS / Hutchinson CC / Indy CC
20,Brandon Campbell,RB,SO,5-10,210,"Houston, TX",Pearland HS / USC
85,Dalton Carnes,WR,FR,5-9,175,"College Station, TX",College Station HS
9,Nelson Ceaser,DL,JR,6-3,250,"Missouri City, TX",Ridge Point HS
30,Trimarcus Cheeks,LB,SR,6-2,230,"Hampton, GA",Dutchtown HS / Samford
42,Beau Clewett,DB,FR,6-1,205,"Katy, TX",Seven Lakes HS
18,Joshua Cobbs,WR,JR,6-4,204,"San Antonio, TX",Wagner HS / Wyoming
3,Lucas Coley,QB,SO,6-1,218,"Converse, TX",Cornerstone Christian HS / Arkansas
89,Logan Compton,TE,JR,6-4,245,"Tomball, TX",Tomball HS / New Mexico Military
40,Torren Coppage-El,DL,SO,6-3,235,"Stone Mountain, GA",Parkview HS / Arkansas State / Mississippi Gulf Coast CC
68,Kaleb Davis,OL,FR,6-3,305,"Arlington, TX",Mansfield Timberview HS
91,Joshua Diaz,DL,FR,6-1,260,"Houston, TX",Shadow Creek HS
32,Joseph Donatto III,WR,JR,6-2,195,"Houston, TX",Klein Forest HS / Texas College
66,Peyton Dunn,OL,JR,6-6,315,"Brandon, MS",Jackson Prep / ULM
3,Jalen Emery,DB,SO,5-9,175,"Pearland, TX",Shadow Creek HS
15,Malik Fleming,DB,SR,5-8,179,"Valdosta, GA",Hapeville Charter / East Carolina
75,Jack Freeman,OL,SR,6-3,300,"Midlothian, TX",Heritage HS
35,Dorian Friend,DB,FR,5-9,175,"Spring, TX",Spring HS
28,Anthony Gangi,WR,JR,5-10,190,"Long Island, NY",American Heritage HS (Fla.)
