No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
70,Zach Aamland,OL,FR,6-6,305,"South Brunswick, NJ",The Hun School
78,Isaiah Adams,OL,SR,6-5,320,"Ajax, Canada",McLellan Catholic / Garden City CC (Kan.)
86,Weston Adams,WR,FR,5-11,200,"Shell, WY",IMG Academy (Fla.)
9,Luke Altmyer,QB,SO,6-2,200,"Starkville, MS",Starkville / Mississippi
25,Jordan Anderson,RB,FR,6-4,245,"Naperville, IL",Joliet Catholic
84,Owen Anderson,TE,FR,6-4,245,"Skillman, NJ",The Hun School
85,Tanner Arkin,TE,SO,6-4,265,"Fort Collins, CO",Fossil Ridge / Colorado State
15,Jared Badie,OLB,FR,6-3,225,"Aurora, IL",Oswego East
7,Matthew Bailey,DB,SO,6-2,205,"Moline, IL",Moline
68,Zachary Barlev,OL,SO,6-5,305,"Bolingbrook, IL",Plainfield East
48,Bryce Barnes,DL,SR,6-2,285,"Gibson City, IL",GCMS
8,Tarique Barnes,LB,SR,6-1,230,"Memphis, TN",Cordova
83,Keion Battle,WR,SO,6-1,200,"Plainfield, IL",Oswego East / Northern Illinois
80,Hank Beatty,WR,SO,5-11,185,"Rochester, IL",Rochester
27,Matthew Bobak,RB,SO,5-11,200,"Hinsdale, IL",Hinsdale Central
88,Henry Boyer,TE,FR,6-6,270,"Chicago, IL",Brother Rice
11,Alex Bray,DL,FR,6-4,260,"Chesterfield, MO",Marquette
90,Alec Bryant,OLB,SO,6-3,245,"Pearland, TX",Shadow Creek / Virginia Tech
13,Pat Bryant,WR,JR,6-3,200,"Jacksonville, FL",Atlantic Coast
32,CJ Bufkin,DB,JR,5-11,200,"Chicago, IL",Montini Catholic / Missouri Western
21,Clayton Bush,DB,SR,6-1,210,"Bowling Green, KY",South Warren / S. Illinois/W. Kentucky
15,Alexander Capka-Jones,WR,JR,6-4,185,"Oak Park, CA",Oak Park / Moorpark College
25,Jaheim Clarke,DB,FR,6-1,170,"Ft. Myers, FL",Riverdale
44,Ben Clawson,DB,FR,6-0,210,"Arlington Heights, IL",Hersey
49,Seth Coleman,OLB,JR,6-5,245,"Melbourne, FL",Holy Trinity Episcopal Academy
72,Zy Crisler,OL,JR,6-6,335,"Crystal Springs, MS",Copiah Academy / Mississippi Gulf Coast CC
95,Dylan Davis,DL,SO,6-4,310,"Sarasota, FL",St. Stephen's Episcopal / Furman
6,Denzel Daxon,DL,SR,6-2,320,"Nassau, Bahamas",Carol City (Fla.) / Ohio
17,Collin Dixon,WR,FR,6-1,200,"Tallmadge, OH",Tallmadge
31,Declan Duley,P,FR,6-1,215,"El Paso, IL",El Paso-Gridley
23,TeRah Edwards,DL,JR,6-2,315,"Groveport, OH",Groveport Madison / Northwestern
79,Luciano Elias,OL,FR,6-5,305,"Wilmette, IL",New Trier
2,Malik Elzy,WR,FR,6-2,210,"Chicago, IL",Simeon
94,Joep Engbers,DL,FR,6-4,325,"Oak Park, IL",Fenwick
93,Henry Engel,DL,FR,6-2,265,"Lena, IL",Lena-Winslow
22,Jean-Marc Etienne,RB,JR,5-11,190,"Lincolnshire, IL",Stevenson
52,Pat Farrell,OLB,FR,6-5,265,"Oak Lawn, IL",St. Rita
3,Kaden Feagin,RB,FR,6-3,250,"Atwood, IL",ALAH
24,Nick Fedanzo,RB,JR,6-0,220,"Lombard, IL",Montini Catholic
16,Prince Ford,DB,JR,5-11,170,"Concord, NC",Cox Mill / Golden West College (Calif.)
73,Josh Gesky,OL,SO,6-5,325,"Manteno, IL",Manteno
5,Caleb Griffin,K,SR,6-3,220,"Danville, IL",Danville
35,Grayson Griffin,DB,SO,5-11,190,"Aurora, IL",St. Francis
29,TJ Griffin,DB,FR,6-0,205,"Hickory Hills, IL",Amos Alonzo Stagg
82,Nate Guinn,TE,FR,6-6,240,"Vero Beach, FL",Vero Beach
53,Devin Hale,OL,SO,6-0,300,"Springfield, IL",Sacred Heart-Griffin
39,Aidan Hall,LS,JR,6-2,210,"Glen Ellyn, IL",Benet Academy
36,Lane Hansen,LS,SO,6-0,220,"East Lake, FL",East Lake
0,Nicario Harper,DB,SR,6-0,205,"Atlanta, GA",Carver / Jacksonville State / Louisville
30,Jojo Hayden,LB,FR,6-2,225,"East St. Louis, IL",East St. Louis
75,Brandon Henderson,OL,FR,6-5,335,"East St. Louis, IL",East St. Louis
1,Demetrius Hill,DB,SO,6-2,205,"Miami, FL",Miami Springs / FIU
6,Ashton Hollins,WR,FR,6-5,190,"Lucedale, MS",George County
33,Ezekiel Holmes,OLB,SR,6-5,255,"Wichita Falls, TX",Hirschi
45,Malachi Hood,LB,FR,6-2,230,"Plainfield, IL",Joliet Catholic
11,Jacob Huber,QB,SO,6-1,200,"Spring Grove, IL",Richmond-Burton
17,Gabe Jacas,OLB,SO,6-3,265,"Port St. Lucie, FL",Fort Pierce Central
2,Saboor Karriem,DB,FR,6-3,195,"West Orange, NJ",West Orange
57,Evan Kirts,DL,JR,6-5,305,"Evergreen Park, IL",Brother Rice
41,James Kreutz,LB,FR,6-0,225,"Bannockburn, IL",Loyola Academy
64,Josh Kreutz,OL,SO,6-2,290,"Bannockburn, IL",Loyola Academy
21,Aidan Laughery,RB,FR,5-11,200,"Gibson City, IL",GCMS
10,Donovan Leary,QB,FR,6-2,205,"Sicklerville, NJ",Timber Creek
76,Clayton Leonard,OL,FR,6-4,290,"Danforth, IL",Iroquois West
67,Will Leys,OL,SO,6-2,285,"Irvine, CA",Servite / Saddleback College
99,Christian Lorenzo,DL,FR,6-3,275,"Baton Rouge, LA",DeKalb (Ill.)
23,Reggie Love III,RB,JR,5-11,205,"St. Louis, MO",Trinity Catholic
52,Patrick Mahoney III,LS,FR,6-2,215,"Northbrook, IL",Glenbrook North
26,Mike Manning,DB,JR,5-8,200,"Frankfort, IL",Lincoln-Way East / Butler
12,Elijah Mc-Cantos,DB,FR,6-0,185,"Miami, FL",Edison
87,Tyler McClure,WR,SO,6-2,205,"Champaign, IL",Centennial / Kaskaskia College
55,Sed McConnell,DL,SO,6-3,285,"Atlanta, GA",Westlake
0,Josh McCray,RB,SO,6-1,235,"Enterprise, AL",Enterprise
42,Alex McLaughlin,LS,SO,5-10,220,"Weddington, NC",Weddington / North Carolina State
55,TJ McMillen,OL,FR,6-3,295,"Naperville, IL",St. Francis
34,Ryan Meed,LB,JR,6-1,230,"Brooklyn, NY",Canarsie
12,Kirkland Michaux,QB,SO,6-4,225,"Austin, TX",Westlake / Blinn JC
18,Chase Miller,WR,FR,6-1,190,"Baltimore, MD",IMG Academy (Fla.)
8,Shawn Miller,WR,FR,6-1,200,"Chandler, AZ",IMG Academy (Fla.)
81,Griffin Moore,TE,JR,6-4,250,"Bloomington, IL",Bloomington
18,Mason Muragin,DL,FR,6-4,245,"Macomb, MI",De La Salle
56,Magnus Møller,OL,FR,6-9,310,"Vejle, Denmark",Rødkilde Gymnasium
4,Jer'Zhan Newton,DT,JR,6-2,295,"St. Petersburg, FL",Clearwater Central Catholic
3,Tahveon Nicholson,DB,JR,5-11,180,"Jacksonville, FL",Riverside
39,Kenenna Odeluga,LB,SO,6-1,240,"South Holland, IL",Mount Carmel
65,Joey Okla,OL,FR,6-2,320,"Hartland, WI",Arrowhead
24,David Olano,K,FR,5-11,170,"Naperville, IL",Naperville North
4,John Paddock,QB,SR,6-0,190,"Bloomfield Hills, MI",Bloomfield Hills / Ball State
22,Kaleb Patterson,DB,SO,6-1,190,"Jackson, MS",Terry / Pearl River CC
54,Julian Pearl,OL,SR,6-6,315,"Danville, IL",Danville
98,Fabrizio Pinton,K,SO,6-3,230,"Houston, TX",The Woodlands / Air Force
40,Ronan Poynton,LB,FR,6-2,225,"Solon, IA",Regina
19,Eian Pugh,WR,FR,6-3,175,"Naperville, IL",Fenwick
88,Keith Randolph Jr.,DT,JR,6-5,300,"Belleville, IL",Belleville West
46,Corey Rashad,DB,FR,5-8,175,"Chicago, IL",Marist
89,Tip Reiman,TE,JR,6-5,270,"Rapid City, SD",O'Gorman
47,Mac Resetich,DB,FR,6-0,200,"Spring Valley, IL",Spring Valley Hall
19,Hugh Robertson,P,SO,6-2,225,"Melbourne, Australia",Assumption College Kilmore
9,Tyson Rooks,DB,FR,6-4,195,"St. Simons Island, GA",Glynn Academy
28,Dylan Rosiek,LB,SO,6-1,230,"East Lake, FL",East Lake
38,Johnny Schmitt,DB,FR,6-0,200,"Chicago, IL",St. Rita
36,Ben Schultz,TE,JR,6-3,240,"Champaign, IL",Central
63,Dezmond Schuster,OL,SO,6-5,345,"Gonzales, LA",East Ascension / Hutchinson CC (Kan.)
10,Miles Scott,DB,SO,5-11,210,"Dolton, IL",St. Thomas More
14,Xavier Scott,DB,SO,5-11,190,"Riviera Beach, FL",Dwyer
66,Jordyn Slaughter,OL,SR,6-5,325,"Belleville, IL",Althoff Catholic
13,Calvin Smith,OLB,FR,6-4,230,"Ocoee, FL",Ocoee
20,Tyler Strain,DB,SO,5-9,190,"Pace, FL",Pace
16,Cal Swanson,QB,FR,6-3,195,"Ardmore, OK",Ardmore
5,Zachary Tobe,DB,FR,6-2,190,"Ocoee, FL",Ocoee
43,Nick True,LB,FR,6-5,230,"Chicago, IL",Jacobs
62,Sam Tsagalis,OL,FR,6-2,285,"Arlington Heights, IL",Prospect
37,Solo Turner,DB,SR,6-2,215,"Frisco, TX",Prestonwood Christian / Hawaii
56,Jeremiah Warren,DL,FR,6-3,305,"Belleville, MI",Belleville
14,Casey Washington,WR,SR,6-2,200,"Round Rock, TX",Pflugerville
71,Hunter Whitenack,OL,SO,6-7,350,"New Carlisle, IN",New Prairie
7,Kenari Wilcher,WR,FR,6-0,185,"Clewiston, FL",Moore Haven
1,Isaiah Williams,WR,JR,5-10,185,"St. Louis, MO",Trinity Catholic
42,Luke Zardzin,LB,SO,6-0,225,"Mount Prospect, IL",Prospect
