No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
52,Clayton Allen,LB,FR,6-1,180,"Fishers, IN",Hamilton Southeastern
82,Bradley Archer,TE,SR,6-3,245,"Livemore, CA",Livemore / Stanford
73,Austin Barrett,OL,FR,6-6,290,"St. Charles, IL",St. Charles East
76,Matthew Bedford,OL,SR,6-6,305,"Memphis, TN",Cordova
29,Reece Bellin,WR,FR,6-0,200,"Carmel, IN",Carmel
67,Kahlil Benson,OL,JR,6-6,310,"Southaven, MS",Southaven
69,Carl Biddings IV,DL,FR,6-0,295,"East Chicago, IN",Center Grove / Louisville
96,Philip Blidi,DL,SR,6-3,295,"Trenton, NJ",Portales (N.M.) / Texas Tech
80,Derrick Bohler,WR,FR,6-1,195,"Miami, FL",Miami Palmetto
66,Noah Bolticoff,OL,SO,6-5,300,"Rose Hill, KS",Rose Hill / TCU
48,James Bomba,TE,SO,6-6,250,"Bloomington, IN",Bloomington South / Miami (Ohio)
24,Bryson Bonds,DB,JR,6-1,200,"Fort Worth, TX",Crowley
28,Jaz Boykin,DB,FR,6-0,180,"Fishers, IN",Fishers
61,Garrett Brown,OL,FR,6-4,315,"Southlake, TX",Southlake Carroll
92,Marcus Burris Jr.,DL,SO,6-4,290,"Texarkana, TX",Pleasant Grove / Texas A&M
6,Cam Camper,WR,SR,6-2,195,"Lancaster, TX",Lancaster / Trinity Valley C.C.
58,Aden Cannon,DL,FR,6-5,260,"Carmel, IN",Guerin Catholic
50,Zach Carpenter,OL,SR,6-5,295,"Cincinnati, OH",Archbishop Moeller / Michigan
41,Lanell Carr Jr.,OLB,SR,6-1,240,"St. Louis, MO",De Smet Jesuit / West Virginia
1,Andre Carter,DL,SR,6-5,270,"Detroit, MI",Cass Tech / Western Michigan
4,DeQuece Carter,WR,SR,6-0,200,"Louisa, VA",Woodberry Forest School / Fordham
44,Aaron Casey,LB,SR,6-2,235,"Douglasville, GA",Alexander
8,Jared Casey,LB,SR,6-3,225,"Louisville, KY",Ballard / Kentucky
31,Anthony Chung,DB,FR,6-1,185,"Mequon, WI",Homestead
0,Andison Coby,WR,JR,6-2,175,"Fort Lauderdale, FL",American Heritage / Tennessee
49,Ta'Derius Collins,DL,FR,6-4,235,"Shreveport, LA",Northwood
36,Clay Conner,DB,FR,6-3,205,"Boonville, IN",Boonville
3,Omar Cooper Jr.,WR,FR,6-1,195,"Indianapolis, IN",Lawrence North
91,LeDarrius Cox,DL,SR,6-4,305,"Mobile, AL",McGill-Toolen / Ole Miss
6,Phillip Dunnam,DB,SO,6-1,190,"Miami, FL",North Miami Beach
62,Drew Evans,OL,FR,6-4,300,"Fort Atkinson, WI",Fort Atkinson / Wisconsin
94,James Evans,P,JR,6-1,220,"Auckland, New Zealand",Sacred Heart College Auckland
30,Mitchell Evans,DB,FR,5-11,195,"Greenwood, IN",Center Grove
25,Amare Ferrell,DB,FR,6-2,210,"Lake City, FL",Columbia
53,Vincent Fiacable,OL,SO,6-4,305,"Fort Wayne, IN",Bishop Dwenger
