No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Oluwafunto Akinshilo,OL,SO,6-5,335,"Lagos, Nigeria",Leuzinger / El Camino CC
96,Chet Andrews,DE,FR,6-3,250,"Huntley, IL",Huntley
44,Wyatt Archer,DB,FR,5-10,180,"Omaha, NE",Skutt
50,Caleb Bacon,LB,SO,6-3,240,"Lake Mills, IA",Lake Mills
41,Rylan Barnes,LB,FR,6-3,215,"Britt, IA",West Hancock
3,Rocco Becht,QB,FR,6-1,205,"Wesley Chapel, FL",Wiregrass
27,Vince Benetti,DE,FR,6-4,250,"Adel, IA",ADM
85,Aidan Bitter,WR,JR,6-2,200,"Tampa, FL",Steinbrenner
48,Jack Bjorn,TE,FR,6-7,270,"Parkville, MO",Park Hill South
51,Brendan Black,OL,FR,6-4,315,"Yulee, FL",The Bolles School
17,Kai Black,WR,FR,6-3,225,"Urbandale, IA",Urbandale
16,Wyatt Bohm,QB,FR,6-4,230,"Mahomet, IL",Mahomet-Seymour
63,Jim Bonifas,OL,SO,6-5,310,"Dubuque, IA",Senior
18,Benjamin Brahmer,TE,FR,6-7,240,"Pierce, NE",Pierce
32,Carson Brown,WR,FR,6-1,185,"Ankeny, IA",Dowling Catholic
70,Trevor Buhr,OL,FR,6-4,300,"Washington, MO",Washington
84,Gabe Burkle,TE,FR,6-5,260,"Cedar Rapids, IA",Prairie
54,David Caulker,DE,FR,6-4,255,"Des Moines, IA",Des Moines North
89,Tyler Claiborne,WR,FR,6-2,210,"Lenexa, KS",St. James Academy
43,Tucker Clark,TE,FR,6-6,225,"Center Point, IA",Center Point-Urbana
19,Chase Contreraz,PK,SR,6-1,195,"Missouri Valley, IA",Missouri Valley / Iowa Western CC / Nebraska
45,Alec Cook,LB,FR,6-3,235,"Omaha, NE",Burke
4,Jeremiah Cooper,DB,SO,6-0,185,"El Paso, TX",Andress
20,Terrell Crosby Jr.,DB,FR,5-11,185,"St. Petersburg, FL",Lakewood
55,Anthony Cunningham Jr.,DE,FR,6-4,320,"Belleville, IL",Belleville East
16,Norris Davis Jr.,DB,FR,6-3,180,"Tampa, FL",Tampa Bay Tech
87,Easton Dean,TE,SR,6-6,265,"Oswego, KS",Labette County
37,Mason DouBrava,DB,SO,5-10,180,"West Des Moines, IA",Valley
34,Blaze Doxzon,RB,JR,5-9,215,"Omaha, NE",Elkhorn South
47,Kooper Ebel,LB,FR,6-4,225,"Hartley, IA",Hartley-Melvin-Sanborn
77,Easton Eledge,OL,FR,6-3,310,"Underwood, IA",Underwood
44,Jacob Ellis,LB,SO,6-1,225,"Roseville, CA",Granite Bay / Iowa Western CC
11,Jason Essex,WR,FR,6-2,215,"Kansas City, MO",Winnetonka
88,Ikenna Ezeogu,DE,FR,6-5,260,"Blue Springs, MO",Blue Springs
17,Beau Freyler,DB,JR,6-2,220,"Colorado Springs, CO",Pine Creek
8,Greg Gaines III,WR,FR,6-2,205,"Tampa, FL",Tampa Bay Tech
48,Cole Garwood,LB,FR,6-3,225,"Urbandale, IA",Urbandale
20,Jace Gilbert,PK,SO,5-10,210,"Marlow, OK",Marlow
49,Kade Gilbertson,LB,FR,6-1,215,"Rosemount, MN",Rosemount
60,Aidan Gilmore,OL,FR,6-5,315,"Dallas, TX",Parish Episcopal
71,Gabe Greenlee,OL,FR,6-7,300,"Ames, IA",Ames
48,Tommy Hamann,DL,FR,6-4,255,"Minneapolis, MN",Wayzata
94,Xavier Hamilton,DL,FR,6-2,290,"Bettendorf, IA",Bettendorf
26,Carson Hansen,RB,FR,6-2,210,"Lakeville, MN",Lakeville South
33,Arlen Harris Jr.,RB,FR,5-11,215,"Wentzville, MO",Lutheran St. Charles / Stanford
79,Deylin Hasert,OL,FR,6-4,315,"Marshall, MN",Marshall
53,Zaimir Hawk,DL,FR,6-3,300,"Hillside, NJ",Hillside
59,Jack Hester,OL,JR,6-4,280,"Bettendorf, IA",Bettendorf
9,Jayden Higgins,WR,JR,6-4,210,"South Miami, FL",Westminster Christian / Eastern Kentucky
25,Trevon Howard,DB,FR,6-1,210,"St. Paul, MN",IMG Academy (Fla.)
54,Jarrod Hufford,OL,SR,6-5,325,"Newark, OH",Licking Valley
7,Tanner Hughes,QB,JR,6-5,240,"Chico, CA",Pleasant Valley / Butte College
38,Levi Hummel,RB,SR,5-11,215,"Des Moines, IA",Dowling Catholic
12,Jacob Imming,LB,FR,6-2,230,"Sergeant Bluff, IA",Sergeant Bluff-Luton
16,Daniel Jackson,WR,JR,6-2,210,"Cibolo, TX",Steele
19,Ta’Shawn James,DB,FR,6-1,200,"Oklahoma City, OK",Carl Albert
34,JJ Jean-Louis,LB,FR,6-2,225,"Centerville, OH",Centerville
89,Trent Jones II,DE,SO,6-3,285,"Eden Prairie, MN",Eden Prairie
86,Andrew Keller,TE,FR,6-6,240,"Waunakee, WI",Waunakee
42,John Klosterman,LB,FR,5-11,230,"Iowa City, IA",City
49,Stevo Klotz,TE,JR,6-4,260,"Chaska, MN",Chaska
57,Drake Knobloch,LS,FR,6-2,245,"Winterset, IA",Winterset
35,Caden Kock,DB,FR,6-0,215,"Carroll, IA",Carroll
10,JJ Kohl,QB,FR,6-7,250,"Ankeny, IA",Ankeny
97,Kyle Konrardy,PK,FR,6-1,190,"Dubuque, IA",Dubuque Senior
53,Evan Ladwig,OL,SO,6-4,310,"Cascade, WI",Plymouth
78,Nick Lawler,OL,JR,6-3,325,"Clare, IA",Ft. Dodge St. Edmond
38,Eddie Lemos,DB,FR,5-10,190,"Loveland, CO",Resurrection Christian
0,Zachary Lovett,LB,SO,6-2,245,"Melbourne, FL",Rockledge / Missouri
60,Jacob Lyftogt,LS,FR,5-11,240,"Waunakee, WI",Waunakee
50,Tyler Maro,OL,SO,6-7,300,"Davenport, IA",Assumption
46,Carston Marshall,LB,SO,6-2,225,"Kennesaw, GA",Wadsworth (Ohio)
43,Caden Matson,DB,FR,6-0,205,"Humboldt, IA",Humboldt
24,Treyveon McGee,DB,JR,6-2,205,"Detroit, MI",Ypsilanti / Independence CC
23,Will McLaughlin,LB,SO,6-4,230,"Defiance, IA",Harlan
