No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
83,Erick All,TE,SR,6-5,250,"Fairfield, OH",Fairfield / Michigan
90,Brian Allen,DE,FR,6-4,265,"Lake in the Hills, IL",St. Thomas More HS (Conn.)
6,Seth Anderson,WR,SO,6-0,180,"Suwanee, GA",North Gwinnett / Charleston Southern
15,Amare Bickham,DB,FR,6-0,170,"Fulshear, TX",Fulshear
94,Yahya Black,DL,JR,6-5,315,"Marshall, MN",Marshall
56,Maddux Borcherding-Johnson,DL,FR,6-2,288,"Norwalk, IA",Norwalk
7,Jacob Bostick,WR,FR,6-2,183,"Palatine, IL",Palatine
86,Jeff Bowie,DL,SO,6-5,274,"West Branch, IA",West Branch
91,Chase Brackney,DL,FR,6-4,285,"Greenwood Village, CO",Cherry Creek
3,Kaleb Brown,WR,SO,5-10,197,"Chicago, IL",St. Rita / Ohio State
84,Jarriett Buie,WR,FR,6-1,185,"Tampa., FL",Jesuit
29,Sebastian Castro,DB,SR,5-11,205,"Oak Lawn, IL",Richards
66,Jeremy Chaplin,OL,SO,6-2,280,"Waverly, IA",Waverly-Shell Rock
77,Connor Colby,OL,JR,6-6,311,"Cedar Rapids, IA",Kennedy
45,Deontae Craig,DL,JR,6-3,266,"Fort Wayne, IN",Culver Academies
97,Caden Crawford,DL,FR,6-4,263,"Lansing, KS",Lansing
5,Teegan Davis,DB,FR,6-0,160,"Princeton, IL",Princeton
3,Cooper DeJean,DB,JR,6-1,207,"Odebolt, IA",OA-BCIG
56,Nick DeJong,OL,SR,6-6,305,"Pella, IA",Pella
31,Nolan DeLong,LB,FR,6-0,210,"Durant, IA",Durant
17,Brenden Deasfernandes,DB,JR,6-0,195,"Belleville, MI",Belleville
93,Anu Dokun,DE,JR,6-3,245,"Iowa City, IA",West
71,Jack Dotzler,OL,FR,6-6,295,"Waunakee, WI",Waunakee
67,Gennings Dunker,OL,SO,6-5,320,"Lena, IL",Lena-Winslow
17,Alex Eichmann,WR,FR,6-2,207,"Sussex, WI",Hamilton-Sussex
39,Luke Elkin,LS,JR,6-1,230,"Neenah, WI",Neenah
76,Tyler Elsbury,OL,JR,6-5,312,"Byron, IL",Byron
4,Koen Entringer,DB,FR,6-0,211,"Ypsilanti, MI",Walled Lake Western
39,Eric Epenesa,LB,SO,6-3,206,"Glen Carbon, IL",Edwardsville
13,Joe Evans,DE,SR,6-2,252,"Ames, IA",Ames
38,Greg Fagan,LB,FR,6-3,214,"Council Bluffs, IA",St. Albert
52,Asher Fahey,OL,JR,6-5,300,"Waukon, IA",Waukon
60,Rusty Feth,OL,SR,6-3,310,"Colerain, OH","Colerain / Miami, Ohio"
37,Kyler Fisher,LB,SR,5-11,233,"Farnhamville, IA",SE Valley
16,Graham Friedrichsen,WR,FR,6-1,200,"Urbandale, IA",Urbandale
51,Luke Gaffney,DL,FR,6-2,270,"Robins, IA",Linn-Mar
95,Aaron Graves,DL,SO,6-4,293,"Dayton, IA",Southeast Valley
28,Aidan Hall,LB,FR,6-0,200,"Harlan, IA",Harlan
2,TJ Hall,DB,SO,6-1,185,"Fresno, CA",San Joaquin Memorial
41,Jaden Harrell,LB,SO,6-2,237,"Urbandale, IA",Urbandale
27,Jermari Harris,DB,JR,6-1,190,"Chicago, IL",Montini Catholic
16,Jamison Heinz,DB,JR,6-0,199,"Humboldt, IA",Humboldt
34,Jay Higgins,LB,SR,6-2,233,"Indianapolis, IN",Brebeuf Jesuit Prep
10,Deacon Hill,QB,SO,6-3,258,"Santa Barbara, CA",Santa Barbara / Wisconsin
20,Deavin Hilson,DB,SO,6-1,197,"Des Moines, IA",North
20,Dayton Howard,WR,FR,6-4,195,"Kansas City, MO",Park Hill
57,Will Hubert,DL,FR,6-3,270,"Omaha, NE",Papillion-La Vista
49,Ethan Hurkett,DL,JR,6-3,260,"Cedar Rapids, IA",Xavier
10,Nick Jackson,LB,SR,6-0,237,"Atlanta, GA",The Lovett School / Virginia
2,Kaleb Johnson,RB,SO,6-0,222,"Hamilton, OH",Hamilton
64,Leighton Jones,OL,FR,6-2,290,"Brownsburg, IN",Brownsburg
65,Logan Jones,OL,JR,6-3,290,"Council Bluffs, IA",Lewis Central
26,Kael Kolarik,DB,FR,6-0,210,"Indianola, IA",Indianola
87,Andrew Kraus,DL,FR,6-4,254,"Barrington, IL",Barrington
72,Kale Krogh,OL,FR,6-5,300,"Huxley, IA",Ballard
32,Ben Kueter,LB,FR,6-3,220,"Iowa City, IA",Iowa City
85,Luke Lachey,TE,JR,6-6,253,"Columbus, OH",Grandview
11,Marco Lainez,QB,FR,6-2,225,"Princeton, NJ",The Hun School
88,Hayden Large,FB,SR,6-5,250,"Hudsonville, MI",Unity Christian / Dordt College
74,Trevor Lauck,OL,FR,6-5,296,"Indianapolis, IN",Roncalli
47,Jack Laughlin,LB,FR,6-1,208,"Carlisle, IA",Carlisle
8,Deshaun Lee,DB,FR,5-10,187,"Belleville, MI",Belleville
85,Logan Lee,DL,SR,6-5,291,"Orion, IL",Orion
44,Grant Leeper,TE,FR,6-5,230,"Fort Wayne, IN",Homestead
49,Andrew Lentsch,TE,SO,6-4,252,"West Des Moines, IA",Dowling Catholic
75,Cannon Leonard,OL,FR,6-8,290,"Danforth, IL",Iroquois West
59,Griffin Liddle,OL,SO,6-3,295,"Bettendorf, IA",Bettendorf
48,Max Llewellyn,DL,SO,6-5,264,"Urbandale, IA",Urbandale
6,Zach Lutmer,DB,FR,6-0,192,"Rock Rapids, IA",Central Lyon/GLR
29,Judah Mallette,WR,FR,5-11,178,"Chicago, IL",Hope Academy
21,Watts McBride,DB,FR,6-0,196,"Cedar Rapids, IA",Washington
26,Aidan McDermott,WR,FR,6-1,192,"Cedar Rapids, IA",Xavier
12,Cade McNamara,QB,SR,6-1,205,"Reno, NV",Damonte Ranch / Michigan
92,Marshall Meeder,K,SR,5-10,191,"Eaton Rapids, MI",Eaton Rapids / Central Michigan
44,Kenneth Merrieweather,DL,FR,6-3,227,"Detroit, MI",M.L. King
