No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
15,Jibreel Al-Amin,LB,FR,6-3,210,"Woodbridge, VA",-
27,Austin Ambush,SAF,JR,6-3,205,"Gaithersburg, MD",-
71,K.D. Arnold,OL,FR,6-7,335,"Atmore, AL",Escambia County
29,Cade Backe,P,SO,6-0,183,"Crystal Lake, IL",-
2,Marco Baker,CB,JR,6-1,190,"Terry, MS",-
99,Devin Baldwin,DL,JR,6-4,270,"Detroit, MI",-
19,Pearson Baldwin,TE,FR,6-2,215,"Springville, AL",-
81,Jacob Barrick,TE,SO,6-3,230,"Martinsburg, WV",-
67,Xavier Bausley,OL,FR,6-5,315,"Dunbar, WV",-
27,La'Derrick Bell,WR,JR,6-2,206,"Anniston, AL",-
30,Anthony Benjamin,WR,FR,5-10,160,"Fort Myers, FL",-
28,Reggion Bennett,RB,FR,5-9,175,"Hartsville, SC",-
59,Judson Billings,OL,FR,6-4,285,"Anniston, AL",-
48,Jaleel Birdsong,LB,FR,6-3,225,"Chattanooga, TN",-
9,Jarod Bowie,WR,SO,5-9,160,"Martinsburg, WV",-
75,Joel Brown,OL,FR,6-2,290,"Pinson, AL",-
17,Sean Brown,TE,JR,6-5,250,"Rome, GA",-
69,Treylen Brown,OL,SR,6-3,310,"Spartanburg, SC",-
34,Jalen Bustamante,NIC,JR,6-1,210,"Alabaster, AL",-
83,Will Caneer,BAN,FR,6-3,240,"Arab, AL",-
13,Derek Carter,CB,SO,5-11,182,"Birmingham, AL",-
14,Perry Carter,WR,SR,5-10,175,"Houston, TX",-
39,Keith Christein,SAF,FR,5-10,170,"Hoover, AL",-
95,Keyon Clark,DE,SO,6-3,260,"Tampa, FL",-
22,Travis Collier,CB,SO,6-1,200,"Atlanta, GA",-
46,Nick Covington,CB,FR,6-1,198,"Opelika, AL",-
12,Caden Creel,QB,FR,6-0,200,"Fairhope, AL",Fairhope
80,Logan Curry,WR,FR,6-1,175,"Cumming, GA",-
87,Jack Dawson,P,JR,6-3,190,"Sylvania Waters, Australia",-
28,Dajwon DeLoach,LB,FR,6-2,220,"Columbus, GA",Northside
10,Quae Drake,LB,SR,6-1,225,"Wadley, AL",-
49,Kam Edge,WR,FR,6-3,215,"Carrollton, GA",-
22,J'Wan Evans,RB,JR,5-11,195,"Philadelphia, PA",-
87,Aghogho Eyafe,WR,JR,5-11,175,"Andover, MN",-
55,Tae Floyd,BAN,FR,6-3,230,"Ocala, FL",West Port
20,"Travis Franklin, Jr.",SAF,FR,5-11,185,"Riverdale, GA",Sandy Creek
15,Ashton Frye,QB,FR,6-4,195,"Springville, AL",-
45,Cole Fuller,TE,SO,6-3,240,"Gardendale, AL",-
23,Kolbi Fuqua,NIC,SR,6-3,220,"Cordova, AL",-
1,Sterling Galban,WR,JR,5-11,180,"Burnet, TX",-
39,Ty Gilbert,WR,FR,6-1,180,"Ringgold, GA",-
5,Yessman Green,CB,JR,6-2,190,"Mobile, AL",-
60,Cameron Griffin,OL,FR,6-4,300,"Selma, AL",Pinson Valley
79,Tom Hadary,OL,FR,6-11,353,"Yehud, Israel",-
16,Laletia Hale,LB,JR,6-0,215,"Montgomery, AL",-
91,Chris Hardie,DL,JR,6-2,270,"Vincent, AL",-
54,Daveion Harley,OL,FR,6-2,305,"Havana, FL",Gadsden County
24,Brad Harper,LB,FR,6-1,210,"Auburn, AL",-
14,Jeremiah Harris,SAF,SR,5-10,195,"Shorterville, AL",-
50,Caleb Hill,OL,FR,6-1,280,"Huntsville, AL",-
53,Luke Hogan,LS,SO,6-0,225,"Ardmore, AL",-
50,Javarius Hoskins,DE,JR,6-4,250,"Tuscaloosa, AL",-
89,Javius Hudgins,DL,FR,6-3,243,"Boaz, AL",-
5,Malik Jackson,RB,SR,5-10,185,"Lufkin, TX",-
0,Jamari Jemison,CB,JR,5-10,175,"Birmingham, AL",-
11,Jamarye Joiner,WR,SR,6-1,205,"Tucson, AZ",-
4,Jayson Jones,WR,SO,5-10,170,"Birmingham, AL",-
47,Alen Karajic,K,JR,6-5,220,"Chattanooga, TN",-
6,Carter Lambert,QB,FR,6-0,175,"Boaz, AL",-
86,Quinton Lane,WR,SR,6-3,210,"Tampa, FL",-
94,Jumarion Larry,DE,FR,6-4,250,"Hazlehurst, MS",-
8,Geimere Latimer,CB,FR,5-10,182,"Fairburn, GA",Sandy Creek
76,Marvin Lee,OL,FR,6-6,310,"Huntsville, AL",-
25,Anwar Lewis,RB,JR,5-8,190,"Pensacola, FL",-
92,Jackson Luttrell,DL,SR,6-3,280,"Rainbow City, AL",-
4,Jabari Mack,CB,SO,6-1,185,"Jacksonville, FL",-
57,Jeff Marks,DL,SR,6-3,280,"Mobile, AL",-
17,Cai Mayowa,SAF,FR,6-2,200,"Hoover, AL",-
88,Jordan McCants,WR,FR,5-11,173,"Birmingham, AL",-
32,Micah McCarroll,CB,FR,5-9,150,"Birmingham, AL",-
21,Ky'won McCray,SAF,JR,6-5,205,"Baltimore, MD",-
