No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
55,Ronald Altman,OL,JR,6-3,291,"Springfield, VA",Lake Braddock Secondary / Air Force Prep
11,Billy Atkins,QB,SO,6-2,207,"Parkton, MD",Mount St. Joseph
23,Brent Austin,CB,SO,5-11,174,"San Bernardino, CA",Cajon
6,Julio Ayamel,LB,JR,6-0,222,"Gaithersburg, MD",Good Counsel
29,Ke'Marion Baldwin,RB,FR,5-9,208,"St. Pauls, NC",St. Pauls
42,Carter Banks,DL,FR,6-3,220,"Lynchburg, VA",Heritage
32,DJ Barksdale,S,FR,5-9,180,"Rock Hill, SC",South Pointe
37,Blake Barnes,WR,SO,6-4,205,"Virginia Beach, VA",Kellam
14,Alonza Barnett III,QB,FR,6-0,203,"Whitsett, NC",Grimsley
35,Jahquil Batts,S,SO,6-0,200,"Montclair, NJ",Don Bosco Prep / Jireh Prep
39,Payne Bauer,DL,SO,6-2,234,"Stephens City, VA",Sherando
6,Kaelon Black,RB,SO,5-10,210,"Virginia Beach, VA",Salem
31,Antoine Booth,CB,SO,5-11,173,"Jessup, MD",DeMatha Catholic / Michigan State
62,Wesley Bostic,OL,FR,6-3,316,"Prince George, VA",Prince George
69,Breon Brown,OL,FR,6-3,296,"Richmond, VA",Varina
1,Reggie Brown,WR,SR,6-1,195,"Lakeland, FL",Kathleen
55,Immanuel Bush,DL,SO,6-1,302,"Lancaster, SC",Lancaster / Marshall
48,Greyson Cadd,DL,FR,6-1,246,"Charlotte, NC",Charlotte Christian / Palmetto Prep
99,James Carpenter,DL,JR,6-2,282,"Roanoke, VA",Roanoke Catholic
86,Collin Carroll,TE,FR,6-3,235,"Stafford, VA",Mountain View
43,Matthew Channell,LB,FR,6-1,223,"Chesterfield, VA",Cosby
34,Chris Chukwuneke,S,SR,5-11,193,"Edison, NJ",St. John Vianney / The Peddie School
26,Devyn Coles,CB,SR,5-9,190,"Highland Springs, VA",Highland Springs / Norfolk State
70,Brett Davis,OL,SO,6-3,296,"Ashburn, VA",Stone Bridge
92,Darold DeNgohe,DL,FR,6-2,285,"Philadelphia, PA",La Salle College
9,Omarion Dollison,WR,JR,5-9,182,"Columbia, SC",Gray Collegiate Academy / USF
