No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
47,Aristotle Abraham II,S,SO,5-11,190,"Mansfield, TX",Lake Ridge HS
71,Tyree Adams,OL,FR,6-7,300,"Marrero, LA",St. Augustine HS
24,Zy Alexander,CB,JR,6-2,188,"Loreauville, LA",Loreauville HS / Southeastern Louisiana
6,Jordan Allen,S,FR,5-11,196,"Lafayette, LA",Lafayette Christian Academy
1,Aaron Anderson,WR,FR,5-8,190,"New Orleans, LA",Edna Karr HS
75,Braden Augustus,OL,FR,6-2,298,"Baton Rouge, LA",The Dunham School
38,Darian Blount,CB,FR,6-3,170,"New Orleans, LA",Holy Cross HS
42,Lane Blue,DE,SO,6-0,260,"Chatham, LA",Neville HS
67,Bo Bordelon,OL,FR,6-6,310,"Raceland, LA",Isidore Newman School
32,Tre Bradford,RB,SO,6-0,208,"Dallas, TX",Lancaster HS
19,Jay Bramblett,P,SR,6-2,205,"Tuscaloosa, AL",Hillcrest HS / Notre Dame
44,Christian Brathwaite,LB,FR,6-1,217,"Cypress, TX",Cypress Ranch HS
3,"Greg Brooks, Jr.",S,SR,5-10,187,"Harvey, LA",West Jefferson HS / Arkansas
14,Jalen Brown,WR,FR,6-1,178,"Miami, FL",Gulliver Prep School
8,Major Burns,S,JR,6-2,193,"Baton Rouge, LA",Madison Prep Academy / Georgia
21,Noah Cain,RB,SR,5-11,220,"Baton Rouge, LA",IMG Academy / Penn State
66,Will Campbell,OL,SO,6-6,325,"Monroe, LA",Neville HS
97,Dylan Carpenter,DE,FR,6-4,248,"St. Amant, LA",St. Amant HS
79,DJ Chester,OL,FR,6-6,320,"Conyers, GA",Eagle's Landing Christian Academy
22,Duce Chestnut,CB,JR,5-11,205,"Camden, NJ",Camden HS / Syracuse
80,"Gregory Clayton, Jr.",WR,SR,5-11,193,"Lutcher, LA",Lutcher HS / UTSA
10,Rickie Collins,QB,FR,6-2,200,"Baton Rouge, LA",Woodlawn HS
36,Aidan Corbello,PK,FR,5-8,176,"New Orleans, LA",Jesuit HS
5,Jayden Daniels,QB,SR,6-4,210,"San Bernardino, CA",Cajon HS / Arizona State
45,Jake Davis,LS,FR,6-1,215,"Austin, TX",Westwood HS
72,Garrett Dellinger,OL,JR,6-5,325,"Clarkston, MI",Clarkston HS
31,Nathan Dibert,PK,SO,5-11,216,"Hartland, MI",Hartland HS
3,Logan Diggs,RB,JR,6-1,215,"Boutte, LA",Archbishop Rummel HS / Notre Dame
4,"John Emery, Jr.",RB,SR,6-0,224,"St. Rose, LA",Destrehan HS
49,Jonathan Ferguson,LS,SO,6-2,227,"Sacramento, CA",Davis Senior HS
