No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
1,Cyrus Allen,WR,SO,6-0,177,"New Orleans, LA",Landry-Walker HS
77,Keystone Allison,OL,FR,6-4,272,"Carthage, TX",Carthage HS
19,Hank Bachmeier,QB,SR,6-1,221,"Murrieta, CA",Murrieta Valley HS / Boise State
5,Blake Baker,QB,FR,6-5,220,"Cypress, TX",Cypress Ranch HS
73,Kenneth Bannister,OL,SO,6-3,295,"New Orleans, LA",Edna Karr HS
35,Jacob Barnes,K,JR,5-9,183,"Baton Rouge, LA",Woodlawn HS
41,Devin Bell,DB,FR,5-11,170,"Desoto, TX",Skyline HS
38,Arlind Bengu,P,SO,6-0,200,"Avon, OH",Avon HS
69,Caleb Billiot,OL,SO,6-3,280,"Houma, LA",Terrebonne HS
90,David Blay,DL,SO,6-2,280,"Levittown, PA",Harry S. Truman HS / West Chester University
29,DeMardrick Blunt,LB,FR,6-2,203,"Monroe, LA",Carroll High School
3,Jeslord Boateng,LB,SR,6-2,228,"Dublin, OH",Dublin Coffman High School / Akron / Michigan State
78,Elijah Bowser,OL,SO,6-5,319,"Cedar Hill, TX",Trinity Chrisitan School / Navarro JC
60,Roy Brackins III,OL,FR,6-3,309,"Baton Rouge, LA",Woodlawn HS
74,Jonah Brewster,OL,JR,6-7,325,"Frisco, TX",Prestonwood Christian Academy
53,Jakobe Brock,DL,SO,6-2,246,"Pineville, LA",Tioga HS
65,Carson Bruno,OL,SO,6-4,312,"Shreveport, LA",C.E. Byrd HS
15,Buck Buchanan,P,SO,5-11,190,"Longview, TX",Marshall HS
7,Evan Bullock,QB,FR,6-5,215,"Anna, TX",Anna HS
51,Ean Burch,DS,SO,6-0,196,"Shreveport, LA",Loyola College Prep
20,J'Dan Burnett,DL,SO,6-1,246,"Fort Worth, TX",Nolan Catholic HS
48,Kells Bush,DL,FR,6-3,312,"New Orleans, LA",Edna Karr HS / LSU
16,Kobe Byrd,DB,SO,5-9,182,"Shreveport, LA",Calvary Baptist
67,Brett Canis,OL,SO,6-8,314,"Midland, TX",Midland HS / Texas Tech
86,Daxton Chavez,WR,FR,6-3,190,"Bossier City, LA",Airline HS
72,Hayden Christman,OL,FR,6-7,313,"Tioga, LA",Tioga High School
88,Mykol Clark,DL,SR,6-4,260,"Fort Worth, TX",Crowley HS
89,Zyion Claville,WR,FR,6-2,193,"Shreveport, LA",Huntington HS
26,Joshua Cobbs,DB,SO,6-2,210,"West Monroe, LA",West Monroe HS
11,Decoldest Crawford,WR,FR,6-0,180,"Shreveport, LA",Green Oaks HS / Nebraska
3,Marquis Crosby,RB,SO,5-10,201,"Hattiesburg, MS",Presbyterian Christian School
9,Hugh Davis,LB,SR,6-0,227,"Indianapolis, IN",Cathedral HS / Boston College
25,Colton Deckard,LB,FR,6-3,202,"Muenster, TX",Muenster HS
