No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
6,Micah Abraham,DB,SR,5-11,185,"Tampa, FL",East Lake
22,Rasheen Ali,RB,JR,6-0,209,"Cleveland, OH",Shaker Heights
2,Elijah Alston,DL,JR,6-2,256,"Chesapeake, VA",Oscar Smith
25,J'Coryan Anderson,LB,JR,6-2,237,"Knoxville, TN",Fulton
58,Altrique Barlow,OL,JR,6-3,335,"Virginia Beach, VA",TCU
20,Myles Bell,CB,JR,6-0,182,"Fort Lauderdale, FL",UConn
47,Matthew Bosset,LS,FR,6-2,224,"Ormond Beach, FL",Seabreeze
74,Chris Bradberry,OL,SR,6-6,286,"Rancho Cucamonga, CA",Indiana
44,KeSean Brown,LB,SR,6-1,221,"Columbia, SC",Bamberg-Ehrhardt / App State
0,Sam Burton,DL,SR,6-0,253,"Boca Raton, FL",Spanish River
18,Gerald Campbell,WR,FR,6-0,169,MD,-
98,Alec Clark,P,FR,6-1,174,"Swan View, Australia",Howard Scholars Academy
26,Caleb Clark-Glover,DB,FR,5-9,180,"Springdale, OH",Cincinnati Princeton
77,Isaac Clary,OL,FR,6-7,322,"Gallipolis, OH",Gallia Academy
63,Ayden Conley,OL,FR,6-2,283,"Christiansburg, VA",Christiansburg H.S.
83,Cade Conley,TE,SO,6-4,239,"Williamston, MI",-
7,Caleb Coombs,WR,SO,5-11,189,"Leesburg, VA",St. John's College
36,C.J. Davis,CB,FR,5-10,174,"Fort Wayne, IN",Bishop Dwenger
14,"Stephen Dix, Jr.",LB,SO,6-1,237,"Orlando, FL",Florida State
50,Caden Dotson,OL,FR,6-1,265,"Charleston, WV",Herbert Hoover
52,Ethan Driskell,OL,SR,6-9,329,"Louisville, KY",Holy Cross
14,Cam Fancher,QB,SO,6-1,201,"Huber Heights, OH",Wayne
29,C.J. Fazio,RB,FR,5-9,205,"Easton, PA",Wilson Area
41,Ahmere Foster,CB,FR,5-9,163,"Miami, FL",Christopher Columbus
42,Ian Foster,CB,FR,6-0,183,"Brundidge, AL",Pike County
53,Trent Fraley,OL,FR,6-2,300,"Moon Township, PA",Moon High School / Moon
99,"Isaiah Gibson, Sr.",DL,JR,6-4,312,"Springfield, OH",Kentucky
15,Michael Green,DL,FR,6-4,241,"Williamsburg, VA",Lafayette / Univ. of Virginia
4,Jadarius Green-McKnight,DB,SO,5-11,203,"Fort Myers, FL",Florida State University
