No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
38,Jaylen Aborom,S,FR,6-2,190,"Hattiesburg, MS",Oak Grove HS
15,Ja'Kobi Albert,S,SO,5-11,180,"Fairfield, AL",Fairfield Prep HS (Kentucky)
77,Zay Alexander,OL,FR,6-7,340,"Tupelo, MS",Tupelo HS
84,Carson Allen,K,FR,5-11,190,"Woodstock, GA",Etowah HS
91,Deonte Anderson,DE,SO,6-3,260,"Miami, FL",Fort Meade Senior HS
1,Marcus Banks,S,SR,6-0,190,"Houston, TX",Dekaney HS (Alabama)
32,Nicholas Bargains,CB,FR,5-9,170,"Allen, TX",Allen HS
82,Nick Barr-Mira,K,SR,6-0,185,"Palos Verdes, CA",Loyola HS (UCLA)
89,Luke Beard,LS,FR,6-1,200,"Ackerman, MS",Choctaw County HS
67,Leon Bell,OL,JR,6-8,325,"Alvin, TX",Dickinson HS (Kilgore CC)
36,Jacoby Bellazar,WR,JR,5-11,165,"Baton Rouge, LA",Capitol Senior HS (Southwest Mississippi CC)
72,Canon Boone,OL,SO,6-4,305,"Kemah, TX",Dickinson HS
12,Jamari Brown,CB,SR,6-3,205,"Sunrise, FL",Blanche Ely (Purdue)
48,Caleb Bryant,DL,FR,6-3,265,"Vicksburg, MS",Vicksburg HS
35,Javaris Bufford,RB,SO,5-11,185,"Charlotte, NC",Charlotte Latin School
47,Ethan Chang,K,JR,5-10,180,"Falls Church, VA",Marshall HS (William & Mary)
99,Jacarius Clayton,TE,FR,6-6,240,"Tupelo, MS",Tupelo HS
45,Ty Cooper,DL,SO,6-4,255,"Louisville, MS",Louisville HS
83,Keelan Crimmins,P,FR,6-3,215,"Melbourne, Australia",Victoria University
94,Jaden Crumedy,DT,SR,6-5,305,"Hattiesburg, MS",Oak Grove HS
54,Jonathan Davis,DL,FR,6-5,310,"Monticello, MS",Lawrence County HS
6,Jordan Davis,DE,SR,6-4,275,"Memphis, TN",Southwind HS (Copiah-Lincoln CC)
23,Seth Davis,RB,FR,5-7,185,"Katy, TX",Katy HS
56,Wesley Davis,OL,FR,6-4,300,"Collierville, TN",Briarcrest Christian HS
35,Kalvin Dinkins,DL,FR,6-2,305,"Lake, MS",Lake HS
38,Ashtanyrein Duncan,RB,JR,5-10,-,"Lithia Springs, GA",Lithia Springs HS
10,Corey Ellington,S,JR,6-3,200,"Lexington, MS",Holmes County Central HS
98,Malik Ellis,TE,FR,6-5,265,"Laurel, MS",Laurel HS
89,Grant Evans,WR,FR,6-3,200,"Lake Charles, LA",St. Louis Catholic HS
30,Luke Evans,CB,FR,6-2,180,"Coral Springs, FL",Chaminade Madonna College Prep
80,Kyle Ferrie,K,FR,6-1,205,"Searcy, AR",Harding Academy
2,Esaias Furdge,CB,SR,6-0,185,"Clarksdale, MS",Clarksdale HS
31,Javae Gilmore,LB,FR,6-4,225,"Amite, LA",Amite HS
88,Ryland Goede,TE,SR,6-6,260,"Kennesaw, GA",Kennesaw Mountain HS (Georgia)
5,Lideatrick Griffin,WR,SR,5-10,180,"Philadelphia, MS",Philadelphia HS
43,Hayes Hammond,LS,JR,5-10,195,"Tupelo, MS",Tupelo HS
81,Antonio Harmon,TE,SO,6-3,215,"Kosciusko, MS",Kosciusko HS
49,Marlon Hauck,K,FR,6-3,195,"Phoenix, AZ",Desert Vista HS (Southern Illinois)
46,Joseph Head Jr.,DL,FR,6-4,225,"Lexington, MS",Holmes County Central HS
41,Manuel Hillman,LS,JR,6-0,190,"Petal, MS",Petal HS (East Central CC)
50,Tabias Hinton,LB,FR,6-3,215,"Hattiesburg, MS",Hattiesburg HS
60,Jayden Hobson,OL,FR,6-5,295,"Tuscaloosa, AL",Hillcrest HS
