No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
73,Eli Acker,OL,JR,6-5,295,"Columbus, MS",Heritage Academy
37,Austin Acton,RB,FR,6-1,200,"Meridian, MS",Lamar School
20,Joshua Aka,WR,SR,5-10,185,"Starkville, MS",Starkville / East Mississippi CC
42,Jason Albritton,RB,SO,5-10,220,"Lithia, FL",Newsome / USF
3,Daijahn Anthony,S,SR,6-0,205,"Richmond, VA",Henrico / Liberty
41,John Ross Ashley,CB,FR,6-0,180,"Vestavia Hills, AL",Vestavia Hills
14,Deljay Bailey,QB,FR,6-1,200,"Petal, MS",Petal
34,Tyler Banks,LB,SO,6-3,235,"Blackstone, VA",Nottoway
24,Ulysses Bentley IV,RB,SR,5-11,200,"Houston, TX",C.E. King / SMU
28,Lex Boucvalt,WR,JR,5-7,155,"Austin, TX",Grapevine Faith / Nicholls State
52,Christian Britt,DE,FR,6-4,210,"Greenville, MS",Washington
37,AJ Brown,CB,FR,6-1,195,"Cordele, GA",Crisp County
12,Bralon Brown,WR,SO,6-2,195,"Miramar, FL",St. Thomas Aquinas
96,Jamarious Brown,DT,FR,6-3,285,"Moss Point, MS",Moss Point
23,Drew Burnett,WR,FR,6-1,190,"Memphis, TN",Memphis University School
92,Chamberlain Campbell,DE,FR,6-7,215,"St. Petersburg, FL",Lakewood
28,Jadon Canady,S,JR,5-11,180,"Jacksonville, FL",Sandalwood / Tulane
36,Ashanti Cistrunk,LB,SR,6-1,230,"Louisville, MS",Louisville
23,Khari Coleman,LB,SR,6-2,220,"New Orleans, LA",G.W. Carver / TCU
80,Jayvontay Conner,TE,FR,6-4,220,"Winston-Salem, NC",East Forsyth
43,Caden Costa,K,JR,6-0,200,"Mandeville, LA",Mandeville
46,Harrison Craig,S,FR,6-1,180,"Collierville, TN",Collierville
29,Nick Cull,S,FR,5-11,175,"Donalsonville, GA",Seminole County
79,Victor Curne,OL,SR,6-4,320,"Houston, TX",Second Baptist / Washington
55,Preston Cushman,OL,FR,6-5,280,"St. Petersburg, FL",Calvary Christian
43,Jack Damron,LB,FR,6-0,210,"Buford, GA",Buford
2,Jaxson Dart,QB,JR,6-2,220,"Kaysville, UT",Corner Canyon / USC
41,Caden Davis,K,SR,6-3,200,"Coppell, TX",Coppell / Texas A&M
42,Dylan Davis,S,FR,6-1,185,"Frisco, TX",Parish Episcopal
84,Qua Davis,WR,SR,5-11,210,"Biggersville, MS",Biggersville / Itawamba CC
21,Daniel Demery,S,FR,6-0,195,"Flower Mound, TX",Parish Episcopal
98,Jaden Dicks,DE,SO,6-4,270,"Etobicoke, Canada",Etobicoke / Guelph
85,Jeremiah Dillon,WR,FR,6-2,175,"Tylertown, MS",Tylertown
20,TJ Dudley,LB,FR,6-1,230,"Montgomery, AL",Montgomery Catholic / Clemson
77,Cam East,OL,FR,6-7,280,"Marrero, LA",St. Augustine
72,Ethan Fields,OL,FR,6-4,330,"Geismar, LA",Dutchtown
5,Zakhari Franklin,WR,SR,6-1,185,"Cedar Hill, TX",Cedar Hill / UTSA
44,Nyseer Fullwood-Theodore,CB,FR,6-3,205,"Atlanta, GA",IMG Academy
9,DeShawn Gaddie Jr.,CB,SR,6-1,190,"Indianapolis, IN",Lamar / North Texas
97,Jamond Gordon,DT,SR,6-2,290,"Meridian, MS",Meridian / East Mississippi CC
32,Chris Graves,CB,FR,6-1,175,"Fort Myers, FL",Bishop Verot / Miami
8,Jam Griffin,RB,SR,5-9,210,"Rome, GA",Rome / Oregon State
65,Alec Grijalva,OL,FR,6-4,280,"Leesburg, VA",Heritage
26,Taylor Groves,S,FR,6-2,195,"Cross Plains, TN",East Robertson
0,Joshua Harris,DT,SR,6-4,325,"Roxboro, NC",Person / North Carolina State
9,Tre Harris,WR,SR,6-2,205,"Lafayette, LA",Comeaux / Louisiana Tech
51,Zxavian Harris,DT,SO,6-7,335,"Canton, MS",Germantown
50,Tres Harris III,LB,FR,6-2,225,"Frisco, TX",Legacy Christian Academy
88,Kyirin Heath,TE,SO,6-4,235,"Mansfield, TX",Legacy
46,Salathiel Hemphill,TE,JR,6-3,245,"Winona, MS",Grenada / Jones College
15,JJ Henry,WR,SO,5-9,170,"McKinney, TX",McKinney North
61,Lane Hewett,OL,FR,6-2,280,"Ocean Springs, MS",St. Martin
47,DeeJay Holmes Jr.,DE,FR,6-3,230,"Pahokee, FL",Pahokee
7,Walker Howard,QB,FR,6-1,195,"Lafayette, LA",St. Thomas More Catholic / LSU
35,Reginald Hughes,DE,SR,6-2,230,"Tunica, MS",Rosa Fort / Northeast Mississippi CC
15,Jared Ivey,DE,SR,6-5,265,"Suwanee, GA",North Gwinnett / Georgia Tech
78,Jeremy James,OL,SR,6-5,305,"Cumming, GA",North Forsyth
11,Jeremiah Jean-Baptiste,LB,SR,6-2,230,"Florida City, FL",South Dade / UCF
40,Zach Johansen,S,FR,6-1,190,"Suwanee, GA",North Gwinnett
33,Antione Johnson,S,SR,6-0,205,"Louisville, KY",Desales / Thomas More
2,Cedric Johnson,DE,SR,6-3,265,"Mobile, AL",Davidson
45,Jackson Jones,CB,FR,6-0,150,"Buffalo, NY",Grand Island / Stony Brook
40,Matt Jones,RB,SO,5-7,180,"Jackson, MS",Jackson Prep
4,Quinshon Judkins,RB,SO,5-11,210,"Pike Road, AL",Pike Road
31,Torian Kelly,CB,SO,6-0,180,"Ocean Springs, MS",Ocean Springs
27,Jalen Knox,S,SR,6-0,205,"Arlington, TX",Mansfield Timberview / Missouri
49,Jared Lawrence,LS,JR,5-10,200,"Lebanon, TN",Wilson Central
83,Cayden Lee,WR,FR,5-11,175,"Kennesaw, GA",Kennesaw Mountain
39,Skielar Mann,LB,FR,6-3,215,"Fort Valley, GA",Peach County
12,Fraser Masin,P,SR,6-5,235,"Brisbane, Australia",St. Joseph's Nudgee College
35,Fred McAfee,RB,SO,5-8,200,"Madison, MS",Germantown
67,Quincy McGee,OL,SR,6-4,320,"Hattiesburg, MS",Hattiesburg / UAB
56,Reece McIntyre,OL,SR,6-5,305,"Buford, GA",Buford
76,Cedric Melton,OL,JR,6-5,300,"Houston, TX",Klein Cain
68,Jack Mills,OL,JR,6-4,315,"Medfield, MA",Dexter Southfield / Georgetown
8,Monty Montgomery,LB,SR,5-10,225,"Norcross, GA",Norcross / Louisville
64,Ethan Morris,OL,FR,6-2,265,"Columbia, MS",Columbia
49,Daniel Newman,S,JR,5-9,195,"Tallahassee, FL",Lincoln
66,Cedrick Nicely,OL,SO,6-5,310,"Gainesville, GA",Gainesville
17,Richard O'Bryant,CB,SO,5-9,180,"Brandon, MS",Brandon
33,Mac Owen,WR,FR,6-1,175,"Tunica, MS",Memphis University School
89,JJ Pegues,DT,SR,6-2,315,"Oxford, MS",Oxford / Auburn
4,Suntarine Perkins,LB,FR,6-3,205,"Raleigh, MS",Raleigh
53,Cephas Pettis,DE,FR,5-11,245,"Crewe, VA",Nottoway / James Madison
57,Micah Pettus,OL,SO,6-7,360,"Madison, AL",James Clemens
39,Joshua Pfeifer,WR,SO,6-1,175,"Nashville, TN",Father Ryan
48,Charlie Pollock,P,SO,6-1,230,"Marietta, GA",Walton / Nevada
94,Tavion Prather,DT,JR,6-3,245,"Oxford, MS",Lafayette / Northwest Mississippi CC
86,Caden Prieskorn,TE,SR,6-5,255,"Lake Orion, MI",Orchard Lake / Memphis
7,Deantre Prince,CB,SR,6-0,185,"Charleston, MS",Charleston / Northeast Mississippi CC
21,Kedrick Reescano,RB,FR,6-0,210,"New Caney, TX",New Caney
99,DeSanto Rollins,DT,JR,6-3,305,"Baton Rouge, LA",Parkview Baptist
62,Brycen Sanders,OL,FR,6-6,295,"Chattanooga, TN",Baylor School
3,Spencer Sanders,QB,SR,6-1,210,"Denton, TX",Ryan / Oklahoma State
91,Myles Saulsberry,DT,FR,6-2,290,"Memphis, TN",Lausanne Collegiate / UT Martin
5,John Saunders Jr.,S,SR,6-2,200,"High Point, NC",High Point Christian / Miami (Ohio)
94,Christian Schanefelt,K,FR,6-0,200,"Decatur, IL",Warrensburg-Latham
44,Ali Scott,RB,JR,6-0,215,"Powder Springs, GA",McEachern / Grandview
93,Carter Short,LS,SO,5-10,195,"Hoover, AL",Hoover / Alabama
13,Austin Simmons,QB,FR,6-2,200,"Pinecrest, FL",Pahokee
82,Larry Simmons,WR,FR,6-1,190,"Moss Point, MS",Moss Point
47,Wyatt Smalley,TE,FR,6-3,210,"Milton, GA",Milton
58,Demarcus Smith,DT,SO,6-3,295,"Birmingham, AL",A.H. Parker
22,Jarell Stinson,CB,SO,5-9,170,"Opelika, AL",Opelika
95,Akelo Stone,DT,JR,6-2,280,"Savannah, GA",Jenkins / Georgia Tech
59,Mana Taimani,OL,JR,6-5,305,"Antioch, CA",Clayton Valley Charter / Diablo Valley College
13,Ladarius Tennison,S,JR,5-9,200,"Rockledge, FL",Rockledge / Auburn
0,Michael Trigg,TE,JR,6-3,240,"Tampa, FL",Carrollwood Day / USC
48,Mark Trigg Jr.,LB,FR,6-3,200,"Roswell, GA",Roswell
99,Isaac Ukwu,DE,SR,6-3,260,"Upper Marlboro, MD",Wise / James Madison
29,Rayf Vinson,WR,SO,6-0,195,"Madison, MS",Madison-Ridgeland Academy
19,Dayton Wade,WR,SR,5-9,175,"Atlanta, GA",Lovejoy / Western Kentucky
6,Zamari Walton,CB,SR,6-3,185,"Melbourne, FL",Melbourne Central Catholic / Georgia Tech
54,Caleb Warren,OL,SR,6-5,310,"Louisville, MS",Nanih Waiya
25,Trey Washington,S,JR,5-11,205,"Trussville, AL",Hewitt-Trussville
16,Braden Waterman,QB,FR,6-4,205,"Bakersfield, CA",Bakersfield
11,Jordan Watkins,WR,SR,5-11,190,"Louisville, KY",Butler / Louisville
30,Trip White,LB,FR,6-4,205,"Little Rock, AR",Parkview
1,Ayden Williams,WR,FR,6-3,190,"Ridgeland, MS",Ridgeland
14,Demarko Williams,S,SO,5-10,175,"Atlanta, GA",Westlake
71,Jayden Williams,OL,SO,6-5,300,"Conway, AR",Conway
31,Calvin Wilson,WR,SO,6-1,195,"Thompson's Station, TN",Independence
87,Hudson Wolfe,TE,SO,6-7,230,"Savannah, TN",Hardin County
17,Davin Wydner,QB,FR,6-5,220,"Cocoa, FL",Cocoa
90,Stephon Wynn Jr.,DT,SR,6-4,310,"Anderson, SC",IMG Academy / Nebraska
1,Isheem Young,S,SR,5-10,215,"Philadelphia, PA",Imhotep / Iowa State
16,Teja Young,S,SR,5-11,195,"West Palm Beach, FL",Palm Beach Lakes / FAU
