No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
35,Elijah Acklin,DB,FR,5-9,180,"Sparks, NV",Reed HS
37,Marquese Allen-Patmon,DB,JR,6-1,200,"San Diego, CA",Lincoln HS
22,Hezekiah Anahu-Ambrosio,LB,FR,6-0,215,"Kailua-Kona, HI",Konawaena HS
64,Kai Arneson,OL,JR,6-7,309,"Monument, CO",Lewis-Palmer HS / Oregon
7,Marquis Ashley,WR,SO,5-8,166,"Norco, CA",Norco / Riverside CC
15,Kola Babalola,WR,FR,6-2,205,"Modesto, CA",James C. Enochs HS
23,Jacques Badolato-Birdsell,RB,SO,5-10,201,"Camas, WA",Camas HS
88,Nick Barcelos,LS,SR,5-11,221,"Foothill Ranch, CA",Santa Margarita Catholic
44,Zach Beagle,LB,SR,6-2,225,"Rockledge, FL",Cocoa HS / Princeton
3,Jamaal Bell,WR,SR,5-10,171,"Lancaster, CA",Antelope Valley HS
10,AJ Bianco,QB,FR,6-4,215,"Lahaina, HI",Saint Louis HS
9,Davion Blackwell,LB,JR,6-1,215,"Columbia, SC",Folsom HS
25,Dorian Blackwell,CB,SO,6-2,162,"Columbia, SC",Spanish Springs HS
77,John Bolles,OL,JR,6-5,275,"Daly City, CA",Jefferson HS / College of San Mateo
24,Chad Brown,DB,SR,6-3,178,"Lawrenceville, NJ",St. Frances / UCF
9,Marshaun Brown,WR,FR,6-4,195,"Reno, NV",Bishop Manogue HS
12,Nate Burleson II,WR,FR,6-3,160,"Newcastle, WA",Ramapo HS (N.J.)
17,Micah Camat,DB,JR,6-1,192,"Honolulu, HI",'Iolani School
5,Dalevon Campbell,WR,SR,6-4,-,"Missouri City, TX",Ford Bend Marshall / Illinois
55,Joey Capra,OL,SR,6-4,301,"Auburn, CA",San Diego State
73,Josh Castro,OL,SR,6-3,310,"Los Angeles, CA",West Adams HS / Santa Monica College / Azusa Pacific / Angelo State / Cal Lutheran
3,Michael Coats Jr.,CB,SR,5-10,170,"Biloxi, MS",Biloxi HS / East Central CC / La Tech
33,Stone Combs,LB,FR,6-0,219,"Park City, UT",Park City HS
50,Louie Cresto,DL,JR,6-5,265,"Twin Falls, ID",Canyon Ridge HS / Oregon
1,Isaah Crocker,WR,SR,6-1,183,"Sacramento, CA",Inderkum HS / Oregon
18,Spencer Curtis,WR,SR,5-11,182,"Las Vegas, NV",Jordan HS / Oregon
28,Tori Daffin,DB,SR,5-9,180,"Ozark, AL",Carroll HS / East Central CC
89,D'Angelo Davis,RSH,FR,6-0,240,"Carson, CA",St. Pius X - St. Matthias Academy
31,Donoven DeRicco,DB,FR,6-2,190,"Reno, NV",Bishop Manogue HS
6,Jaden Dedman,DB,SR,5-10,175,"Rancho Cucamonga, CA",Upland HS
4,Sean Dollars,RB,JR,5-10,195,"Rancho Cucamonga, CA",Mater Dei HS / Oregon
67,RJ Esmon,OL,FR,6-6,280,"Santa Margarita, CA",Mission College Prep
2,Isaiah Essissima,CB,SR,5-10,177,"Houston, TX",Fort Bend Hightower / Wake Forest
79,Cole Feinauer,OL,SO,6-6,290,"Cheshire, CT",Reno HS / Colorado State
57,Andoni Fesenmaier,DL,FR,6-4,260,"Elko, NV",Elko HS
34,Spencer Firebaugh,RB,FR,5-9,173,"Sparks, NV",Reed HS
86,Dyson Frank,TE,SO,6-6,253,"Alpine, UT",Jordan HS / Snow College
48,Matt Freem,P,SR,6-0,190,"Lake Forest, CA",El Toro HS / Saddleback College
74,Garvey Gordon,OL,SO,6-4,275,Germany,Monterey Peninsula College
54,Josh Grabowski,OL,SO,6-3,-,"Manteca, CA",East Union
84,Jeremiah Gradowitz,WR,JR,5-9,167,"Bakersfield, CA",Stockdale HS
99,William Green Jr.,DT,SR,6-6,307,"Albany, GA",Westover / Liberty
14,Devin Gunter,DB,JR,6-0,173,"Missouri City, TX",Ridge Point HS
91,James Hansen,DL,SR,6-2,307,"Fontana, CA",Kaiser / Riverside CC / Utah State
26,Ashton Hayes,RB,SO,6-0,200,"Reno, NV",McQueen HS / California
17,Baylor Horning,QB,SR,6-2,208,"Sparks, NV",Reed HS / San Diego State
0,Henry Ikahihifo,DL,SR,6-3,260,"Lancaster, CA",Paraclete HS / California / College of the Canyons / Nevada
26,Tooni Ikahihifo Jr.,DB,JR,6-0,200,"Lancaster, CA",Paraclete HS / College of the Canyons
16,Shane Illingworth,QB,JR,6-6,233,"Norco, CA",Norco / Oklahoma State
14,John Jackson III,WR,SR,6-1,215,"Redondo Beach, CA",Serra HS / USC
5,Emany Johnson,DB,SR,6-2,216,"Richmond, CA",Hercules HS
25,Terrell Johnson,RB,SR,6-1,215,"Ewa Beach, HI",James Campbell HS / Southwestern College
47,Hunter Kaupiko,DL,JR,6-0,-,"Las Vegas, NV",Faith Lutheran / San Diego State
18,Matthew Killam,PK,JR,5-10,174,"San Diego, CA",Scripps Ranch HS
75,Shawn Klingler,OL,FR,6-4,313,"Reno, NV",McQueen
32,Wesley Kommer,RB,JR,5-9,190,"Springfield, OR",Thurston HS
42,Jackson LaDuke,LB,SO,6-3,240,"Sparks, NV",Spanish Springs HS / Oregon
58,Jayden LaGrone,LB,FR,6-2,210,"Reno, NV",McQueen HS
81,Keleki Latu,TE,JR,6-7,230,"Sacramento, CA",Jesuit HS / California
13,Jax Leatherwood,QB,FR,6-8,245,"San Diego, CA",Scripps Ranch HS
2,Brendon Lewis,QB,SO,6-2,215,"Melissa, TX",Melissa HS / Colorado
30,Jonah Lewis Jr.,CB,FR,5-11,180,"Palmdale, CA",Inglewood HS
39,Micah Lilo,LB,JR,6-0,215,"Honolulu, HI",Kamehameha Schools Kapalama
78,Andrew Madrigal,OL,SO,6-4,295,"Norco, CA",Norco HS
95,Jonathan Maldonado,LB,FR,6-6,213,"Monrovia, CA",Arcadia
55,Mackavelli Malotumau,DL,SO,6-1,290,"Oceanside, CA",El Camino HS / Utah Tech
36,Tongiaki Mateialona,LB,SR,6-1,222,"Long Beach, CA",Dominguez HS
34,Malcolm McClure,LB,FR,6-1,220,"Reno, NV",Bishop Manogue HS / California
20,Journey McKoy,S,FR,5-9,170,"Pittsburg, CA",De La Salle HS
19,KeeKee McQueen,DB,FR,5-9,170,"Spanaway, WA",Spanaway Lakes
10,KK Meier,DB,FR,6-1,186,"Lubbock, TX",Frenship HS
54,Sosefo Moeaki,DL,JR,6-1,280,"Portland, OR",Parkrose HS / De Anza College
47,Rory Morgan,TE,JR,-,-,"Petaluma, CA",St. Vincent De Paul HS / American River College / San Diego State
16,Kaleo Neves,LB,SR,6-2,210,"Honolulu, HI",Timpview HS / Utah State
80,Ross Nickson,WR,FR,6-3,200,"Los Angeles, CA",Cathedral HS
90,Ike Nnakenyi,DL,FR,6-3,244,"Henderson, NV",Coronado HS
33,Conner Noah,RB,FR,5-10,200,"Kelso, WA",Kelso HS
68,Jacob Nunez,OL,JR,6-3,275,"Lompoc, CA",Lompoc HS / Arizona State
82,Jayden O'Rourke,TE,FR,6-8,245,"Tweed Heads, Australia",Lindisfarne Grammar School
38,Boden Page,K,FR,6-2,190,"Greenwood Village, CO",Cherry Creek HS
0,Cross Patton,RB,SR,5-6,155,"Atlanta, GA",Woodward Academy / Oregon
62,Frank Poso,OL,SR,6-5,335,"San Jose, CA",Branham HS
13,Ezekiel Robbins,DB,SR,5-11,187,"Chandler, AZ",Chandler HS / Butler Community College
40,Jackson Robertson,LS,FR,6-3,215,"Medford, OR",South Medford HS
6,Gerick Robinson,WR,SO,5-8,180,"Las Vegas, NV",Centennial HS / Colorado State
72,Cade Rodahaffer,OL,FR,6-5,237,"Reno, NV",Damonte Ranch
52,Tyson Ruffins,OL,FR,6-2,310,"Long Beach, CA",Long Beach Poly HS
11,Carlos Sandy,WR,SR,5-9,185,"Dania Beach, FL",Cardinal Gibbons / Illinois
1,Caine Savage,DB,SR,5-11,182,"Buena Park, CA",Western HS / Utah
46,Aedan Seiuli,DB,SO,6-3,206,"Spanish Fork, UT",Maple Mountain
89,Cooper Shults,TE,SR,6-6,250,"Sacramento, CA",Cosumnes Oaks / Oregon
45,Chris Smalley,LB,SO,6-5,220,"Minden, NV",Douglas HS
44,Oliver Stuart,TE,FR,6-4,250,"Redwood City, CA",St. Ignatius Prep
43,Brandon Talton,PK,SR,5-9,185,"Vacaville, CA",Vacaville HS
63,RJ Taylor,OL,JR,6-3,290,"Yucaipa, CA",Yucaipa HS
7,Jonathan Thomas,LB,JR,6-3,253,"West Hills, CA",Sierra Canyon HS / College of the Canyons
71,Josiah Timoteo,OL,FR,6-4,300,"Waianae, HI",Waianae HS
52,Dwight Togiola,DL,SO,6-3,250,"Lacey, WA",Timberline
23,Richard Toney Jr.,DB,SO,6-0,189,"Arlington, TX",Arlington HS
15,Bishop Turner,S,FR,5-11,170,"Altadena, CA",Charter Oak HS
