No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
41,Keyaan Abdul-Rahim,LB,FR,6-0,205,"Charlotte, NC",Providence Day
87,Blair Alexander,DL,FR,6-2,250,"Cary, NC",Green Level
2,Michael Allen,RB,SO,5-9,205,"Greenville, NC",Rose
58,Carter Alls,OL,FR,6-5,324,"Wake Forest, NC",Heritage
92,Aiden Arias,LS,FR,6-0,194,"Ft. Lauderdale, FL",American Heritage
5,Brennan Armstrong,QB,SR,6-2,212,"Shelby, OH",Shelby / Virginia
16,Rakeim Ashford,SAF,SR,6-1,195,"Ackerman, MS",Choctaw County / Jones County CC
32,Jakolbe Baldwin,SAF,SO,6-0,192,"Hamlet, NC",Richmond Senior
7,Shyheim Battle,CB,JR,6-2,195,"Rocky Mount, NC",Rocky Mount
74,Anthony Belton,OT,JR,6-6,336,"Tallahassee, FL",Florida State U. School / Georgia Military School
26,Devon Betty,LB,JR,6-1,232,"Carver Ranches, FL",St. Thomas Aquinas / South Brunswick
34,Kamal Bonner,LB,FR,6-2,195,"Moultrie, GA",Colquitt Co.
12,Devan Boykin,SAF,JR,5-10,195,"Greensboro, NC",Ragsdale
0,Sean Brown,SAF,SO,6-0,207,"Charlotte, NC",Hough
39,Foster Burt,CB,FR,6-1,185,"Wake Forest, NC",Heritage
35,Hakeeme Butler,SAF,FR,6-0,195,"Asheboro, NC",Asheboro
33,Eli Calhoun,WR,FR,6-4,205,"Winston-Salem, NC",Reynolds
46,Nick Campbell,DL,FR,6-4,300,"Minneola, FL",Lake Minneola
75,"Anthony Carter, Jr.",OG,SO,6-3,305,"Charlotte, NC",Butler
25,Brandon Cisse,CB,FR,6-0,182,"Sumter, SC",Lakewood
5,C.J. Clark,DT,JR,6-3,305,"New London, NC",North Stanly
44,Brandon Cleveland,DT,SO,6-4,300,"Tampa, FL",Carrollwood Day
21,Jalen Coit,WR,SO,5-11,173,"Cheraw, SC",Cheraw
86,Dacari Collins,WR,SO,6-4,212,"Atlanta, GA",Westlake / Clemson
10,Kevin KC Concepcion,WR,FR,5-11,187,"Charlotte, NC",Chambers
56,Lyndon Cooper,OG,SO,6-2,318,"Atlanta, GA",Carrollton
83,Josh Crabtree,WR,SO,6-3,205,"Wake Forest, NC",Heritage
30,Isaiah Crowell,DB,FR,5-10,182,"Kernersville, NC",E. Forsyth
22,Micah Crowell,RB,SO,6-1,220,"Winston-Salem, NC",East Forsyth
62,Jaleel Davis,OL,SO,6-6,315,"Hamlet, NC",Richmond Senior
88,Jackson DeSilva,WR,SR,6-0,200,"Rolesville, NC",Rolesville
53,Derrick Eason,OL,SR,6-4,315,"Norfolk, VA",Norview
24,Darius Edmundson,NIC,SR,6-0,187,"Middlesex, NC",Southern Nash / Louisburg
20,Daemon Fagan,SAF,FR,6-3,190,"Ft. Lauderdale, FL",American Heritage
96,Owen Fehr,P,FR,5-11,175,"Cornelius, NC",Hough
30,Coleson Fields,RB,FR,5-9,183,"Wake Forest, NC",Heritage
19,Bishop Fitzgerald,SAF,JR,6-0,195,"Woodbridge, VA",Garfield / Coffeyville CC
