No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
46,Brad Adamcik,TE,SO,6-4,207,"Keller, TX",Keller HS
27,Oscar Adaway III,RB,JR,5-10,219,"North Little Rock, AR",North Little Rock HS
5,Ayo Adeyi,RB,JR,5-7,192,"Mansfield, TX",Mansfield Legacy HS / Harding
96,Vic Alobwede,DL,JR,6-5,266,"Stone Mountain, GA",Stephenson HS / UMass
14,Jayven Anderson,S,FR,6-0,202,"Houston, TX",North Shore HS
71,Leke Asenuga,OL,SO,6-2,300,"Houston, TX",George Bush HS / New Mexico
40,Trent Ayers,DL,JR,6-1,218,"Arlington, TX",Colleyville Heritage HS / Navarro College
65,Gabe Blair,OL,JR,6-2,294,"Denton, TX",Guyer HS
46,Grady Brewer,LB,SO,5-11,217,"Rockwall, TX",Rockwall-Heath HS
24,Chavez Brown,LB,SO,6-1,224,"Houma, LA",Terrabonne HS / Butler CC
49,Collin Brown,LS,JR,5-11,240,"Austin, TX",Savio Catholic / Blinn College
19,Jordan Brown,LB,JR,6-1,228,"Huntsville, TX",Huntsville HS
10,Roderick Brown,DL,JR,5-11,303,"Forney, TX",North Forney HS
98,Dadrian Burleson,DL,JR,6-0,328,"Dallas, TX",Dallas Skyline HS / Texas College
2,Roderic Burns,WR,SR,5-9,190,"Houston, TX",Lamar HS
78,Daizion Carroll,OL,SR,6-1,314,"Waco, TX",Midway HS
14,J'Kalon Carter,WR,JR,5-10,166,"Aubrey, TX",Braswell HS / Illinois St.
7,Trey Cleveland,WR,JR,6-1,193,"Arlington, TX",Arlington HS / Texas Tech
0,Blair Conwright,WR,JR,5-11,181,"Lubbock, TX",Coronado HS / TCU
83,Zack Darkoch,WR,FR,5-10,160,"Coppell, TX",Coppell HS
8,John Davis,CB,SR,6-0,187,"Euless, TX",Trinity HS / Texas Tech
47,Harrison Dempsey,S,SO,5-11,200,"Gainesville, TX",Gainesville HS / Oklahoma St.
82,Dallas Dudley,WR,FR,6-2,190,"Flower Mound, TX",Marcus HS / Oklahoma
64,Jett Duncan,OL,JR,6-1,282,"The Woodlands, TX",The Woodlands HS
3,Stone Earle,QB,JR,6-0,207,"Keller, TX",Birdville HS / ACU
41,Sawyer Evans,P,JR,6-3,203,"Arlington, TX",Martin HS / Texas Southern
58,Samora Ezekiel,OL,FR,6-2,265,"Fort Worth, TX",Paschal HS
53,Blake Fann,LB,FR,6-1,230,"Frisco, TX",Lone Star HS
20,Qualon Farrar,RB,FR,5-5,195,"Dallas, TX",South Oak Cliff HS
34,CJ Garnett,LB,SO,6-0,220,"Keller, TX",Keller HS / Missouri St. / Blinn College
16,Dylan Gebbia,QB,FR,6-0,177,"Los Angeles, CA",Bishop Alemany HS / Hawaii
48,Rodney Green Jr.,DL,JR,6-3,260,"Philadelphia, PA",Windermere HS / Hutchinson CC
85,Evan Greene,WR,SO,5-11,191,"Dallas, TX",Parish Episcopal
20,Alphie Guillory,S,JR,5-9,202,"DeSoto, TX",DeSoto HS
47,JP Hadley,LS,SR,6-3,234,"Lacey, NJ",Donovan Catholic / West Virginia
92,K'Von Hamilton,DL,SO,6-1,238,"Parker, TX",Plano East HS / Pittsburg St.
10,JD Head,QB,SO,6-2,179,"Pearland, TX",Pearland HS / Louisiana Tech
0,Phil Hill,S,JR,6-0,198,"Spring, TX",Klein Collins HS / UNLV
1,Kaylon Horton,WR,SR,5-9,173,"Houston, TX",Cy Ridge HS / Tarleton St.
39,Karter Houchin,LB,FR,5-10,218,"Decatur, TX",Decatur HS
29,Adam Jacklin,P,FR,5-11,195,"Melbourne, Australia",Whitefriars College
21,BK Jackson,RB,SO,5-11,213,"Missouri City, TX",Ridge Point HS
9,Enoch Jackson,DL,JR,5-11,301,"Mansfield, TX",Legacy HS / Arkansas
16,Evan Jackson,S,FR,5-11,176,"Houston, TX",North Shore HS
23,Isaiah Johnson,RB,JR,5-10,210,"Lubbock, TX",Cooper HS
45,Kadren Johnson,DL,SR,6-1,242,"Lewisville, TX",Lewisville HS / Navarro College / ACU
68,Keon Johnson,OL,FR,6-4,404,"Akron, OH",Archbishop Hoban HS
30,Loren Johnson,CB,JR,6-3,190,"Bakersfield, CA",Garces HS / Bakersfield College
88,Xzavior Kautai,TE,SO,6-0,235,"Euless, TX",Trinity HS
15,Carson Kropp,LB,SR,6-1,230,"Owasso, OK",Owasso HS / Oklahoma St.
69,Ryan Krueger,OL,FR,6-2,255,"Hurst, TX",LD Bell HS
84,Christian Lee,TE,JR,6-3,221,"Friendswood, TX",Friendswood HS
42,Sifa Leota,LB,SO,6-2,221,"Euless, TX",Trinity HS
25,Kollin Lewis,CB,FR,5-11,194,"Gladewater, TX",Gladewater HS
23,Bryce Linder,S,SO,6-0,176,"College Station, TX",A&M Consolidated HS / Blinn College
18,Tarik Luckett,CB,SR,6-2,184,"Compton, CA",JSerra Catholic / Colorado / Cisco CC / Arizona St.
9,Ja'Mori Maclin,WR,SO,5-11,183,"Kirkwood, MO",Kirkwood HS / Missouri
87,Tim Madison,WR,FR,6-0,173,"Frisco, TX",Lebanon Trail HS
76,Desmond Magiya,OL,FR,6-5,272,"McKinney, TX",McKinney HS
49,Kamdon McFarland,S,SO,6-0,204,"Mansfield, TX",Lake Ridge HS
25,Makenzie McGill,RB,FR,5-9,192,"Mount Vernon, TX",Mount Vernon HS
80,Zhighlil McMillan,WR,SO,6-0,208,"Frisco, TX",Independence HS
67,Ethan Miner,OL,JR,6-2,296,"West Hartford, CT",Kingswood-Oxford HS / Arkansas St.
26,Dietrich Moore,LB,FR,5-10,215,"Broken Arrow, OK",Broken Arrow HS
74,Larry Moore,OL,JR,6-6,275,"Missouri City, TX",Fort Bend Marshall HS / Texas Tech
94,Marcus Moore,DL,JR,6-0,300,"The Colony, TX",The Colony HS / ULM / Coffeyville CC
22,Matthew Moore,LB,FR,6-0,220,"Killeen, TX",Ellison HS
77,Kaci Moreka,OL,SR,6-5,291,"Arlington, TX",Martin HS / Northern Colorado / Trinity Valley CC
18,Dorian Morris,WR,JR,5-10,190,"Mesquite, TX",Poteet HS
7,Nick Nakwaasah,S,JR,5-11,199,"Dallas, TX",Bishop Dunne HS / Central Arkansas
13,Brian Nelson II,CB,FR,6-0,183,"Pearland, TX",Shadow Creek HS
40,Kali Nguma,K,FR,5-10,183,"Mission, TX",Sharyland HS
54,Febechi Nwaiwu,OL,SO,6-4,316,"Coppell, TX",Coppell HS
29,Caden Park,CB,FR,6-0,188,"McKinney, TX",Boyd HS
6,Ikaika Ragsdale,RB,JR,5-11,218,"Las Vegas, NV",Bishop Gorman HS
95,Kortlin Rausaw,DL,SO,6-3,275,"Wylie, TX",Wylie HS
99,Noah Rauschenberg,K,SR,6-0,198,"Tulsa, OK",Union HS / Baylor
62,Caden Reeves,OL,SO,6-3,315,"Argyle, TX",Argyle HS
44,Mazin Richards,DL,SR,6-1,240,"Burleson, TX",Centennial HS / Eastern New Mexico
90,Kaghen Roach,DL,JR,6-5,257,"Celina, TX",Celina HS / Blinn College
81,Richard Rocquemore,WR,SO,5-10,176,"Mansfield, TX",Legacy HS / ACU
4,Chandler Rogers,QB,JR,6-0,195,"Mansfield, TX",Lake Ridge HS / Southern Miss / Blinn College / ULM
3,Jace Ruder,LB,SR,6-2,222,"Norton, KS",Norton HS / North Carolina
79,Howard Sampson,OL,FR,6-8,325,"Humble, TX",Humble HS
22,Landon Sides,WR,FR,5-11,179,"Denton, TX",Guyer HS
50,Kade Sink,LB,FR,6-1,211,"Friendswood, TX",Bay Area Christian
56,Dameon Smallwood,OL,FR,6-3,318,"Denison, TX",Denison HS
15,Jordan Smart,WR,JR,5-10,185,"Round Rock, TX",Round Rock HS / UT Permian Basin
36,Jaylen Smith,LB,JR,5-11,214,"Hamilton, Canada",St. Thomas More
13,Josh Smith,TE,SO,6-0,234,"Tampa, FL",Gaither HS / College of the Canyons
91,Keith Smith,DL,FR,6-2,255,"Dallas, TX",South Oak Cliff HS
11,Patrick Smith,S,FR,5-9,184,"Sugar Land, TX",Clements HS
70,Isaac Sohn,OL,FR,6-5,271,"Aledo, TX",Aledo HS
17,Taylor Starling,CB,FR,5-9,163,"Dallas, TX",South Oak Cliff HS
41,Corey Swiney,S,FR,5-10,186,"Pearland, TX",Shadow Creek HS
86,Kaden Taylor,WR,SO,5-9,160,"Azle, TX",Azle HS / Northwestern Oklahoma State
5,Ridge Texada,CB,JR,5-8,181,"Frisco, TX",Centennial HS / McNeese St.
6,Loronzo Thompson,CB,JR,5-11,169,"Friendswood, TX",Clear Brook HS
38,Christian Traylor,CB,SO,5-8,188,"Arlington, TX",Martin HS
51,Fatafehi Vailea,DL,SO,6-1,282,"Oakland, CA",Desert Pines HS
60,Paula Vaipulu,OL,JR,6-3,300,"Channelview, TX",Channelview HS / Georgia Tech
43,Jax Van Zandt,LB,FR,6-0,219,"Alabaster, AL",Thompson HS
72,Isaiah Villanueva,OL,FR,6-2,279,"Katy, TX",Paetow HS
8,Damon Ward,WR,JR,5-11,210,"Beaumont, TX",West Brook HS
30,Grayson Ward,S,FR,5-6,188,"Aubrey, TX",Aubrey HS
32,Ethan Wesloski,LB,FR,6-1,229,"McKinney, TX",Boyd HS
27,Harold West,S,JR,6-1,188,"Arlington, TX",Lamar HS
93,Drumani West-Asoma,DL,FR,6-3,223,"Mansfield, TX",Mansfield HS
57,Austin Williams,LB,SO,5-11,227,"Irving, TX",Irving HS
4,Dillion Williams,S,SO,5-11,178,"Nacogdoches, TX",Nacogdoches HS
1,Logan Wilson,S,JR,5-10,170,"Dallas, TX",Bishop Dunne HS / K-State / ULM
89,West Wilson,TE,FR,6-1,248,"Allen, TX",Lovejoy HS
21,Kevin Wood,LB,SR,5-10,213,"Converse, TX",Judson HS
35,Chris Wright,DL,SO,6-3,230,"Aledo, TX",Aledo HS
36,Caden Yates,LS,FR,6-1,213,"Argyle, TX",Argyle HS
