No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
7,Ore Adeyi,DB,JR,5-11,185,"Mansfield, TX",Mansfield Legacy
10,Ricky Ahumaraeze,WR,FR,6-4,195,"Liberty, MO",Liberty
47,Luke Akers,P,SR,6-2,190,"Nashville, TN",Ravenwood / UCLA
86,Lawson Albright,TE,JR,6-5,237,"Greensboro, NC",Grimsley
31,Jake Arthurs,RB,SR,5-9,205,"Wheaton, IL",Wheaton-Warrenville South
0,Coco Azema,DB,SR,5-11,205,"Cypress, TX",Langham Creek
13,Preston Bacon,WR,SR,6-2,200,"Oak Hill, VA",The Potomac School
90,Carmine Bastone,DL,JR,6-2,300,"St. Charles, IL",St. Charles North
48,Owen Bergin,LB,SR,5-11,205,"Bloomfield Hills, MI",Detroit Country Day
64,Anthony Birsa,OL,FR,6-5,290,"Plainfield, IL",Joliet Catholic Academy
33,Braydon Brus,LB,SO,6-1,225,"Glendora, CA",Glendora
2,Ben Bryant,QB,SR,6-3,220,"La Grange, IL",Lyons Township / Cincinnati
53,Jaiden Cameron,DL,SR,6-3,260,"Clayton, OH",Northmont
65,Jackson Carsello,OL,JR,6-4,295,"Northbrook, IL",Glenbrook North
29,Marcus Cisco,RB,SR,5-9,200,"Byron Center, MI",Byron Center
45,Cullen Coleman,LB,SR,6-3,240,"Port Chester, NY",Rye Country Day
16,Frank Covey IV,WR,FR,6-1,190,"Mount Prospect, IL",Prospect
51,Miles Crutchley,LB,SO,6-0,220,"Scottsdale, AZ",Saguaro
63,Dom D'Antonio,OL,SR,6-4,295,"Woodstock, GA",Etowah
38,Joe DeHaan,DB,SR,6-1,200,"Tinley Park, IL",Andrew
62,Alex Doost,OL,FR,6-7,295,"Phoenix, AZ",Mountain Ridge
66,Braeden Edwards,OL,JR,6-6,300,"West Des Moines, IA",Valley
87,Jack Fitzgerald,TE,FR,6-4,240,"Wilmette, IL",Loyola Academy
6,Robert Fitzgerald,DB,SO,6-0,205,"Dallas, TX",Jesuit College Prep
93,Brendan Flakes,DL,SO,6-4,280,"Winter Garden, FL",West Orange High
19,Reggie Fleurima,WR,SO,6-2,205,"Naperville, IL",Naperville Central High
79,Zachary Franks,OL,SR,6-6,315,"Baltimore, MD",The Gilman School
0,Cole Freeman,QB,JR,6-0,210,"Summit, NJ",Delbarton School
13,Josh Fussell,DB,FR,6-0,180,"West Chester, OH",Lakota West
32,Bryce Gallagher,LB,SR,6-2,235,"Raynham, MA",St. Sebastian's
54,Tyler Gant,DL,FR,6-3,280,"St. Louis, MO",Christian Brothers College
5,Jacob Gill,WR,JR,6-0,190,"Raleigh, NC",Cardinal Gibbons
