No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
75,Sullivan Absher,OL,FR,6-7,326,"Belmont, NC",South Point
76,Joe Alt,OL,JR,6-8,322,"North Oaks, MN",Totino-Grace
18,Steve Angeli,QB,FR,6-2,211,"Westfield, NJ",Bergen Catholic HS
33,Sam Assaf,RB,SR,6-1,200,"Atlanta, GA",Pace Academy
96,Cole Aubrey,DL,SR,6-1,230,"Laguna Niguel, CA",St. John Bosco/Princeton
19,Marty Auer,S,JR,6-0,200,"Glenview, IL",Loyola Academy
23,Jaiden Ausberry,LB,FR,6-0,224,"Baton Rouge, LA",University Laboratory School
79,Tosh Baker,OL,JR,6-8,317,"Scottsdale, AZ",Pinnacle
84,Kevin Bauman,TE,JR,6-5,256,"Red Bank, NJ",Red Bank Catholic
16,Micah Bell,CB,FR,5-10,173,"Houston, TX",The Kinkaid School
27,JD Bertrand,LB,SR,6-1,233,"Alpharetta, GA",Blessed Trinity
12,Jordan Botelho,DL,SR,6-3,264,"Honolulu, HI",Saint Louis
34,Drayk Bowen,LB,FR,6-2,234,"St. John, IN",Andrean
2,DJ Brown,S,SR,6-1,202,"Annapolis, MD",St. John's College
40,Joshua Burnham,DL,FR,6-4,248,"Traverse City, MI",Traverse City Central HS
4,Antonio Carter II,S,SR,6-0,207,"Orlando, FL",Oak Ridge/Rhode Island
77,Ty Chan,OL,FR,6-5,308,"Lowell, MA",Lawrence Academy
0,Deion Colzie,WR,JR,6-4,210,"McDonough, GA",Athens Academy
78,Pat Coogan,OL,SO,6-5,303,"Palos Heights, IL",Marist
37,Henry Cook,WR,SR,5-10,184,"Shaker Heights, OH",St. Ignatius
52,Zeke Correll,OL,SR,6-3,306,"Cincinnati, OH",Anderson
70,Ashton Craig,OL,FR,6-4,307,"Lawrenceburg, IN",Lawrenceburg HS
56,Howard Cross III,DL,SR,6-1,288,"Paramus, NJ",St. Joseph Regional
16,Dylan Devezin,QB,SO,6-1,222,"New Orleans, LA",St. Augustine
