No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
24,Toby Adensaya,CB,FR,5-10,178,"Ellicott City, MD",Marriots Ridge
0,O'Shaan Allison,RB,SR,5-9,211,"Malvern, PA",Malvern Prep
53,Jay Amburgey,OL,SR,6-6,305,"Reynoldsburg, OH",Reynoldsburg
66,Christophe Atkinson,OL,SR,6-4,318,"Leesburg, VA",Tuscarora
5,Sieh Bangura,RB,SO,6-0,209,"Bowie, MD",Dematha Catholic High School
20,Kendall Bannister,CB,FR,5-11,172,"Woodbridge, VA",Freedom
8,Justin Birchette,CB,SR,5-9,184,"Palm Beach Gardens, FL",Dwyer
28,Shane Bonner,DE,SR,6-0,220,"New Concord, OH",John Glenn
20,Jack Borer,WR,FR,6-2,193,"Perrysburg, OH",Perrysburg
21,Austin Brawley,S,SO,6-0,176,"Massillon, OH",Massillon Washington
18,Major Brown,WR,JR,6-2,216,"Gahanna, OH",Gahanna Lincoln
0,Rayyan Buell,DT,SR,6-3,277,"Hornell, NY",Hornell Senior / Northwest Mississippi CC
14,Bryce Butler,TE,SO,6-2,258,"Bowie, MD",St. John’s College High School
9,Caden Campolieti,LB,SR,6-1,223,"Cleveland, OH",Saint Ignatius
48,Tristan Cox,DT,SO,6-3,270,"Somerset, KY",Pulaski County HS / Purdue
7,Torrie Cox Jr.,CB,SO,5-8,172,"Miami Gardens, FL",| Chaminade-Madonna Preparatory School
91,Jay Crable,DE,FR,6-3,209,"Massillon, OH",Archbishop
19,Miles Cross,WR,JR,6-1,213,"Bowie, MD",Rock Hill High School (S.C.)
89,Khamani Debrow,WR,FR,6-2,189,"Killeen, TX",Ellison HS
77,Jacob Dennison,OL,JR,6-5,316,"Mansfield, OH",Lexington / Jacksonville State
50,Owen DiFranco,DE,FR,6-4,222,"Glen Ellyn, IL",Glenbard South
36,Cam Dorsey,S,JR,6-1,215,"Alpharetta, GA",Alpharetta
23,Desmond Duffy,WR,FR,5-8,189,"Carmel, IN",Carmel
29,Miles Fleming,S,JR,5-11,189,"Columbus, OH",Bishop Hartley HS / Minnesota
86,Tyler Foster,TE,SR,6-7,249,"Pickerington, OH",Pickerington
27,Jack Fries,LB,FR,6-2,210,"Cincinnati, OH",LaSalle
11,Kobi Gorman,DT,FR,6-2,279,"Pickerington, OH",Pickerington Central
88,Caleb Gossett,WR,SO,6-2,202,"Lewis Center, OH",Olentangy / Dayton
73,Joseph Habinowski,OL,JR,6-5,315,"Pembroke Pines, FL",Chaminade-Madonna College Preparatory
46,Chase Hall,LB,FR,6-1,200,"Kitts Hill, OH",Dawson-Bryant
17,Jailen Hammer,WR,JR,6-1,200,"Clackamas, OR",Clackamas HS / Butte College
10,CJ Harris,QB,SR,6-4,220,"West Bloomfield, MI",West Bloomfield
11,Rodney Harris II,WR,FR,6-2,208,"Cincinnati, OH",Princeton High School
81,Bralen Henderson,DT,SO,6-2,276,"Pittsburgh, PA",Central Catholic High School
16,Chase Hendricks,WR,FR,6-0,195,"St. Louis, MO",St. Mary's
41,Creed Hill,CB,FR,5-10,170,"Medina, OH",Highland
83,Christian Hilton,WR,SO,6-1,200,"Granville, OH","Granville, HS / Citadel"
31,Justin Holloway,LS,SR,6-3,206,"Venice, FL",Venice
32,Bryce Houston,LB,SR,6-0,246,"Lewis Center, OH",Olentangy Orange
25,KJ Howard,WR,JR,5-7,167,"Cincinnati, OH",LaSalle / Hocking College
28,Rickey Hunt,RB,FR,5-11,203,"Oklahoma City, OK",Millwood
41,Devon Hunter,RB,SO,5-11,205,"Avon, OH",Avon / Ball State
6,Dontay Hunter II,DE,SR,6-4,261,"Westerville, OH",Westerville Central / Purdue
52,Dane Jackson,OL,JR,6-0,290,"Berea, KY",Madison Southern HS / North Texas
71,Aidan Johnson,OL,FR,6-3,316,"Elkridge, MD",Good Counsel
30,Ben Johnson,S,SR,6-3,205,"Pickerington, OH",Pickerington North
8,Jacoby Jones,WR,SR,6-3,228,"Tunica, MS",NW Mississippi CC
55,Jordon Jones,DT,FR,6-3,297,"Ashland, KY",Paul G. Blazer
87,Will Kacmarek,TE,SO,6-6,256,"St. Louis, MO",Mary Institute and Saint Louis Country Day School
37,Xander Karagosian,S,FR,6-1,201,"Jackson, OH",Alexander and Jackson
47,Alex Kasee,K,FR,6-2,161,"Sylvania, OH",Sylvania Northview
92,RJ Keuchler,DT,FR,6-5,268,"Pickerington, OH",Pickerington Central HS
23,Ryan Logan,DE,SO,6-7,236,"Vandalia, OH",Vandalia-Butler / Hocking College
90,Geo Loya,LB,SO,6-2,200,"Macedonia, OH",Nordonia HS / Hocking College
31,Andrew Marshall,LB,FR,6-3,226,"Carroll, OH",Bloom Carroll
5,Rodney Mathews,DT,SR,6-2,310,"Memphis, TN",Craigmont / Hutchinson Community College
16,Chris Mayfield,DT,JR,6-3,279,"Hilliard, OH",Hilliard Bradley / Michigan State
21,Nolan McCormick,RB,SO,5-11,214,"Mason, OH",William Mason
80,Ryan McDole,WR,FR,6-4,210,"Cincinnati, OH",Turpin
95,Dane Middlebrook,DT,JR,6-0,330,"Indianapolis, IN",Brownsburg
97,Austin Mitchell,DT,FR,6-2,245,"Avon, OH",Avon
25,Michael Molnar,LB,FR,6-3,213,"Mason, OH",Mason
10,John Motton,S,SO,5-10,207,"Groveport, OH",Groveport-Madison High School
13,Parker Navarro,QB,SR,6-0,203,"Tempe, AZ",Desert Vista / UCF
98,Danny Novickas,DE,FR,6-3,228,"Chigago, IL",Mt. Carmel
54,Joe Oakes,OL,SR,6-4,289,"Cincinnati, OH",Indian Hill
2,Nife Oseni,S,JR,5-9,195,"Rolling Meadows, IL",Rolling Meadows
4,Roman Parodie,CB,JR,6-2,194,"Fort Lauderdale, FL",Cardinal Gibbons
15,David Patterson,DE,SO,6-2,230,"Lilburn, GA",Parkview High School
12,Tank Pearson,CB,JR,5-9,171,"Oxford, MS",Northwest Mississippi Community College
6,Quintell Quinn,RB,SO,6-1,217,"Columbus, OH",St. Francis DeSales High School
26,Walter Reynolds,S,SR,6-1,196,"Detroit, MI",Detroit Jesuit / Holy Cross
64,Shedrick Rhodes Jr.,OL,JR,6-6,322,"McDonough, GA",Eagle's Landing Christian Academy
84,Aramoni Rhone,WR,SO,6-5,196,"Orlando, FL",Plant City High School
7,Kurtis Rourke,QB,SR,6-5,231,"Oakville, Canada",Holy Trinity
18,Bailey Russ,S,SO,6-2,204,"Cuyahoga Falls, OH",Walsh Jesuit
39,Mekah Ryder,CB,SO,6-2,181,"McKinney, TX",McKinney High School
19,Kadin Schmitz,DE,FR,6-1,223,"Ashland, OH",Ashland / Naval Academy Prep
13,Kaci Seegars,DE,SO,6-2,241,"Charlotte, NC",Liberty
33,Brady Sestilli,LB,FR,6-4,186,"Delaware, OH",Dublin Jerome
75,Jarian Shelby,OL,FR,6-4,284,"Luling, LA",Hahnville High School
65,Jake Skelly,OL,SO,6-4,284,"Columbus, OH",Bishop Harley High School
56,Hark Sohi,OL,SO,6-7,278,"Solon, OH",Solon HS / LIU
44,Gianni Spetic,K,FR,6-3,201,"Chardon, OH",Notre Dame Cathedral Latin
34,Dylan Stevens,LB,JR,5-10,206,"Powell, OH",Olentangy Liberty
93,Lukas Stiles,LB,FR,-,228,"Wadsworth, OH",Highland
81,Matthew Stuewe,WR,FR,6-2,192,"Avon Lake, OH",Avon Lake
14,Kwame Sutton,DE,SR,6-0,244,"Gaffney, SC",Austin Peay
35,Shay Taylor,LB,SO,6-3,218,"Mount Perry, OH",Sheridan High School
49,Jalen Thomeson,S,FR,5-11,181,"Greenwood, IN",Center Grove
38,Keye Thompson,LB,SR,6-1,239,"Barberton, OH",Barberton
69,Parker Titsworth,OL,SR,6-1,298,"Wexford, PA",North Allegheny
42,DJ Walker,S,FR,6-1,171,"Aliquippa, PA",Aliquippa
4,Tyler Walton,WR,SR,5-10,187,"St. Louis, MO",Christian Brothers
17,Vonnie Watkins,DE,SR,6-4,238,"Lusby, MD",Patuxent
51,Davion Weatherspoon,OL,SO,6-0,295,"Harper Woods, MI",Harper Woods High School
94,Bradley Weaver,DE,SO,6-4,268,"Hilliard, OH",Hilliard Darby High School
24,Jared Wheatley,P,SR,6-1,202,"Indian Trail, NC",Porter Ridge / Vanderbilt
12,Sam Wiglusz,WR,SR,6-0,183,"Brecksville, OH",Brecksville / Ohio State
3,Keegan Wilburn,WR,SR,5-10,183,"Nelsonville, OH",Nelsonville-York
40,Gino Williams,DL,FR,6-0,260,"Pickerington, OH",Pickerington Central HS
85,Mason Williams,TE,FR,6-5,252,"Mogadore, OH",Mogadore
22,Adonis Williams Jr.,S,SO,6-2,202,"South Euclid, OH",Cleveland Heights / Naval Academy Prep School
43,Jack Wilson,P,JR,5-11,224,"Lancefield, Australia",Gisborne Secondary College (ProKick Australia)
48,Aginon Wilson Jr.,RB,FR,5-10,203,"Cleveland, OH",Cleveland Heights
15,Jacob Winters,QB,FR,6-2,226,"Jackson, OH",Jackson
9,Callum Wither,QB,FR,6-4,205,"Mississauga, Canada",Clarkson Football North
3,Jeremiah Wood,S,SR,6-1,210,"Pickerington, OH",Pickerington Central
99,Joey Woolard,DT,JR,6-1,295,"Grove City, OH",Grove City
