No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
85,Tykie Andrews,WR,FR,6-1,185,"Enid, OK",Enid
57,Ryan Baker,DE,JR,6-3,235,"Cashion, OK",Cashion
69,Evan Bax,OL,FR,6-4,280,"East Cobb, GA",Walton
24,De’kelvion Beamon,CB,SO,6-0,203,"Shreveport, LA",Huntington
1,Xavier Benson,LB,SR,6-2,224,"Texarkana, TX",Pleasant Grove / Texas Tech / Tyler Junior College
67,Cole Birmingham,OL,SR,6-5,325,"Katy, TX",Katy
2,Korie Black,CB,SR,6-0,185,"Waco, TX",Connally
41,Constantino Borrelli,LB,JR,5-11,220,"Ramsey, NJ",Don Bosco Prep
7,Alan Bowman,QB,SR,6-4,209,"Grapevine, TX",Grapevine / Texas Tech / Michigan
5,Jaden Bray,WR,SO,6-2,200,"Norman, OK",Norman
73,Jason Brooks Jr.,OL,JR,6-4,298,"Houston, TX",Dobie / Vanderbilt
87,DeSean Brown,DE,FR,6-3,254,"Choctaw, OK",Choctaw
32,Gabe Brown,LB,FR,6-2,224,"Stillwater, OK",Stillwater
20,DeSean Buckner,CB,JR,6-0,205,"Pine Bluff, AR",White Hall
83,Cale Cabbiness,WR,JR,6-2,200,"Norman, OK",Norman North
87,Cason Cabbiness,WR,FR,6-2,175,"Norman, OK",Norman North
90,Braden Cassity,FB,SR,6-2,241,"Austin, TX",Westlake
93,Collin Clay,NT,SR,6-3,310,"Oklahoma City, OK",Putnam City / Arkansas
31,Chance Clements,LB,FR,6-2,207,"Stillwater, OK",Stillwater
24,Elijah Collins,RB,SR,6-0,220,"Detroit, MI",University of Detroit Jesuit / Michigan State
71,Dalton Cooper,OL,SR,6-7,311,"Prague, OK",Prague / Texas State
45,Justin Crutchmer,LB,FR,6-0,180,"Pearcy, AR",Lake Hamilton
5,Kendal Daniels,S,SO,6-4,213,"Beggs, OK",Beggs
88,Landon Dean,DE,FR,6-5,270,"Frontenac, KS",Frontenac
31,Jaxon Deason,WR,FR,5-10,170,"San Antonio, TX",Central Catholic
25,Hudson Devins,RB,FR,5-11,205,"Berea, OH",Berea-Midpark
78,Davis Dotson,OL,FR,6-6,301,"Tulsa, OK",Berryhill
48,Bryce Drummond,TE,SO,6-3,219,"Pawhuska, OK",Pawhuska / North Texas
54,Marcus Duckworth,NT,JR,6-1,300,"North Richland Hills, TX",Birdville
86,Ian Edenfield,TE,SR,6-5,272,"Uniontown, PA",Laurel Highlands / California (PA)
57,Osker Ehrlich,LS,FR,6-3,200,"Stillwater, OK",Stillwater
70,Jack Endean,OL,FR,6-6,297,"Tucson, AZ",Tanque Verde
7,Cameron Epps,S,FR,6-3,208,"St. Louis, MO",Chaminade
25,Ike Esonwune,LB,FR,6-2,215,"Austin, TX",Manor
6,Zane Flores,QB,FR,6-3,200,"Gretna, NE",Gretna
91,Jaedon Foreman,DE,FR,6-5,250,"Del City, OK",Del City
12,Kam Franklin,S,FR,6-2,190,"Oak Grove, LA",Oak Grove
44,Shea Freibaum,LS,FR,6-1,200,"Scottsdale, AZ",Saguaro
27,Raymond Gay II,S,SO,5-10,180,"Red Oak, TX",Red Oak
84,Mason Gilkey,WR,FR,6-3,175,"Pawhuska, OK",Pawhuska
94,Anthony Goodlow,DE,SR,6-5,283,"Del City, OK",Del City / Tulsa
0,Ollie Gordon II,RB,SO,6-1,211,"Fort Worth, TX",Euless Trinity
8,Blaine Green,WR,SO,6-1,220,"Allen, TX",Allen
12,Gunnar Gundy,QB,SO,6-1,200,"Stillwater, OK",Stillwater
19,Alex Hale,K,SR,6-0,205,"Point Frederick, Australia",St. Edward's
51,Bo Hardy,LB,JR,5-11,213,"Piedmont, OK",Piedmont
23,Kenneth Harris,CB,SR,6-0,193,"Columbia, LA",Caldwell Parish / Arkansas State
72,Calvin Harvey,OL,FR,6-8,345,"Houston, TX",Ridge Point
81,Camron Heard,WR,FR,6-0,160,"Houston, TX",Furr
64,Jarrett Henry,OL,SO,6-6,310,"Palestine, TX",Palestine / Trinity Valley CC
37,Isreal Isuman-Hundley,DE,SR,6-5,257,"Colleyville, TX",Heritage
95,Jaleel Johnson,DE,FR,6-4,244,"Oklahoma City, OK",Putnam City North
16,Josiah Johnson,TE,SR,6-5,235,"Jacksonville, FL",Bolles School / UMass
17,Leon Johnson III,WR,SR,6-5,215,"Bothell, WA",Bothell / George Fox
29,Hudson Kaak,P,FR,6-1,222,"Seymour, Australia",ProKick Australia
51,Austin Kawecki,OL,FR,6-5,281,"Frisco, TX",Lebanon Trail
52,Garrett Keith,OL,FR,6-4,275,"Ardmore, OK",Plainview
71,Aden Kelley,NT,SO,6-2,295,"Thomas, OK",Thomas-Fay-Custer
97,Justin Kirkland,NT,SO,6-4,346,"Roy, UT",Roy / Utah Tech
29,Cooper Lai,S,FR,6-1,180,"Tulsa, OK",Cascia Hall
92,Nathan Latu,DE,SR,6-4,265,"Salt Lake City, UT",Olympus / Snow College
13,RJ Lester,CB,FR,6-1,175,"Fort Smith, AR",Northside
58,Viliami Makahununiu,OL,FR,6-4,304,"Norman, OK",Norman
65,Hilton Marsh,OL,SO,6-0,275,"Keller, TX",Keller
40,Garrick Martin,S,JR,6-0,182,"Stillwater, OK",Stillwater / Emporia State
4,Nickolas Martin,LB,SO,6-0,215,"Texarkana, TX",Pleasant Grove
53,Andrew McCall,LB,FR,6-0,209,"Atoka, OK",Atoka
47,Luke McEndoo,FB,SO,6-1,256,"Stillwater, OK",Stillwater
8,D.J. McKinney,CB,FR,6-2,190,"Colleyville, TX",Colleyville Heritage
