No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
34,Adepoju Adebawore,DL,FR,6-4,240,"Kansas City, MO",North Kansas City HS
57,Gunnar Allen,OL,FR,6-0,296,"Aledo, TX",Aledo HS
50,Ben Anderson,LS,FR,6-5,234,"Charlotte, NC",Charlotte Latin School
69,Nate Anderson,OL,JR,6-4,309,"Frisco, TX",Rick Reedy HS
4,Nic Anderson,WR,FR,6-4,207,"Katy, TX",Katy HS
5,Andrel Anthony,WR,JR,6-1,190,"Lansing, MI",East Lansing HS / University of Michigan
10,Jackson Arnold,QB,FR,6-1,216,"Denton, TX",Guyer HS
2,Jovantae Barnes,RB,SO,6-0,207,"Las Vegas, NV",Desert Pines HS
64,Joshua Bates,OL,FR,6-3,315,"Durango, CO",Durango HS
62,Drew Batt,OL,FR,6-7,274,"Turpin, OK",Turpin HS
11,Davis Beville,QB,SR,6-6,226,"Greenville, SC",University of Pittsburgh
14,General Booty,QB,SO,6-2,191,"Allen, TX",Tyler Junior College
80,Rondell Bothroyd,DL,SR,6-3,273,"Manchester, CT",E.O. Smith / Wake Forest University
22,Peyton Bowen,DB,FR,6-0,198,"Denton, TX",Guyer HS
2,Billy Bowman Jr.,DB,JR,5-10,192,"Denton, TX",Ryan HS
98,Hayden Bray,TE,SO,6-4,277,"Austin, TX",Westlake HS
85,Trey Brown,WR,FR,5-9,175,"Nashville, TN",Christ Presbyterian Academy
6,LV Bunkley-Shelton,WR,JR,5-11,197,"Compton, CA",Arizona State University
59,Savion Byrd,OL,SO,6-5,296,"Cedar Hill, TX",Duncanville HS
29,Casen Calmus,DB,FR,5-10,190,"Brentwood, TN",Brentwood Academy
97,Kyle Carlson,LB,FR,6-3,202,"Dallas, TX",Highland Park HS
20,Lewis Carter,LB,FR,6-0,215,"Tampa, FL",Tampa Catholic HS
94,Isaiah Coe,DL,SR,6-2,311,"Homewood, IL",Iowa Western CC
21,Braylon Colgrove,RB,FR,5-8,170,"Providence Village, TX",Aubrey HS
47,Cooper Cookson,LB,FR,5-11,187,"Oklahoma City, OK",Heritage Hall HS
86,Patrick Cromer,WR,FR,5-6,148,"Rome, GA",Rome HS
