No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
91,Thomas Aden,DL,FR,6-1,280,"Lakewood, OH",St. Edward
85,Josh Altsman,TE,FR,6-3,245,"Zelienople, PA",Pittsburgh Central Catholic
63,Matt Altsman,OL,JR,6-0,285,"Zelienople, PA",Pittsburgh Central Catholic
48,Matthew Amofa,DB,FR,5-10,180,"Hillsborough, NJ",Hillsborough
54,Trey Andersen,OL,SO,6-6,300,"Eagle Mountain, UT",Lehi
16,Jesse Anderson,DB,FR,6-0,170,"Fort Lauderdale, FL",Cardinal Gibbons
70,Ryan Baer,OL,FR,6-7,330,"Eastlake, OH",North
86,Gavin Bartholomew,TE,JR,6-5,250,"Schuylkill Haven, PA",Blue Mountain
20,Jordan Bass,LB,FR,6-4,215,"Hampton, VA",Phoebus
15,Rashad Battle,DB,JR,6-3,210,"Atlanta, GA",Creekside
54,Dylan Bennett,LB,SO,6-3,235,"Montoursville, PA",Montoursville
92,Tyler Bentley,DL,SR,6-2,300,"West Chester, OH",Lakota West
28,Noah Biglow,DB,SO,5-11,180,"Wesley Chapel, FL",Armwood
31,Rasheem Biles,LB,FR,6-1,215,"Pickerington, OH",Pickerington Central
57,Bam Brima,DL,SR,6-5,270,"Worcester, MA",Loyalsock Township (PA)
34,Cruce Brookins,DB,FR,6-2,180,"Pittsburgh, PA",Steel Valley
77,Jackson Brown,OL,FR,6-6,305,"Danville, CA",San Ramon Valley
40,Antonio Camon,DL,FR,6-2,245,"Tampa, FL",Tampa Bay Tech
45,Dante Caputo,DB,SR,5-11,190,"Wexford, PA",North Allegheny
94,Sam Carpenter,PK,FR,5-11,180,"Foxborough, MA",Foxborough
71,Ryan Carretta,OL,FR,6-5,300,"Galena, OH",St. Charles Prep
4,Daniel Carter,RB,SR,5-10,230,"Margate, FL",St. Thomas Aquinas
50,Jason Collier Jr.,OL,SR,6-6,330,"West Deptford, NJ",West Deptford
40,Addison Copeland III,WR,FR,6-2,180,"Buffalo, NY",Western New York Maritime Charter
15,Tamarion Crumpley,DB,SO,6-1,195,"Cincinnati, OH",Winton Woods
95,Devin Danielson,DL,SR,6-2,290,"Pittsburgh, PA",Thomas Jefferson
34,Derrick Davis Jr.,RB,SO,6-0,210,"Pittsburgh, PA",Gateway
23,Solomon DeShields,LB,JR,6-3,225,"Millville, NJ",Millville Senior
29,Luke DelGaudio,LB,JR,6-2,220,"Shavertown, PA",Dallas
12,M.J. Devonshire,DB,SR,5-11,190,"Aliquippa, PA",Aliquippa
14,Ty Dieffenbach,QB,FR,6-6,210,"Calabasas, CA",Agoura
94,Elliot Donald,DL,SO,6-3,280,"Pittsburgh, PA",Pittsburgh Central Catholic
74,Terrence Enos Jr.,OL,SO,6-4,320,"Redford, MI",Cass Technical
7,Malcolm Epps,TE,SR,6-6,255,"Houston, TX",Dekany
96,Franco Fernandez-Enjo,PK,FR,5-10,160,"Glenview, IL",Glenbrook South
93,James Fineran,LS,SO,6-5,235,"Towson, MD",Calvert Hall College H.S.
55,Sean FitzSimmons,DL,FR,6-3,290,"Monaca, PA",Central Valley
24,C'Bo Flemister,RB,SR,5-11,205,"Williamson, GA",Pike County
49,Byron Floyd,LS,JR,6-1,245,"Mentor, OH",Mentor
51,Dorien Ford,OL,SO,6-4,325,"Pittsburgh, PA",Baldwin
51,Drew Foster,LB,FR,6-2,220,"Austin, TX",Hyde Park Baptist
23,Zion Fowler-El,WR,FR,6-0,190,"Jersey City, NJ",St. Peter's Prep
17,Jake Frantl,QB,SO,6-0,205,"Erin, WI",Hartford Union
66,George French II,OL,JR,6-8,315,"Bethlehem, PA",Bethlehem Catholic
10,Ryland Gandy,DB,FR,6-0,180,"Buford, GA",Buford
30,Brandon George,LB,SR,6-3,245,"Reading, PA",Berks Catholic
41,John Glenn,DB,FR,5-11,195,"Decatur, GA",Woodward Academy
76,Matt Goncalves,OL,SR,6-6,330,"Manorville, NY",Eastport-South Manor
