No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
2,Ife Adeyi,WR,JR,5-10,175,"Mansfield, TX",Legacy HS
12,Donovan Adkins,DB,JR,6-0,200,"Kilgore, TX",Kilgore HS
80,Lonnie Adkism,WR,FR,6-1,185,"Wichita, KS",Corpus Christi Miller HS (TX)
7,Emon Allen,DB,SO,5-9,180,"Austin, TX",Vista Ridge HS
96,Matthew Aribisala,DL,SO,6-3,290,"Cedar Hill, TX",Cedar Hill HS / Air Force Prep
2,Da'Veawn Armstead,DB,JR,6-1,185,"Baton Rouge, LA",Central HS / TCU
24,Savien Arnett,DB,SO,5-11,175,"Dickinson, TX",Dickinson HS
83,Tyler Bailey,WR,FR,6-0,195,"Prosper, TX",Prosper HS
61,Noah Barboza,DL,SR,6-1,310,"Spring, TX",Concordia Lutheran HS / Southern Nazarene
56,Ajani Batts,DL,SO,6-2,300,"Houston, TX",Nimitz HS / Sul Ross
73,MarKendrick Beall,OL,JR,6-4,330,"Longview, TX",Tatum HS / Tyler JC
31,Darrick Bladsoe III,WR,FR,5-9,185,"Arlington, TX",Lamar HS
13,Tristan Brady,ATH,SO,6-3,205,"Magnolia, TX",Magnolia West HS
32,Jadarius Brown,DB,FR,6-0,180,"Willis, TX",Willis HS
34,Landan Brown,RB,FR,5-11,215,"Denton, TX",Denton HS
43,Jadon Cardell,K,SO,6-0,205,"Cedar Hill, TX",Cedar Hill HS
88,Marcus Collins,TE,SO,6-3,250,"Magnolia, TX",Magnolia West HS
28,Charles Crawford III,RB,SO,5-10,180,"Mesquite, TX",Horn HS
25,Da'Marcus Crosby II,DB,JR,6-2,195,"Houston, TX",Humble HS / Kilgore College
71,James Dawn II,OL,SO,6-4,315,"New Braunfels, TX",New Braunfels HS
79,Kolt Dieterich,OL,FR,6-6,300,"Riesel, TX",Riesel HS
4,Isaiah Downes,DB,SR,6-0,180,"Stockton, CA",Lincoln HS / College of San Mateo
91,Andrew Edmonson,DL,FR,6-2,265,"The Woodlands, TX",College Park HS
36,Elias Escobar,DB,JR,5-11,195,"Hayward, CA",Mountain House HS / Laney College
16,Simeon Evans,ATH,SO,6-1,200,"Mansfield, TX",Timberview HS / Army
6,Trey Fields,LB,SO,6-0,215,"Danciger, TX",Sweeny HS
5,David Fisher,DB,SO,6-0,180,"Houston, TX",Pearland Dawson HS
30,Darien Flynn,LB,JR,6-0,205,"Houston, TX",Pearland Dawson HS
65,Easton Fulton,OL,FR,6-3,310,"Rosebud, TX",Rosebud-Lott HS
92,Jayden Gaines,DL,FR,6-2,280,"Houston, TX",Westside HS
14,Kavian Gaither,LB,JR,6-0,215,"Waco, TX",Connally HS
54,Forest Gatlin,LB,FR,6-1,235,"Mesquite, TX",Mesquite HS
9,John Gentry,RB,SO,5-11,205,"Houston, TX",North Shore / Utah State
11,Sylas Gomez,QB,FR,6-2,200,"San Antonio, TX",Central Catholic HS
8,Grant Gunnell,QB,SR,6-6,220,"The Woodlands, TX",St. Pius X HS / Arizona / Memphis / North Texas
57,Ethan Hagler,OL,JR,6-2,305,"Cove, TX",Barbers Hill HS / Blinn College
36,Garret Hagler,RB,FR,5-10,225,"Cove, TX",Barbers Hill HS
46,Thomas Hathorn,LS,SR,6-1,245,"Spring, TX",Klein Oak HS / Henderson State
44,Briceon Hayes,DL,SO,6-3,240,"Huntsville, TX",Huntsville HS
23,Dakerric Hobbs,DB,JR,6-0,195,"Conroe, TX",Conroe HS / Kilgore College
