No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Dean Abdullah,OL,JR,6-4,290,"Antelope, CA",Antelope High / American River College
99,Tupu Alualu,DL,JR,6-1,275,"Honolulu, HI",Moanalua High / Mt. SAC
42,Brady Anderson,LB,SO,6-2,230,"Bakersfield, CA",Liberty High
2,Jaylon Armstead,RB,JR,5-11,215,"Los Angeles, CA",Serra High
4,Liu Aumavae,QB,FR,6-3,205,"Waldorf, MD",Timpview High (Utah)
2,Noah Avinger,CB,JR,6-1,190,"Cerritos, CA",Servite High
74,Drew Azzopardi,OL,FR,6-7,315,"Pacifica, CA",Junipero Serra High
3,Cedarious Barfield,S,SR,5-11,195,"El Paso, TX",El Dorado High
77,Briley Barron,OL,FR,6-4,310,"Texarkana, TX",Texas High
15,Tayvion Beasley,CB,SO,5-11,170,"Inglewood, CA",St. John Bosco High / Jackson State/Colorado
60,Cade Bennett,OL,JR,6-3,305,"Scottsdale, AZ",Notre Dame Prep / Oklahoma State
17,Tyson Berry,WR,FR,5-8,170,"Tyler, TX",Chapel Hill High
13,Martin Blake,RB,SO,5-6,205,"Las Vegas, NV",Canyon Springs High
12,Dallas Branch,CB,SR,5-11,180,"Redondo Beach, CA",Salesian High / Long Beach City College
66,Sinn Brennan,DL,FR,6-5,215,"Honolulu, HI",Los Alamitos High (Calif.))
80,Baylin Brooks,WR,FR,6-2,195,"Pasadena, CA",Pasadena High
42,Pierce Brown,WR,FR,6-0,170,"Irvine, CA",IMG Academy (Fla.)
13,Jack Browning,K,SR,5-11,190,"Lakeside, CA",West Hills HS / Grossmont College
37,DJ Bryant,S,SO,6-0,190,"Oakland, CA",San Leandro High
34,Eric Butler,S,SO,6-1,185,"Corona, CA",Centennial High
20,Sheldon Canley II,RB,FR,5-10,175,"Lompoc, CA",Lompoc High
31,Davaughn Celestine,S,SR,6-0,190,"Placentia, CA",El Dorado High
64,Tyson Chavez,LS,FR,6-2,235,"San Marcos, CA",Mission Hills High
23,Kenan Christon,RB,SR,5-10,190,"San Diego, CA",Madison High / USC
33,JD Coffey III,S,JR,6-0,190,"Kennedale, TX",Kennedale High / Texas
61,Brandon Crenshaw-Dickson,OL,SR,6-6,310,"Inglewood, CA",Narbonne High
9,Kyle Crum,QB,FR,6-3,205,"Norco, CA",Norco High
97,Darrion Dalton,DL,SO,6-3,275,"Apple Valley, MN",Saguaro High (Ariz.)
29,Cam Davis,RB,SO,5-8,180,"Dallas, TX",South Oak Cliff High
84,Darius De Los Reyes,WR,JR,5-9,175,"San Diego, CA",Lincoln High
41,Max Difilippo,TE,JR,6-5,235,"San Juan Capistrano, CA",San Juan Hills High / Orange Coast College
75,Ryan Dirksen,OL,SO,6-6,305,"Vancouver, WA",Central Catholic High / Butte College
45,Wyatt Draeger,DL,SR,6-4,270,"Reno, NV",Reno High
69,Gage Dutcher,OL,FR,6-2,285,"Westlake Village, CA",Oaks Christian High
38,Arnold Escano,CB,SO,5-10,175,"San Diego, CA",Olympian High / Southwestern College
