No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
85,CJ Adams,WR,FR,6-2,215,"Mableton, GA",Pebblebrook
24,Mario Anderson,RB,SR,5-9,208,"Summerville, SC",Stratford / Newberry
58,Markee Anderson,OL,FR,6-4,302,"Roebuck, SC",Dorman
48,Peyton Argent,PK,FR,6-2,203,"Hoover, AL",Hoover
51,Tree Babalade,OL,FR,6-5,338,"Hyattsville, MD",DeMatha Catholic
15,Tanner Bailey,QB,FR,6-1,215,"Gordo, AL",Gordo
13,Kajuan Banks,DB,SO,5-10,173,"Tallahassee, FL",Godby
93,Nick Barrett,DT,JR,6-3,327,"Goldsboro, NC",Eastern Wayne
78,Trovon Baugh,OL,FR,6-4,337,"Atlanta, GA",Pace Academy
30,Jace Blackshear,DB,FR,5-8,168,"Hilton Head, SC",Hilton Head Christian Academy
89,O'Mega Blake,WR,SO,6-2,180,"Rock Hill, SC",South Pointe
52,Stone Blanton,LB,SO,6-2,232,"Jackson, MS",Madison-Ridgeland Academy
23,Djay Braswell,RB,FR,5-11,204,"Sandersville, GA",Washington County
10,Ahmarean Brown,WR,SR,5-9,169,"Tampa., FL",Jefferson / Georgia Tech
44,Maurice Brown II,TE,FR,6-4,237,"Upper Marlboro, MD",C.H. Flowers
73,Ryan Brubaker,OL,FR,6-6,304,"Stevens, PA",Cocalico
45,Colin Bryant,LB,SO,6-3,225,"Mount Pleasant, SC",Wando / Alabama
43,Joseph Byrnes,DB,SO,6-0,193,"Camden, SC",Camden
14,Elijah Caldwell,WR,FR,6-1,191,"Rock Hill, SC",Northwestern
41,Andrew Colasurdo,LB,SO,6-1,237,"Inman, SC",Chapman
20,Judge Collier,DB,FR,6-1,193,"Rock Hill, SC",Legion Collegiate Academy
18,Connor Cox,TE,FR,6-5,225,"Jacksonville, FL",The Bolles School
11,Elijah Davis,DL,JR,6-3,289,"Wagener, SC",Wagener-Salley / East Mississippi C.C.
4,Terrell Dawkins,EDG,SR,6-4,251,"Concord, NC",Cox Mill / NC State
6,Marcellas Dial,DB,SR,6-0,195,"Woodruff, SC",Woodruff / Georgia Military
9,Luke Doty,QB,JR,6-1,209,"Myrtle Beach, SC",Myrtle Beach
32,Bradley Dunn,RB,JR,5-9,203,"Columbia, SC",Hammond School
84,Nick Elksnis,TE,SO,6-6,251,"Jacksonville, FL",Episcopal / Florida
21,Nick Emmanwori,DB,SO,6-3,220,"Irmo, SC",Irmo
8,Emory Floyd,DB,FR,6-1,181,"Marietta, GA",Hillgrove
27,King-Demenian Ford,DB,JR,6-2,209,"Blythewood, SC",Blythewood
3,O'Donnell Fortune,DB,JR,6-1,185,"Sumter, SC",Sumter
49,Jordan Franke,LS,FR,5-11,205,"Verona, WI",Verona
77,Sidney Fugar,OL,SO,6-5,327,"Waldorf, MD",St. Thomas More Academy / Western Illinois
69,Nick Gargiulo,OL,SR,6-5,327,"Yorktown Heights, NY",Somers / Yale
4,Colten Gauthier,QB,SO,6-3,208,"Bethlehem, GA",Hebron Christian Academy
12,Jatius Geer,EDG,SO,6-6,243,"Anderson, SC",Belton-Honea Path / Syracuse
17,DeAngelo Gibbs,DB,SR,6-1,225,"Oxford, GA",Grayson High School / Tennessee
36,B.J. Gibson,DB,SR,6-4,219,"Marietta, GA",Walton / Navy
26,Landon Grier,DB,JR,5-9,161,"Fort Lauderdale, FL",St. Thomas Aquinas
8,Nyck Harbor,WR,FR,6-5,241,"Washington, DC",Archbishop Carroll
26,Nathan Harris-Waynick,RB,SO,5-10,200,"Sumter, SC",Sumter
88,Will Helmadollar,TE,FR,6-3,225,"Columbia, SC",Ben Lippen
91,Tonka Hemingway,DT,SR,6-3,285,"Conway, SC",Conway
