No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
31,Duke Arnold,SAF,JR,5-10,185,"Madison, MS",Madison Central HS / Holmes CC
66,Kamron Barnes,OL,FR,6-5,320,"Fayette, MS",Adams County Christian
64,Kyron Barnes,OL,SO,6-4,316,"Fayette, MS",Adams County Christian
95,Quentin Bivens,DT,SR,6-3,305,"Waynesboro, MS",Wayne County HS / Ole Miss
77,John Bolding,OL,SR,6-3,332,"Spring, TX",Klein Oak HS / Coffeeville CC
94,Kristin Booth,DE,JR,6-3,260,"Oxford, AL",Oxford HS
28,Swayze Bozeman,LB,SR,6-2,225,"Flora, MS",Tri-County Academy / Copiah-Lincoln CC
67,Drew Brewer,OL,FR,6-2,300,"Purvis, MS",Purvis HS
52,Ethan Bumgarner,OL,SO,6-4,315,"West Point, MS",Heritage Academy / Northwest Mississippi CC
29,Kevin Burns,WR,FR,6-0,169,"Point Pleasant Beach, NJ",Point Pleasant Beach HS
40,Ryder Burns,LS,FR,6-2,210,"Lake Cormorant, MS",Lake Cormorant HS
82,Javieon J.J. Butler,WR,FR,6-5,207,"Forest, MS",Scott Central HS
45,Mitchell Butler,TE,FR,6-4,235,"Meridian, MS",Northeast Lauderdale HS
9,Kolbe Cage,LB,SO,6-0,215,"New Orleans, LA",Holy Cross / Arizona
27,Ja'Kobe Cameron,SAF,SO,6-0,160,"Bay St. Louis, MS",Saint Stanislaus College
2,"Micheal Caraway, Jr.",CB,JR,6-2,195,"Bassfield, MS",Jefferson Davis County HS / Pearl River CC
18,"Josh Carr, Jr.",JCK,SR,6-4,245,"Houston, TX",Westfield HS / Southeastern Louisiana
91,Kyler Carter,DL,SO,6-3,270,"Noxapater, MS",Noxapater HS / Northeast Mississippi CC
1,Jakarius Caston,WR,SR,6-0,205,"Natchez, MS",Adams County Christian / Hinds CC
33,Cole Cavallo,TE,SR,6-2,235,"Slidell, LA",Northshore HS
61,"Gabe Cavazos, Jr.",OL,SO,6-6,303,"Lake Cormorant, MS",Lake Cormorant HS / Mississippi State
0,Rodrigues Dreke Clark,RB,JR,5-10,200,"Starkville, MS",Starkville HS / Memphis
5,Kenyon Clay,RB,FR,6-1,220,"Union, MS",Union HS
8,Jalil Clemons,JCK,JR,6-3,240,"Macon, MS",Starkville HS / Memphis
