No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
32,Brant Ahlfinger,RB,FR,5-10,223,"Fort Worth, TX",All Saints' Episcopal School
14,DJ Allen,WR,FR,5-11,205,"Gladewater, TX",Gladewater High School
89,Stayton Ankrom,WR,FR,6-2,201,"San Antonio, TX",Reagan High School
10,Thomas Armstrong,LB,JR,6-3,235,"Hollywood, FL",Chaminade-Madonna College Preparatory
9,Emani Bailey,RB,JR,5-9,207,"Denton, TX",Ryan High School / Louisiana
27,Jordyn Bailey,WR,FR,5-10,170,"Denton, TX",Ryan High School
43,Blake Baldwin,LB,SO,6-0,220,"Clovis, CA",Clovis East High School
0,Shad Banks Jr.,LB,JR,6-1,250,"Houston, TX",North Shore High School / Texas A&M
17,Trent Battle,RB,SO,6-1,210,"Daphne, AL",Daphne High School
19,Jonathan Bax,LB,FR,6-3,235,"New Orleans, LA",Edna Karr High School
18,Jack Bech,WR,JR,6-2,220,"Lafayette, LA",St. Thomas More High School / LSU
11,Chace Biddle,S,SO,6-0,207,"Garland, TX",Garland High School
97,Easton Black,PK,FR,6-3,195,"Peoria, AZ",Sunrise Mountain High School
47,Jake Boozer,LB,SO,6-2,225,"Waco, TX",Bishop Louis Reicher Catholic School
28,Millard Bradford,S,SR,5-11,190,"Helotes, TX",O'Connor High School / Fork Union Military Academy
79,Tommy Brockermeyer,OL,SO,6-5,310,"Fort Worth, TX",All Saints' Episcopal School / Alabama
9,Marcel Brooks,LB,JR,6-2,215,"Fort Worth, TX",Marcus High School / LSU
59,Tico Brown,DL,SR,6-2,295,"Kokomo, IN",Homestead High School / Missouri State
18,Ish Burdine,CB,JR,6-1,195,"Slidell, LA",Slidell High School / Missouri
1,Abe Camara,S,JR,6-0,190,"Alpharetta, GA",West Forsyth High School / Coffeyville Community College
7,Channing Canada,CB,SO,6-1,190,"Boutte, LA",Hahnville High School / Trinity Valley Community College
23,Derrick Carroll,RB,FR,6-1,206,"Memphis, TN",Briarcrest Christian High School
33,Max Carroll,LB,FR,6-3,220,"Memphis, TN",Briarcrest Christian High School
98,Avion Carter,DL,FR,6-4,285,"Amarillo, TX",Tascosa High School
42,Zachary Chapman,DL,FR,6-5,260,"Missouri City, TX",Fort Bend Marshall High School
21,Bud Clark,S,SO,6-2,190,"Alexandria, LA",Alexandria High School
85,Parker Clark,WR,FR,6-1,195,"Fort Worth, TX",All Saints' Episcopal School
74,Andrew Coker,OL,JR,6-7,315,"Katy, TX",James E. Taylor High School
77,Brandon Coleman,OL,SR,6-6,320,"Denton, TX",Denton High School / Trinity Valley Community College
0,Cam Cook,RB,FR,5-11,195,"Round Rock, TX",Stony Point High School
12,Terrence Cooks Jr.,LB,SO,6-2,230,"Pearland, TX",Shadow Creek High School / Texas
46,Daveion Crawford,S,SR,5-11,210,"La Porte, TX",La Porte High School / Ellsworth Community College
83,Keagan Cunningham,WR,SO,6-2,172,"Denton, TX",Ryan High School
81,Chase Curtis,TE,JR,6-5,235,"Pittsburg, KS",Pittsburg High School / Neosho County Community College
44,Rick D'Abreu,DL,SR,6-2,280,"Chester, VA",Thomas Dale High School / East Carolina
95,Markis Deal,DL,FR,6-5,315,"Garland, TX",Naaman Forest High School
51,Coltin Deery,OL,SO,6-4,345,"Glen Mills, PA",Malvern Prep High School / Maryland
58,Trenton Dickey,DL,JR,6-4,270,"Hardin, TX",Hardin High School
35,Colton Dobson,WR,SO,5-11,170,"Nolensville, TN",Nolensville High School
92,Luke Dodds,DL,SO,6-4,250,"Round Rock, TX",Round Rock High School
52,Ezra Dotson-Oyetade,OL,SO,6-3,285,"Garland, TX",Lakeview Centennial High School / Arizona State
11,JoJo Earle,WR,JR,5-10,176,"Fort Worth, TX",Aledo High School / Alabama
40,Franklin Estrada II,RB,SO,5-11,193,"Carrollton, TX",Hebron High School
22,Major Everhart,WR,FR,5-11,175,"Amarillo, TX",Tascosa High School
20,Rohan Fluellen,WR,FR,6-0,175,"Gilmer, TX",Gilmer High School
14,Randon Fontenette,S,FR,6-3,215,"Freeport, TX",Brazosport High School
15,Josh Foster,S,SR,6-2,200,"Newton, TX",Newton High School
90,Caleb Fox,DL,JR,6-3,295,"The Woodlands, TX",The Woodlands High School / Stephen F. Austin
98,Logan Frederic,LS,FR,6-3,210,"Littleton, CO",Heritage High School
69,Gannon Gaubert,OL,FR,6-1,315,"Dallas, TX",Highland Park High School
26,Vernon Glover,CB,FR,6-1,175,"Dickinson, TX",Dickinson High School
54,Quinton Harris,OL,FR,6-8,315,"Arlington, TX",Seguin High School
76,Garrett Hayes,OL,JR,6-5,315,"Athens, TX",Athens High School
24,Avery Helm,CB,JR,6-1,185,"Missouri City, TX",Fort Bend Marshall High School / The University of Florida
6,Jamoi Hodge,LB,SR,6-2,235,"Winston-Salem, NC",Reynolds High School / Independence Community College
57,Johnny Hodges,LB,JR,6-2,240,"Darnestown, MD",Quince Orchard High School / Navy
37,Hudson Hooper,LB,FR,6-2,230,"Cypress, TX",Bridgeland High School
10,Josh Hoover,QB,FR,6-1,196,"Heath, TX",Rockwall-Heath High School
40,Keviyan Huddleston,DL,FR,6-2,255,"Tyler, TX",Chapel Hill High School
94,Micheal Ibukun-Okeyode,DL,FR,6-6,265,"Garland, TX",Rowlett High School
6,Chase Jackson,WR,SO,6-2,180,"Choctaw, OK",Choctaw High School
25,Jamel Johnson,S,FR,6-1,200,"Arlington, TX",Seguin High School
55,Blake Jones,DL,FR,6-2,240,"Brenham, TX",Brenham High School
12,Lafayette Kaiuway,TE,FR,6-6,250,"Arlington, TX",Sam Houston High School
39,Griffin Kell,PK,SR,6-0,190,"Arlington, TX",Arlington High School
39,Matthew Kerr,LB,SO,6-4,230,"Mason, TX",Mason High School
41,Hunter Krepp,WR,FR,6-1,180,"Dallas, TX",Jesuit Dallas
99,Luke Laminack,PK,SO,5-11,182,"Amarillo, TX",Amarillo High School
53,John Lanz,OL,SR,6-4,315,"Argyle, TX",Guyer High School
36,Joe Laterza,WR,SO,6-5,202,"Arlington Heights, IL",Saint Viator High School
22,Jordan Lester,S,FR,6-2,190,"Mesquite, TX",Horn High School
20,Champ Lewis,CB,FR,6-1,180,"New Orleans, LA",Warren Easton High School
51,Luke Lingard,LB,SO,6-1,225,"Colleyville, TX",Colleyville Heritage High School
96,Connor Lingren,DL,FR,6-5,315,"College Station, TX",College Station High School
72,Jasper Lott,OL,SO,6-5,295,"Argyle, TX",Argyle High School
34,Zach Marcheselli,LB,JR,6-2,225,"Broken Arrow, OK",Broken Arrow High School
42,Brent Matiscik,TE,JR,6-2,247,"McKinney, TX",McKinney Boyd High School
96,Nate McCashland,PK,FR,5-10,175,"Lincoln, NE",Southeast High School
16,Jaionte McMillan,CB,SO,5-11,190,"Atlanta, GA",Rockdale County High School
64,Jackson McNeff,OL,FR,6-5,270,"Plano, TX",Prestonwood Christian Academy
31,Jake Milliman,S,FR,6-3,200,"Lake Forest, IL",Lake Forest High School
99,Soni Misi,DL,SR,6-2,330,"Rohnert Park, CA",Rancho Cotate High School / Santa Rosa Junior College
91,Tymon Mitchell,DL,JR,6-3,310,"Nashville, TN",Franklin Road Academy / Georgia
4,Chandler Morris,QB,SO,6-0,190,"Highland Park, TX",Highland Park High School / Oklahoma
2,Josh Newton,CB,SR,6-0,190,"Monroe, LA",Ouachita Parish High School / ULM
68,Mike Nichols,OL,JR,6-5,315,"Justin, TX",Northwest High School
87,Blake Nowell,WR,JR,6-4,207,"Ardmore, OK",Plainview High School
4,Namdi Obiazor,LB,JR,6-3,225,"Eden Prairie, MN",Eden Prairie High School / Iowa Western Community College
97,Paul Oyewale,DL,FR,6-4,275,"Houston, TX",Langham Creek High School
13,Luke Pardee,QB,SO,6-1,180,"Houston, TX",Klein Cain High School
73,Willis Patrick,OL,SR,6-4,338,"Grand Prairie, TX",Mansfield High School / Jackson State
3,Mark Perry,S,SR,6-0,215,"Rancho Cucamonga, CA",Rancho Cucamonga High School / Colorado
29,Jacob Porter,QB,FR,6-2,178,"Fort Worth, TX",Timber Creek High School
78,Cooper Powers,OL,FR,6-5,315,"Danville, CA",De La Salle High School
36,Ryan Quintanar,LB,SO,6-0,220,"Los Angeles, CA",Loyola High School
50,Brione Ramsey-Brooks,OL,FR,6-5,455,"Dallas, TX",South Oak Cliff High School
88,Curtis Raymond III,TE,SR,6-4,230,"Dripping Springs, TX",Dripping Springs High School / Cornell
44,Ben Reppenhagen,TE,SO,6-3,251,"Edina, MN",Saint Thomas Academy
7,JP Richardson,WR,JR,6-0,190,"Missouri City, TX",Ridge Point High School / Oklahoma State
13,Jaylon Robinson,WR,SR,5-9,180,"Fort Worth, TX",All Saints Episcopal High School / Ole Miss
55,Robby Rochester,OL,SO,6-5,285,"Southlake, TX",Carroll High School / UConn
80,DJ Rogers,TE,SO,6-4,250,"Sammamish, WA",Eastside Catholic High School
1,Cordale Russell,WR,FR,6-4,210,"Mesquite, TX",North Mesquite High School
30,Kylan Salter,LB,FR,6-2,220,"Cedar Hill, TX",Cedar Hill High School
2,Trey Sanders,RB,JR,6-0,222,"Port Saint Joe, FL",IMG Academy / Alabama
31,Jordy Sandy,P,SR,6-3,215,"Traralgon, Australia",ProKick Australia
49,Austin Scheets,WR,SO,6-8,209,"Colleyville, TX",Covenant Christian Academy / Weatherford College
86,Drew Scott,WR,SR,6-2,198,"Dallas, TX",Highland Park High School
61,Riley Self,OL,SO,6-4,305,"Lufkin, TX",Lufkin High School
35,Joshua Spaeth,S,FR,5-9,180,"Southlake, TX",Southlake Carroll High School
43,Joe Staubach,WR,FR,6-1,190,"Dallas, TX",Jesuit Dallas
65,Mike Stoker,OL,FR,6-5,315,"Dallas, TX",South Oak Cliff High School
56,Ben Taylor-Whitfield,OL,FR,6-6,325,"Duncanville, TX",Duncanville High School
84,Warren Thompson,WR,SR,6-3,205,"Seffner, FL",Armwood High School / Arkansas
15,Grant Tisdale,QB,SR,6-0,226,"Allen, TX",Allen High School / Southeastern Louisiana
32,Kevin Ward,S,SO,6-0,205,"Springfield, MO",Kickapoo High School
24,Jimmy Weirick,QB,SR,5-11,195,"Pickerington, OH",Pickerington North High School / Wofford
67,Hudson White,OL,SO,6-2,290,"Abilene, TX",Wylie High School
13,Mason White,CB,JR,6-1,185,"Van Nuys, CA",Birmingham Charter High School / Mount San Antonio College
23,Javeon Wilcox,S,FR,6-1,200,"Temple, TX",Lake Belton High School
19,Jared Wiley,TE,SR,6-7,260,"Temple, TX",Temple High School / Texas
52,Damonic Williams,DL,SO,6-2,320,"Torrance, CA",Alemany High School
71,Marcus Williams,OL,JR,6-7,340,"Longview, TX",Longview High School
3,Savion Williams,WR,JR,6-5,225,"Marshall, TX",Marshall High School
41,TJ Willson,LB,FR,6-0,215,"Loomis, CA",Del Oro High School
21,Corey Wren,RB,JR,5-10,195,"New Orleans, LA",John Curtis Christian School / Florida State
16,Dylan Wright,WR,JR,6-3,210,"Dallas, TX",West Mesquite High School / Minnesota
