No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
17,John Adams,WR,SO,6-2,185,"Deptford, NJ",Deptford
45,Aaron Anderson Jr.,CB,JR,5-11,180,"Washington, DC",McKinley Tech
15,Amad Anderson Jr.,WR,SR,5-11,170,"Staten Island, NY",Curtis / Purdue
44,Joseph Appiah Darkwa,DL,JR,6-5,300,"North Rhine-Westphalia, Germany",Don Bosco Gymnasium / Penn State
91,Dante Atton,P,FR,6-0,185,"Melbourne, Australia",St. Francis Xavier College / ProKick Australia
96,Gensley Auguste,DL,FR,6-5,260,"West Orange, NJ",West Orange
80,Zae Baines,WR,SO,6-3,175,"Roanoke, VA",North Cross School
77,Diego Barajas,OL,JR,6-6,300,"Alameda, CA",Alameda / Laney College
38,Kaleb Barnett,CB,FR,5-11,190,"Nassau, Bahamas",Miami Jackson
33,Christian Bell,CB,JR,6-0,185,"Allentown, PA",Notre Dame / Hudson Valley CC
34,Diwun Black,OLB,JR,6-3,230,"Jackson, MS",Osceola / Florida
11,Forrest Brock,QB,JR,6-3,190,"Topanga, CA",Birmingham / Santa Monica CC
20,Elijah Clark,CB,SR,6-3,195,"Sayreville, NJ",Sayreville
95,Reese Clark,TE,FR,6-4,220,"Philadelphia, PA",St. Joseph's Prep
88,Peter Clarke,TE,FR,6-6,250,"London, United Kingdom",NFL Academy
53,Zymir Cobbs,DL,SR,6-2,265,"Philadelphia, PA",Imhotep Charter / Penn State
89,Zyheem Coleman-Frazier,WR,FR,6-0,165,"Sicklerville, NJ",Timber Creek
82,Elias Collins,WR,FR,5-9,170,"Swedesboro, NJ",Kingsway Regional
85,Corey Cuascut-Palmer,WR,SO,6-0,175,"Camden, NJ",Camden
83,Richard Dandridge,WR,FR,5-11,153,"Homestead, FL",Homestead Senior
87,James Della Pesca,TE,JR,6-3,250,"River Vale, NJ",Pascack Valley
27,Elijah Deravil,SAF,JR,6-1,200,"Miami, FL",North Miami / Garden City CC
71,Jermaine Donaldson,OL,JR,6-4,300,"Voorhees, NJ",Eastern Regional
14,Tyler Douglas,QB,FR,6-2,200,"Oakhurst, NJ",Ocean Township
51,Brandon Enarusai,OLB,FR,6-3,235,"Burlington, NJ",George School
45,Preston Everhart,WR,FR,5-10,175,"Dublin, OH",The Hun School
50,Jon Fagley,OL,SO,6-3,290,"Philadelphia, PA",Neumann-Goretti
62,James Faminu,OL,SO,6-6,305,"London, United Kingdom",London Academy / Houston
19,Tywan Francis,SAF,SR,5-11,195,"New Orleans, LA",Landry Walker / Colorado State
94,Hugo Gil,DL,FR,6-2,280,"Manchester, NH",Cheshire Academy
93,Kendell Gordon,TE,FR,6-4,250,"Burlington, NJ",George School
90,Conlan Greene,DL,FR,6-4,280,"Irwin, PA",Penn Trafford
92,Zamar Grove,DL,FR,6-5,245,"Irvington, NJ",Irvington
57,London Hall,LB,FR,6-2,220,"Clearwater, FL",Clearwater Central Catholic
98,Carl Hardin,K,FR,5-9,160,"Raleigh, NC",Broughton
43,Daiyaan Hawkins,CB,SO,6-1,185,"West Philadelphia, PA",The Haverford School
97,Allan Haye,DL,SO,6-2,305,"Margate, FL",Chaminade-Madonna / Miami (Fla.)
21,Dominick Hill,CB,JR,6-0,205,"Orlando, FL",Jones / South Carolina
12,Jacob Hollins,LB,SR,6-1,220,"Fresno, CA",Central / Garden City CC
41,Davion Hood,DL,SO,6-2,250,"Kennesaw, GA",Langston Hughes / East Tennessee State
28,Darvon Hubbard,RB,SO,6-0,210,"Akron, OH",Willow Canyon / Texas A&M
