No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
31,Brandon Adams,DB,JR,6-3,180,"Atlanta, GA",Arabia Mountain
56,Matthew Alexander,DT,SO,6-3,295,"Buford, GA",Buford
46,Nicholas Antoine,DB,FR,6-4,190,"Daytona Beach, FL",Mainland
19,Jarrad Baker,WR,SR,5-11,170,"Eau Gallie, FL",Eau Gallie
1,Javon Baker,WR,SR,6-1,208,"Atlanta, GA",McEachern / Alabama
5,Ricky Barber,DT,SR,6-3,295,"Louisville, KY",Doss / Western Kentucky
50,Patrick Barnett,OL,JR,6-6,300,"Key West, FL",Key West
35,Colton Boomer,PK,SO,5-10,175,"Lake Mary, FL",Lake Mary
26,Chris Bowerfind,LS,SO,6-0,210,"Fort Collins, CO",Fossil Ridge
23,Demarkcus Bowman,RB,JR,5-10,193,"Lakeland, FL",Lakeland / Florida
10,Quadric Bullard,DB,SR,6-0,170,"Dania Beach, FL",Chaminade-Madonna
16,TJ Bullard,LB,FR,6-1,200,"Tampa, FL",Berkeley Prep
33,Kaven Call,DE,FR,6-3,240,"Apopka, FL",Apopka
32,Michael Carter,P,FR,6-2,185,"Clermont, FL",Lake Minneola
88,Josh Celiscar,DE,SR,6-4,265,"Winter Haven, FL",Winter Haven
40,Kervins Choute,DT,JR,6-3,285,"Deerfield Beach, FL",Deerfield Beach
56,Johnathan Cline,OL,FR,6-4,295,"Cartersville, GA",Cartersville
70,Edward Collins,OL,SR,6-6,315,"Birmingham, AL",Ramsay
39,R.D. Cooper,DB,SR,6-2,185,"Fort Myers, FL",Fort Myers / North Alabama
58,Dallaz Corbitt,DE,SR,6-5,240,"Columbia, SC",Gray Collegiate Academy
59,Keyon Cox,OL,FR,6-5,270,"Phenix City, AL",Central
35,Keenan Cupit,LB,JR,6-2,255,"Lynchburg, VA",Jefferson Forest
7,Fred Davis,DB,SR,6-1,200,"Jacksonville, FL",Trinity Christian / Clemson
86,Jordan Davis,TE,JR,6-4,250,"Sanford, FL",Seminole
17,Rian Davis,LB,SR,6-2,230,"Apopka, FL",Wekiva / Georgia
24,Andrew Dickson,WR,SO,5-10,165,"Silverdale, WA",Klahowya
22,Jason Duclona,DB,FR,6-1,170,"Estero, FL",Estero
98,Kriston Esnard,PK,SO,5-10,182,"Decatur, GA",Decatur / Tulane
42,Aidan Fedigan,LS,SO,6-0,195,"DeLand, FL",DeLand
94,Christopher Ficka,DT,FR,6-0,280,"Winter Garden, FL",West Orange
92,Finau Fine,DE,JR,6-5,265,"Kissimmee, FL",Gateway / Stetson
20,"Troy Ford, Jr.",LB,FR,6-2,235,"Savannah, GA",Calvary Day
37,Preston Foreman,RB,FR,5-11,190,"Cocoa Beach, FL",Holy Trinity Episcopal
31,JaJuan Forte',WR,SR,6-1,195,"Youngstown, OH",Boardman / Walsh
83,Garrett French,TE,JR,6-3,235,"Venice, FL",Venice
4,Corey Gammage,WR,SR,6-4,220,"Delray Beach, FL",Atlantic Community / Marshall
19,Hudson Gibbs,DB,FR,5-9,185,"Winter Park, FL",Winter Park
43,Kingston Gorney,LB,SR,6-0,220,"Snellville, GA",Brookwood
71,Tylan Grable,OL,SR,6-7,290,"Gordon, GA",Wilkinson County / Jacksonville State
18,Jaylon Griffin,WR,SR,6-3,185,"Huntsville, TX",Huntsville / Kilgore College
81,Tyler Griffin,WR,FR,6-5,205,"Statesboro, GA",New Southeast Bulloch
21,Brock Hansel,QB,FR,5-10,160,"Lake Worth, FL",Park Vista
28,Andrew Harris,LB,FR,6-2,210,"Orlando, FL",Lake Brantley
57,John Harris,OL,SR,6-4,298,"Hoschton, GA",Mill Creek / Virginia Tech
7,RJ Harvey,RB,SR,5-9,205,"Orlando, FL",Edgewater / Virginia
45,Quentin Hatch,LB,SO,6-1,215,"Orlando, FL",West Orange / Lake Erie College
8,Demari Henderson,DB,SO,6-0,160,"Sanford, FL",Seminole
1,Ja'Cari Henderson,DB,FR,6-0,165,"Sanford, FL",Seminole
53,Keeron Henderson,LB,SR,6-2,225,"Richmond, VA",Highland Springs / Army West Point
68,Ethan Higgins,OL,FR,6-6,280,"Brooksville, FL",Hernando Christian
64,Shaheem Hill,OL,FR,6-4,342,"Orlando, FL",Edgewater
82,Alec Holler,TE,SR,6-3,230,"Winter Park, FL",Trinity Prep
49,Max Holler,TE,JR,6-4,245,"Winter Park, FL",Trinity Prep
91,Keshaun Hudson,DT,SO,6-1,307,"Fort Lauderdale, FL",Dillard
2,Kobe Hudson,WR,SR,6-1,200,"Pine Mountain, GA",Troup County / Auburn
2,Lee Hunter,DT,SO,6-4,320,"Mobile, AL",Blount / Auburn
20,Kam Ingram,RB,SO,5-8,175,"Memphis, TN",Fayetteville / Bethune-Cookman
34,Terrell Jackson,DB,SO,6-1,170,"Jacksonville, FL",Trinity Christian
36,Champ Jenkins,DB,SO,6-0,210,"Bartow, FL",Spoto / New Mexico Military Institute
17,Amari Johnson,WR,SR,5-10,160,"Miami, FL",Carol City
99,Jamaal Johnson,DE,FR,6-2,250,"Miami, FL",Chaminade-Madonna
0,Jason Johnson,LB,SR,6-2,235,"Chicago, IL",Rich Central / Eastern Illinois
78,Amari Kight,OL,SR,6-7,318,"Birmingham, AL",Thompson / Alabama
41,Gage King,LS,SR,6-4,240,"El Dorado Hills, CA",Oak Ridge / Arizona State
55,Cameron Kinnie,OL,JR,6-3,315,"Lawrenceville, GA",Collins Hill
52,Caden Kitler,OL,FR,6-3,295,"Dallas, TX",John Paul II
51,Malachi Lawrence,DE,SO,6-4,243,"Louisville, KY",duPont Manual
90,Derrick LeBlanc,DT,FR,6-5,295,"Opa-locka, FL",Osceola / Oklahoma
66,Chidoziri Maghiro,OL,SR,6-5,325,"Alike, Nigeria",St. Thomas Aquinas (Fla.)
11,Chauncey Magwood,WR,JR,6-0,187,"Albany, GA",Lee County / Kentucky
38,Dionte Marks,WR,SR,6-2,190,"DeLand, FL",DeLand / Florida
85,Zach Marsh Wojan,TE,SR,6-5,245,"Vacaville, CA",Will C. Wood / Sacramento City College
4,Braeden Marshall,DB,FR,5-10,175,"Lake Mary, FL",Lake Mary
72,Marcellus Marshall,OL,JR,6-5,310,"Morgantown, WV",Morgantown / Kent State
16,Stephen Martin,WR,JR,6-5,210,"Orlando, FL",Bishop Moore
21,Nikai Martinez,DB,SO,5-11,170,"Apopka, FL",Apopka
13,DeJordan Mask,DB,SR,6-1,180,"Texarkana, AR",Arkansas / Texas State
40,Mitch McCarthy,P,SO,6-5,214,"Melbourne, Australia",Frankston
9,Timmy McClain,QB,SO,6-1,196,"Sanford, FL",Seminole / USF
26,Daniel McCullon,DB,JR,5-10,205,"Palm Beach Gardens, FL",Benjamin
47,K.D. McDaniel,DE,SR,6-2,250,"Tifton, GA",Tift County / Kentucky
5,Jordan McDonald,RB,SO,6-1,220,"Atlanta, GA",Milton
76,Adrian Medley,OL,SR,6-5,305,"Pensacola, FL",Pensacola
60,Drake Metcalf,OL,JR,6-2,292,"Orange, CA",St. John Bosco / Stanford
30,Kam Moore,LB,SO,6-1,205,"Sanford, FL",Seminole
41,Jack Morgan,DE,SO,6-4,215,"Mount Dora, FL",Mount Dora
18,Ja'Maric Morris,DB,SR,6-2,205,"Timmonsville, SC",Timmonsville / Hutchinson Community College
3,Tre'Mon Morris-Brash,DE,SR,6-2,245,"Richmond, VA",St. John's College
6,Isaiah Nixon,DE,FR,6-4,215,"St. Petersburg, FL",Lakewood
96,Trace O'Hara,DE,JR,6-2,235,"Orlando, FL",East River
11,Decorian Patterson,DB,SR,6-0,193,"Leesburg, FL",Leesburg / Middle Tennessee
15,Tyree Patterson,WR,FR,6-2,175,"Eustis, FL",Eustis
15,Isaiah Paul,LB,SR,6-2,232,"San Antonio, TX",Brennan / UIW
77,Lokahi Pauole,OL,SR,6-4,305,"Kapolei, HI",Kamehameha
12,"Shaun Peterson, Jr.",DE,SR,6-3,240,"Fort Lauderdale, FL",Nova / FIU
75,Andrew Phelan,OL,FR,6-3,250,"Orlando, FL",East River
13,"Randy Pittman, Jr.",TE,FR,6-2,225,"Panama City, FL",Mosley
10,John Rhys Plumlee,QB,SR,6-0,200,"Hattiesburg, MS",Oak Grove / Ole Miss
74,Matthew Prigmore,OL,FR,6-2,290,"Weston, FL",Cypress Bay
80,Grant Reddick,K,FR,5-10,190,"Orlando, FL",Boone
6,Mark-Antony Richards,RB,SR,6-1,215,"Wellington, FL",Wellington / Auburn
0,Johnny Richardson,RB,SR,5-7,170,"Lake Wales, FL",Lake Wales
12,Dylan Rizk,QB,FR,6-2,205,"Delray Beach, FL",Cardinal Gibbons
69,Paul Rubelt,OL,JR,6-10,330,"Frankfurt-Oder, Germany",Frankfurt-Oder
87,Andrew Rumph,DT,FR,6-3,305,"Palmetto, FL",Palmetto
54,Bula Schmidt,OL,SR,6-1,294,"Wahiawa, HI",O’Dea / Fresno State
89,Cullen Smith,WR,SO,6-2,180,"Mooresville, NC",South Iredell
14,Gunnar Smith,QB,FR,6-4,205,"Lake Mary, FL",Lake Mary / South Florida
88,Grant Stevens,TE,FR,6-4,225,"Ponte Vedra Beach, FL",Nease
14,Corey Thornton,DB,SR,6-1,190,"Miami, FL",Booker T. Washington
3,Xavier Townsend,WR,SO,5-11,185,"Tampa, FL",Berkeley Prep
25,Camden Vining,LB,SO,6-0,225,"Bradenton, FL",St. Stephens Episcopal
84,Thomas Wadsworth,TE,FR,6-3,222,"Melbourne, FL",Melbourne
55,John Walker,DT,FR,6-4,310,"Kissimmee, FL",Osceola
24,Jarvis Ware,DB,SR,6-1,190,"Apopka, FL",Wekiva / Missouri
29,William Wells,DB,JR,6-2,185,"West Palm Beach, FL",Suncoast
80,Trent Whittemore,WR,JR,6-4,211,"Gainesville, FL",Bucholz / Florida
8,Xavier Williams,QB,SO,6-2,200,"Mcdonough, GA",Colquitt County / Charlotte
9,Jireh Wilson,DB,SR,6-3,219,"Jacksonville, NC",Northside / East Carolina
87,Dwartney Wortham,WR,FR,6-0,169,"LaGrange, GA",Troup County
27,Walter Yates III,LB,SR,6-1,219,"Gulf Breeze, FL",Gulf Breeze
